Nome,Empresa,Numero,Email
"Sócio-Diretor Titular","Castelo Alimentos S/A","","sócio-diretor.titular@casteloalimentossa.com.br"
"Sócio-Diretor Titular","ISPL (Crivialli Brasil)","","sócio-diretor.titular@isplcriviallibrasil.com.br"
"Sócio-Diretor Titular","Bebidas Poty S.A.","","sócio-diretor.titular@bebidaspotysa.com.br"
"Sócio-Diretor Titular","Predilecta Alimentos Ltda.","","sócio-diretor.titular@predilectaalimentosltda.com.br"
"Sócio-Diretor Titular","Alimentos Zaeli Ltda.","","sócio-diretor.titular@alimentoszaeliltda.com.br"
"Sócio-Diretor Titular","Vilma Alimentos (Domingos Costa)","","sócio-diretor.titular@vilmaalimentosdomingoscosta.com.br"
"Sócio-Diretor Titular","Laticínios Porto Alegre S/A","","sócio-diretor.titular@laticniosportoalegresa.com.br"
"Sócio-Diretor Titular","Belagrícola Comércio S.A.","","sócio-diretor.titular@belagrcolacomrciosa.com.br"
"Sócio-Diretor Titular","Alimentos Dallas (Grupo Dallas)","","sócio-diretor.titular@alimentosdallasgrupodallas.com.br"
"Sócio-Diretor Titular","Special Dog (Manfrim Industrial)","","sócio-diretor.titular@specialdogmanfrimindustrial.com.br"
"Sócio-Diretor Titular","Plasútil Indústria de Plásticos","","sócio-diretor.titular@plastilindstriadeplsticos.com.br"
"Sócio-Diretor Titular","Cromex S/A","","sócio-diretor.titular@cromexsa.com.br"
"Sócio-Diretor Titular","Fertipar Fertilizantes do Paraná","","sócio-diretor.titular@fertiparfertilizantesdoparan.com.br"
"Sócio-Diretor Titular","Forno de Minas Alimentos S/A","","sócio-diretor.titular@fornodeminasalimentossa.com.br"
"Sócio-Diretor Titular","Fugini Alimentos Ltda.","","sócio-diretor.titular@fuginialimentosltda.com.br"
"Sócio-Diretor Titular","Sakura Nakaya Alimentos","","sócio-diretor.titular@sakuranakayaalimentos.com.br"
"Sócio-Diretor Titular","Alvoar Lácteos (Embaré)","","sócio-diretor.titular@alvoarlcteosembar.com.br"
"Sócio-Diretor Titular","Máquinas Agrícolas Jacto","","sócio-diretor.titular@mquinasagrcolasjacto.com.br"
"Sócio-Diretor Titular","Industrial Marvi Ltda.","","sócio-diretor.titular@industrialmarviltda.com.br"
"Sócio-Diretor Titular","Minasmáquinas S/A","","sócio-diretor.titular@minasmquinassa.com.br"
"Sócio-Diretor Titular","Pastifício Selmi (Renata / Galo)","","sócio-diretor.titular@pastifcioselmirenatagalo.com.br"
"Sócio-Diretor Titular","Frigorífico Astra (Astra Foods)","","sócio-diretor.titular@frigorficoastraastrafoods.com.br"
"Sócio-Diretor Titular","Laticínios Scala (Scalon & Cerchi)","","sócio-diretor.titular@laticniosscalascaloncerchi.com.br"
"Sócio-Diretor Titular","Cardioprime Diagnósticos Médicos S/S","","sócio-diretor.titular@cardioprimediagnsticosmdicosss.com.br"
"Sócio-Diretor Titular","Instituto de Ortopedia e Coluna (SP)","","sócio-diretor.titular@institutodeortopediaecolunasp.com.br"
"Sócio-Diretor Titular","Biscoitos & Doces Nobres Jaú","","sócio-diretor.titular@biscoitosdocesnobresja.com.br"
"Sócio-Diretor Titular","Eletromecânica Força Industrial Londrina","","sócio-diretor.titular@eletromecnicaforaindustriallondrina.com.br"
"Sócio-Diretor Titular","AgroGrãos Comercial e Armazenagem Campo Grande","","sócio-diretor.titular@agrogroscomercialearmazenagemcampogrande.com.br"
"Sócio-Diretor Titular","Agroexport Trading de Grãos e Café Varginha","","sócio-diretor.titular@agroexporttradingdegrosecafvarginha.com.br"
"Sócio-Diretor Titular","MegaLog Armazenagem e Distribuição Bauru","","sócio-diretor.titular@megalogarmazenagemedistribuiobauru.com.br"
"Sócio-Diretor Titular","Clínica de Especialidades Cardiovasculares Campinas","","sócio-diretor.titular@clnicadeespecialidadescardiovascularescampinas.com.br"
"Sócio-Diretor Titular","Indústria de Condimentos e Molhos Saborear Limeira","","sócio-diretor.titular@indstriadecondimentosemolhossaborearlimeira.com.br"
"Sócio-Diretor Titular","Fundição & Usinagem Paulista Sertãozinho","","sócio-diretor.titular@fundiousinagempaulistasertozinho.com.br"
"Sócio-Diretor Titular","Sementes Ouro Verde Londrina","","sócio-diretor.titular@sementesouroverdelondrina.com.br"
"Sócio-Diretor Titular","Brasil Nobre Carnes e Exportação Campo Grande","","sócio-diretor.titular@brasilnobrecarneseexportaocampogrande.com.br"
"Sócio-Diretor Titular","Atacado Central de Suprimentos Campinas","","sócio-diretor.titular@atacadocentraldesuprimentoscampinas.com.br"
"Sócio-Diretor Titular","FemmePrime Medicina Fetal e Ginecológica Sorocaba","","sócio-diretor.titular@femmeprimemedicinafetaleginecolgicasorocaba.com.br"
"Sócio-Diretor Titular","Moinho Central de Cereais e Farinhas Maringá","","sócio-diretor.titular@moinhocentraldecereaisefarinhasmaring.com.br"
"Sócio-Diretor Titular","Estruturas Metálicas Vanguarda Contagem","","sócio-diretor.titular@estruturasmetlicasvanguardacontagem.com.br"
"Sócio-Diretor Titular","Cerealista São Bento Grãos Maringá","","sócio-diretor.titular@cerealistasobentogrosmaring.com.br"
"Sócio-Diretor Titular","CerealExport Operações Internacionais Itajaí","","sócio-diretor.titular@cerealexportoperaesinternacionaisitaja.com.br"
"Sócio-Diretor Titular","Transpesados Concessionária e Frotas Bauru","","sócio-diretor.titular@transpesadosconcessionriaefrotasbauru.com.br"
"Sócio-Diretor Titular","NeuroCenter Diagnósticos Neurológicos São José dos Campos","","sócio-diretor.titular@neurocenterdiagnsticosneurolgicossojosdoscampos.com.br"
"Sócio-Diretor Titular","Laticínios Ouro Branco Contagem","","sócio-diretor.titular@laticniosourobrancocontagem.com.br"
"Sócio-Diretor Titular","Caldeiraria & Equipamentos Vale Bauru","","sócio-diretor.titular@caldeirariaequipamentosvalebauru.com.br"
"Sócio-Diretor Titular","Campo Forte Distribuidora de Insumos Barretos","","sócio-diretor.titular@campofortedistribuidoradeinsumosbarretos.com.br"
"Sócio-Diretor Titular","GlobalTrade Exportação de Alimentos Santos","","sócio-diretor.titular@globaltradeexportaodealimentossantos.com.br"
"Sócio-Diretor Titular","Comercial e Logística Express Campinas","","sócio-diretor.titular@comercialelogsticaexpresscampinas.com.br"
"Sócio-Diretor Titular","ClinGastro Cirurgia e Endoscopia Uberlândia","","sócio-diretor.titular@clingastrocirurgiaeendoscopiauberlndia.com.br"
"Sócio-Diretor Titular","Massas Tradicionais da Serra Matão","","sócio-diretor.titular@massastradicionaisdaserramato.com.br"
"Sócio-Diretor Titular","Metalúrgica União e Componentes Piracicaba","","sócio-diretor.titular@metalrgicaunioecomponentespiracicaba.com.br"
"Sócio-Diretor Titular","Fertilmax Adubos e Nutrição Vegetal Dourados","","sócio-diretor.titular@fertilmaxadubosenutriovegetaldourados.com.br"
"Sócio-Diretor Titular","Sul Export Madeiras e Derivados Paranaguá","","sócio-diretor.titular@sulexportmadeirasederivadosparanagu.com.br"
"Sócio-Diretor Titular","Distribuidora de Alimentos & Bebidas Planalto Bauru","","sócio-diretor.titular@distribuidoradealimentosbebidasplanaltobauru.com.br"
"Sócio-Diretor Titular","Instituto de Urologia e Litotripsia (PR)","","sócio-diretor.titular@institutodeurologiaelitotripsiapr.com.br"
"Sócio-Diretor Titular","Conservas & Alimentos do Interior Marília","","sócio-diretor.titular@conservasalimentosdointeriormarlia.com.br"
"Sócio-Diretor Titular","Implementos Agrícolas Progresso Cascavel","","sócio-diretor.titular@implementosagrcolasprogressocascavel.com.br"
"Sócio-Diretor Titular","Agropecuária & Barter Sul Rondonópolis","","sócio-diretor.titular@agropecuriabartersulrondonpolis.com.br"
"Sócio-Diretor Titular","Interquímica Exportação e Insumos São Paulo","","sócio-diretor.titular@interqumicaexportaoeinsumossopaulo.com.br"
"Sócio-Diretor Titular","MegaLog Armazenagem e Distribuição Campinas","","sócio-diretor.titular@megalogarmazenagemedistribuiocampinas.com.br"
"Sócio-Diretor Titular","Clínica Integrada de Oncologia e Infusão Santos","","sócio-diretor.titular@clnicaintegradadeoncologiaeinfusosantos.com.br"
"Sócio-Diretor Titular","Doces & Geleias Vale Verde Bauru","","sócio-diretor.titular@docesgeleiasvaleverdebauru.com.br"
"Sócio-Diretor Titular","Máquinas Industriais Líder Ribeirão Preto","","sócio-diretor.titular@mquinasindustriaislderribeiropreto.com.br"
"Sócio-Diretor Titular","Bioinsumos & Fertilizantes do Campo Rio Verde","","sócio-diretor.titular@bioinsumosfertilizantesdocamporioverde.com.br"
"Sócio-Diretor Titular","Porto Trade Logística de Comércio Exterior Patrocínio","","sócio-diretor.titular@portotradelogsticadecomrcioexteriorpatrocnio.com.br"
