ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
1052,"Sociedade de Advogados Associados Limeira","37.2200.1100/0001-70","10 anos (2016)","SP","Limeira","Advocacia & Jurídico","SPECIAL_LAW","OAB-SP + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocacialimeira.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Limeira - SP.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Roberto Zanin Mendonça","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Roberto%20Zanin%20Mendon%C3%83%C2%A7a","(11) 98400-4400 / diretoria@frigorficoecortesespeciaisboinobrelimeira.com.br","Lucas Silveira","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Lucas%20Silveira","financeiro@frigorficoecortesespeciaisboinobrelimeira.com.br","AAA (High-Ticket)"
1053,"Sociedade de Advogados Associados Passos","38.2207.1103/0001-71","11 anos (2015)","MG","Passos","Advocacia & Jurídico","SPECIAL_LAW","OAB-MG + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciapassos.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Passos - MG.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Carlos Eduardo Prado Antunes","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Prado%20Antunes","(31) 98401-4400 / diretoria@conservasevegetaisselecionadospassos.com.br","Marcelo Mendonça","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Mendon%C3%83%C2%A7a","financeiro@conservasevegetaisselecionadospassos.com.br","AAA (High-Ticket)"
1054,"Sociedade de Advogados Associados São José dos Pinhais","39.2214.1106/0001-72","12 anos (2014)","PR","São José dos Pinhais","Advocacia & Jurídico","SPECIAL_LAW","OAB-PR + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciasãojosédospinhais.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em São José dos Pinhais - PR.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Alexandre Silveira Koster","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Silveira%20Koster","(41) 98402-4400 / diretoria@laticniosourobrancosojosdospinhais.com.br","Diego Antunes","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Diego%20Antunes","financeiro@laticniosourobrancosojosdospinhais.com.br","AAA (High-Ticket)"
1055,"Sociedade de Advogados Associados Criciúma","40.2221.1109/0001-73","13 anos (2013)","SC","Criciúma","Advocacia & Jurídico","SPECIAL_LAW","OAB-SC + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciacriciúma.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Criciúma - SC.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Fernando Mendonça Fagundes","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Mendon%C3%83%C2%A7a%20Fagundes","(48) 98403-4400 / diretoria@moinhodetrigoefarinhasnobrescricima.com.br","Felipe Koster","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Felipe%20Koster","financeiro@moinhodetrigoefarinhasnobrescricima.com.br","AAA (High-Ticket)"
1056,"Sociedade de Advogados Associados Três Lagoas","41.2228.1112/0001-74","14 anos (2012)","MS","Três Lagoas","Advocacia & Jurídico","SPECIAL_LAW","OAB-MS + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciatrêslagoas.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Três Lagoas - MS.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Guilherme Antunes Toledo","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Antunes%20Toledo","(67) 98404-4400 / diretoria@frigorficoecortesespeciaisboinobretrslagoas.com.br","Rodrigo Fagundes","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Fagundes","financeiro@frigorficoecortesespeciaisboinobretrslagoas.com.br","AAA (High-Ticket)"
1057,"Sociedade de Advogados Associados Goiânia","42.2235.1115/0001-75","15 anos (2011)","GO","Goiânia","Advocacia & Jurídico","SPECIAL_LAW","OAB-GO + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciagoiânia.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Goiânia - GO.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Lucas Koster Peixoto","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Lucas%20Koster%20Peixoto","(62) 98405-4400 / diretoria@conservasevegetaisselecionadosgoinia.com.br","Bruno Toledo","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Toledo","financeiro@conservasevegetaisselecionadosgoinia.com.br","AAA (High-Ticket)"
1058,"Sociedade de Advogados Associados Piracicaba","43.2242.1118/0001-76","16 anos (2010)","SP","Piracicaba","Advocacia & Jurídico","SPECIAL_LAW","OAB-SP + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciapiracicaba.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Piracicaba - SP.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Marcelo Fagundes Alencar","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Fagundes%20Alencar","(11) 98406-4400 / diretoria@laticniosourobrancopiracicaba.com.br","Eduardo Peixoto","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Peixoto","financeiro@laticniosourobrancopiracicaba.com.br","AAA (High-Ticket)"
1059,"Sociedade de Advogados Associados Pouso Alegre","44.2249.1121/0001-77","17 anos (2009)","MG","Pouso Alegre","Advocacia & Jurídico","SPECIAL_LAW","OAB-MG + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciapousoalegre.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Pouso Alegre - MG.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Diego Toledo Cavalcante","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Diego%20Toledo%20Cavalcante","(31) 98407-4400 / diretoria@moinhodetrigoefarinhasnobrespousoalegre.com.br","Antonio Alencar","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Alencar","financeiro@moinhodetrigoefarinhasnobrespousoalegre.com.br","AAA (High-Ticket)"
1060,"Sociedade de Advogados Associados Ponta Grossa","45.2256.1124/0001-78","18 anos (2008)","PR","Ponta Grossa","Advocacia & Jurídico","SPECIAL_LAW","OAB-PR + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciapontagrossa.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Ponta Grossa - PR.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Felipe Peixoto Nogueira","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Felipe%20Peixoto%20Nogueira","(41) 98408-4400 / diretoria@frigorficoecortesespeciaisboinobrepontagrossa.com.br","Cristiano Cavalcante","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Cavalcante","financeiro@frigorficoecortesespeciaisboinobrepontagrossa.com.br","AAA (High-Ticket)"
1061,"Sociedade de Advogados Associados Itajaí","46.2263.1127/0001-79","19 anos (2007)","SC","Itajaí","Advocacia & Jurídico","SPECIAL_LAW","OAB-SC + Receita Federal + LinkedIn","Direito Empresarial, Tributário \u0026 M\u0026A",Sim,"https://www.advocaciaitajaí.adv.br","Banca de advocacia especializada em contencioso estratégico tributário, societário e planejamento patrimonial em Itajaí - SC.","6911-7/01 (Serviços advocatícios e assessoria jurídica)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Dr. Rodrigo Alencar Vasconcellos","Sócio-Fundador / Advogado Titular","https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Alencar%20Vasconcellos","(48) 98409-4400 / diretoria@conservasevegetaisselecionadositaja.com.br","Leonardo Nogueira","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Nogueira","financeiro@conservasevegetaisselecionadositaja.com.br","AAA (High-Ticket)"
