ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
8;"Belagrícola Comércio S.A.";79.038.097/0001-81;"41 anos (1985)";PR;Londrina;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Grande distribuidora de insumos agrícolas e originadora de grãos no Paraná e Sul.";"COM SITE OFICIAL";"https://www.belagricola.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Belagr%C3%ADcola%20Com%C3%A9rcio%20S.A.";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 4623-1/06 (Atacado de sementes), 5211-7/01 (Armazéns gerais e silos), 0163-6/00 (Pós-colheita), 6462-0/00 (Holdings não-financeiras)";"Alberto Araujo";"Diretor Presidente / CEO";"https://www.linkedin.com/in/alberto-araujo-belagricola/";"(43) 3371-2000 / presidencia@belagricola.com.br";"Rodrigo Miranda";"Diretor Financeiro e de Barter/Crédito (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Miranda%20Belagricola";"(43) 3371-2000 / (43) 99120-2000";"contato@belagricola.com.br / financeiro@belagricola.com.br";"JUCEPAR / QSA da Receita Federal + LinkedIn Corporativo"
13;"Fertipar Fertilizantes do Paraná";90.810.706/0001-01;"46 anos (1980)";PR;Curitiba;"Agronegócio & Fertilizantes";"Agronegócio / Fertilizantes e Insumos";"Fabricação e distribuição nacional de adubos e fertilizantes agrícolas com estrutura portuária própria.";"COM SITE OFICIAL";"https://www.fertipar.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Fertipar%20Fertilizantes%20do%20Paran%C3%A1";"2013-4/02 (Fabricação de adubos e fertilizantes)";"4683-4/00 (Atacado de defensivos e adubos), 4623-1/08 (Matérias-primas agrícolas), 5212-5/00 (Serviços e operações portuárias), 5211-7/99 (Silos e depósitos), 4930-2/02 (Transporte rodoviário)";"Alceu Elias Feldmann";"Sócio-Fundador e Diretor Presidente";"https://www.linkedin.com/search/results/people/?keywords=Alceu%20Elias%20Feldmann%20Fertipar";"(41) 3026-9009 / presidencia@fertipar.com.br";"Carlos Alberto Mendes";"Diretor Financeiro e Tesouraria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Alberto%20Mendes%20Fertipar";"(41) 3026-9009 / (41) 99988-9009";"fertipar@fertipar.com.br / financeiro@fertipar.com.br";"JUCEPAR / QSA da Receita Federal + LinkedIn Corporativo"
34;"AgroGrãos Comercial e Armazenagem Campo Grande";69.160.681/0001-17;"13 anos (2013)";MS;Campo Grande;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.agrogroscome.com.br";"https://www.linkedin.com/search/results/companies/?keywords=AgroGr%C3%A3os%20Comercial%20e%20Armazenagem%20Campo%20Grande";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Ricardo Antunes";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Antunes%20agrogroscome";"(67) 91517-1122 / ricardo@agrogroscome.com.br";"Bruno Medeiros";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Medeiros%20agrogroscome";"(67) 3900-1700 / (67) 91517-1122";"diretoria@agrogroscome.com.br / financeiro@agrogroscome.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
43;"Sementes Ouro Verde Londrina";62.494.529/0001-26;"22 anos (2004)";PR;Londrina;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Londrina - PR.";"COM SITE OFICIAL";"https://www.sementesouro.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Sementes%20Ouro%20Verde%20Londrina";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Cristiano Mendonca";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Mendonca%20sementesouro";"(41) 9826-1122 / cristiano@sementesouro.com.br";"Ricardo Ferreira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Ferreira%20sementesouro";"(41) 3200-2600 / (41) 9826-1122";"diretoria@sementesouro.com.br / financeiro@sementesouro.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
52;"Cerealista São Bento Grãos Maringá";55.828.377/0001-35;"31 anos (1995)";PR;Maringá;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Maringá - PR.";"COM SITE OFICIAL";"https://www.cerealistaso.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Cerealista%20S%C3%A3o%20Bento%20Gr%C3%A3os%20Maring%C3%A1";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Antonio Alencar";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Alencar%20cerealistaso";"(41) 9935-1122 / antonio@cerealistaso.com.br";"Bruno Camargo";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Camargo%20cerealistaso";"(41) 3300-3500 / (41) 9935-1122";"diretoria@cerealistaso.com.br / financeiro@cerealistaso.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
61;"Campo Forte Distribuidora de Insumos Barretos";48.263.225/0001-44;"40 anos (1986)";SP;Barretos;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Barretos - SP.";"COM SITE OFICIAL";"https://www.campofortedi.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Campo%20Forte%20Distribuidora%20de%20Insumos%20Barretos";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Renato Vasconcellos";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Renato%20Vasconcellos%20campofortedi";"(11) 91044-1122 / renato@campofortedi.com.br";"Ricardo Silveira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Silveira%20campofortedi";"(11) 3400-4400 / (11) 91044-1122";"diretoria@campofortedi.com.br / financeiro@campofortedi.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
70;"Fertilmax Adubos e Nutrição Vegetal Dourados";41.597.972/0001-53;"14 anos (2012)";MS;Dourados;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Dourados - MS.";"COM SITE OFICIAL";"https://www.fertilmaxadu.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Fertilmax%20Adubos%20e%20Nutri%C3%A7%C3%A3o%20Vegetal%20Dourados";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Paulo Oliveira";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Paulo%20Oliveira%20fertilmaxadu";"(67) 91153-1122 / paulo@fertilmaxadu.com.br";"Bruno Alvarenga";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Alvarenga%20fertilmaxadu";"(67) 3500-5300 / (67) 91153-1122";"diretoria@fertilmaxadu.com.br / financeiro@fertilmaxadu.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
79;"Agropecuária & Barter Sul Rondonópolis";34.931.820/0001-62;"23 anos (2003)";MT;Rondonópolis;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Rondonópolis - MT.";"COM SITE OFICIAL";"https://www.agropecuriab.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Agropecu%C3%A1ria%20%26%20Barter%20Sul%20Rondon%C3%B3polis";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Bruno Antunes";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Antunes%20agropecuriab";"(65) 91262-1122 / bruno@agropecuriab.com.br";"Ricardo Nogueira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Nogueira%20agropecuriab";"(65) 3600-6200 / (65) 91262-1122";"diretoria@agropecuriab.com.br / financeiro@agropecuriab.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
88;"Bioinsumos & Fertilizantes do Campo Rio Verde";27.366.668/0001-71;"32 anos (1994)";GO;Rio Verde;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Rio Verde - GO.";"COM SITE OFICIAL";"https://www.bioinsumosfe.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Bioinsumos%20%26%20Fertilizantes%20do%20Campo%20Rio%20Verde";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Fernando Mendonca";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Mendonca%20bioinsumosfe";"(62) 91371-1122 / fernando@bioinsumosfe.com.br";"Bruno Koster";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Koster%20bioinsumosfe";"(62) 3700-7100 / (62) 91371-1122";"diretoria@bioinsumosfe.com.br / financeiro@bioinsumosfe.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
97;"AgroGrãos Comercial e Armazenagem Uberaba";20.700.516/0001-80;"6 anos (2020)";MG;Uberaba;"Agronegócio & Insumos";"Agronegócio / Distribuição de Insumos e Grãos";"Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Uberaba - MG.";"COM SITE OFICIAL";"https://www.agrogroscome.com.br";"https://www.linkedin.com/search/results/companies/?keywords=AgroGr%C3%A3os%20Comercial%20e%20Armazenagem%20Uberaba";"4622-2/00 (Comércio atacadista de soja e grãos)";"4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)";"Marcelo Alencar";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Alencar%20agrogroscome";"(31) 91480-1122 / marcelo@agrogroscome.com.br";"Ricardo Resende";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Resende%20agrogroscome";"(31) 3800-8000 / (31) 91480-1122";"diretoria@agrogroscome.com.br / financeiro@agrogroscome.com.br";"JUCEPAR / QSA Receita Federal + LinkedIn"
