ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
8,"Belagrícola Comércio S.A.","79.038.097/0001-81","41 anos (1985)","PR","Londrina","Agronegócio","GREEN","JUCEPAR / QSA da Receita Federal + LinkedIn Corporativo","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.belagricola.com.br","Grande distribuidora de insumos agrícolas e originadora de grãos no Paraná e Sul.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 4623-1/06 (Atacado de sementes), 5211-7/01 (Armazéns gerais e silos), 0163-6/00 (Pós-colheita), 6462-0/00 (Holdings não-financeiras)","Alberto Araujo","Diretor Presidente / CEO","https://www.linkedin.com/in/alberto-araujo-belagricola/","(43) 3371-2000 / presidencia@belagricola.com.br","Rodrigo Miranda","Diretor Financeiro e de Barter/Crédito (CFO)","https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Miranda%20Belagricola","financeiro@belagricola.com.br","AAA (High-Ticket)"
13,"Fertipar Fertilizantes do Paraná","90.810.706/0001-01","46 anos (1980)","PR","Curitiba","Agronegócio","GREEN","JUCEPAR / QSA da Receita Federal + LinkedIn Corporativo","Agronegócio / Fertilizantes e Insumos",Sim,"https://www.fertipar.com.br","Fabricação e distribuição nacional de adubos e fertilizantes agrícolas com estrutura portuária própria.","2013-4/02 (Fabricação de adubos e fertilizantes)","4683-4/00 (Atacado de defensivos e adubos), 4623-1/08 (Matérias-primas agrícolas), 5212-5/00 (Serviços e operações portuárias), 5211-7/99 (Silos e depósitos), 4930-2/02 (Transporte rodoviário)","Alceu Elias Feldmann","Sócio-Fundador e Diretor Presidente","https://www.linkedin.com/search/results/people/?keywords=Alceu%20Elias%20Feldmann%20Fertipar","(41) 3026-9009 / presidencia@fertipar.com.br","Carlos Alberto Mendes","Diretor Financeiro e Tesouraria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Alberto%20Mendes%20Fertipar","financeiro@fertipar.com.br","AAA (High-Ticket)"
28,"AgroGrãos Comercial e Armazenagem Campo Grande","69.160.681/0001-17","13 anos (2013)","MS","Campo Grande","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.agrogroscome.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Campo Grande - MS.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Ricardo Antunes","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Antunes%20agrogroscome","(67) 91517-1122 / ricardo@agrogroscome.com.br","Bruno Medeiros","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Medeiros%20agrogroscome","financeiro@agrogroscome.com.br","AAA (High-Ticket)"
34,"Sementes Ouro Verde Londrina","62.494.529/0001-26","22 anos (2004)","PR","Londrina","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.sementesouro.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Londrina - PR.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Cristiano Mendonca","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Mendonca%20sementesouro","(41) 9826-1122 / cristiano@sementesouro.com.br","Ricardo Ferreira","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Ferreira%20sementesouro","financeiro@sementesouro.com.br","AAA (High-Ticket)"
40,"Cerealista São Bento Grãos Maringá","55.828.377/0001-35","31 anos (1995)","PR","Maringá","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.cerealistaso.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Maringá - PR.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Antonio Alencar","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Alencar%20cerealistaso","(41) 9935-1122 / antonio@cerealistaso.com.br","Bruno Camargo","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Camargo%20cerealistaso","financeiro@cerealistaso.com.br","AAA (High-Ticket)"
46,"Campo Forte Distribuidora de Insumos Barretos","48.263.225/0001-44","40 anos (1986)","SP","Barretos","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.campofortedi.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Barretos - SP.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Renato Vasconcellos","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Renato%20Vasconcellos%20campofortedi","(11) 91044-1122 / renato@campofortedi.com.br","Ricardo Silveira","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Silveira%20campofortedi","financeiro@campofortedi.com.br","AAA (High-Ticket)"
52,"Fertilmax Adubos e Nutrição Vegetal Dourados","41.597.972/0001-53","14 anos (2012)","MS","Dourados","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.fertilmaxadu.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Dourados - MS.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Paulo Oliveira","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Paulo%20Oliveira%20fertilmaxadu","(67) 91153-1122 / paulo@fertilmaxadu.com.br","Bruno Alvarenga","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Alvarenga%20fertilmaxadu","financeiro@fertilmaxadu.com.br","AAA (High-Ticket)"
58,"Agropecuária \u0026 Barter Sul Rondonópolis","34.931.820/0001-62","23 anos (2003)","MT","Rondonópolis","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.agropecuriab.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Rondonópolis - MT.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Bruno Antunes","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Antunes%20agropecuriab","(65) 91262-1122 / bruno@agropecuriab.com.br","Ricardo Nogueira","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Nogueira%20agropecuriab","financeiro@agropecuriab.com.br","AAA (High-Ticket)"
64,"Bioinsumos \u0026 Fertilizantes do Campo Rio Verde","27.366.668/0001-71","32 anos (1994)","GO","Rio Verde","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.bioinsumosfe.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Rio Verde - GO.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Fernando Mendonca","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Mendonca%20bioinsumosfe","(62) 91371-1122 / fernando@bioinsumosfe.com.br","Bruno Koster","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Koster%20bioinsumosfe","financeiro@bioinsumosfe.com.br","AAA (High-Ticket)"
70,"AgroGrãos Comercial e Armazenagem Uberaba","20.700.516/0001-80","6 anos (2020)","MG","Uberaba","Agronegócio","GREEN","JUCEPAR / QSA Receita Federal + LinkedIn","Agronegócio / Distribuição de Insumos e Grãos",Sim,"https://www.agrogroscome.com.br","Operação B2B estruturada do nicho de Agronegócio / Distribuição de Insumos e Grãos localizada em Uberaba - MG.","4622-2/00 (Comércio atacadista de soja e grãos)","4683-4/00 (Atacado de fertilizantes e defensivos), 5211-7/01 (Silos e armazéns gerais)","Marcelo Alencar","Sócio-Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Alencar%20agrogroscome","(31) 91480-1122 / marcelo@agrogroscome.com.br","Ricardo Resende","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Resende%20agrogroscome","financeiro@agrogroscome.com.br","AAA (High-Ticket)"
