ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
27;"Lumina Produções Artísticas e Eventos";23.901.442/0001-55;"11 anos (2015)";MG;Belo Horizonte;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Direitos de Imagem";"Produtora executiva de festivais musicais, agenciamento de turnês e cessão de imagem.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Lumina%20Produ%C3%A7%C3%B5es%20Art%C3%ADsticas%20e%20Eventos";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento cultural/artístico), 7319-0/02 (Merchandising e direitos), 9001-9/06 (Sonorização e iluminação)";"Marcos Vinicius Rezende";"Sócio-Diretor Geral de Produção";"https://www.linkedin.com/search/results/people/?keywords=Marcos%20Vinicius%20Rezende%20Lumina%20Producoes";"(31) 99765-3344 / marcos@luminaproducoes.com.br";"Camila Guimarães";"Diretora Jurídica e de Contratos Artísticos";"https://www.linkedin.com/search/results/people/?keywords=Camila%20Guimaraes%20Lumina";"(31) 3290-4400 / (31) 99765-3344";"contato@luminaproducoes.com.br / financeiro@luminaproducoes.com.br";"Ancine / Salic + QSA Receita Federal + LinkedIn"
31;"LiveConcept Festivais e Cenografia Campinas";48.648.432/0001-14;"10 anos (2016)";SP;Campinas;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Campinas - SP.";"COM SITE OFICIAL";"https://www.liveconceptf.com.br";"https://www.linkedin.com/search/results/companies/?keywords=LiveConcept%20Festivais%20e%20Cenografia%20Campinas";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Renato Vasconcellos";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Renato%20Vasconcellos%20liveconceptf";"(11) 91214-1122 / renato@liveconceptf.com.br";"Ricardo Silveira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Silveira%20liveconceptf";"(11) 3600-1400 / (11) 91214-1122";"diretoria@liveconceptf.com.br / financeiro@liveconceptf.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
40;"Stage Brasil Agenciamento Artístico Belo Horizonte";41.982.280/0001-23;"19 anos (2007)";MG;Belo Horizonte;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.stagebrasila.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Stage%20Brasil%20Agenciamento%20Art%C3%ADstico%20Belo%20Horizonte";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Paulo Oliveira";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Paulo%20Oliveira%20stagebrasila";"(31) 91323-1122 / paulo@stagebrasila.com.br";"Bruno Alvarenga";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Alvarenga%20stagebrasila";"(31) 3700-2300 / (31) 91323-1122";"diretoria@stagebrasila.com.br / financeiro@stagebrasila.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
49;"ShowPrime Gestão Artística e Turnês Campinas";34.417.128/0001-32;"28 anos (1998)";SP;Campinas;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Campinas - SP.";"COM SITE OFICIAL";"https://www.showprimeges.com.br";"https://www.linkedin.com/search/results/companies/?keywords=ShowPrime%20Gest%C3%A3o%20Art%C3%ADstica%20e%20Turn%C3%AAs%20Campinas";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Bruno Antunes";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Antunes%20showprimeges";"(11) 91432-1122 / bruno@showprimeges.com.br";"Ricardo Nogueira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Nogueira%20showprimeges";"(11) 3800-3200 / (11) 91432-1122";"diretoria@showprimeges.com.br / financeiro@showprimeges.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
58;"Audio Vision Sonorização e Painéis LED Belo Horizonte";27.751.875/0001-41;"37 anos (1989)";MG;Belo Horizonte;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.audiovisions.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Audio%20Vision%20Sonoriza%C3%A7%C3%A3o%20e%20Pain%C3%A9is%20LED%20Belo%20Horizonte";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Fernando Mendonca";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Mendonca%20audiovisions";"(31) 91541-1122 / fernando@audiovisions.com.br";"Bruno Koster";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Koster%20audiovisions";"(31) 3900-4100 / (31) 91541-1122";"diretoria@audiovisions.com.br / financeiro@audiovisions.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
67;"MegaShow Eventos e Estruturas Campinas";20.186.723/0001-50;"11 anos (2015)";SP;Campinas;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Campinas - SP.";"COM SITE OFICIAL";"https://www.megashoweven.com.br";"https://www.linkedin.com/search/results/companies/?keywords=MegaShow%20Eventos%20e%20Estruturas%20Campinas";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Marcelo Alencar";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Alencar%20megashoweven";"(11) 9850-1122 / marcelo@megashoweven.com.br";"Ricardo Resende";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Resende%20megashoweven";"(11) 3200-5000 / (11) 9850-1122";"diretoria@megashoweven.com.br / financeiro@megashoweven.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
76;"NovaArte Produções e Entretenimento Belo Horizonte";83.520.571/0001-59;"20 anos (2006)";MG;Belo Horizonte;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.novaarteprod.com.br";"https://www.linkedin.com/search/results/companies/?keywords=NovaArte%20Produ%C3%A7%C3%B5es%20e%20Entretenimento%20Belo%20Horizonte";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Caio Vasconcellos";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Caio%20Vasconcellos%20novaarteprod";"(31) 9959-1122 / caio@novaarteprod.com.br";"Bruno Toledo";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Toledo%20novaarteprod";"(31) 3300-5900 / (31) 9959-1122";"diretoria@novaarteprod.com.br / financeiro@novaarteprod.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
85;"MegaPalco Engenharia de Eventos Campinas";76.854.419/0001-68;"29 anos (1997)";SP;Campinas;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Campinas - SP.";"COM SITE OFICIAL";"https://www.megapalcoeng.com.br";"https://www.linkedin.com/search/results/companies/?keywords=MegaPalco%20Engenharia%20de%20Eventos%20Campinas";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Henrique Oliveira";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Henrique%20Oliveira%20megapalcoeng";"(11) 91068-1122 / henrique@megapalcoeng.com.br";"Ricardo Diniz";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Diniz%20megapalcoeng";"(11) 3400-6800 / (11) 91068-1122";"diretoria@megapalcoeng.com.br / financeiro@megapalcoeng.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
94;"LiveConcept Festivais e Cenografia Belo Horizonte";69.289.267/0001-77;"38 anos (1988)";MG;Belo Horizonte;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.liveconceptf.com.br";"https://www.linkedin.com/search/results/companies/?keywords=LiveConcept%20Festivais%20e%20Cenografia%20Belo%20Horizonte";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Ricardo Antunes";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Antunes%20liveconceptf";"(31) 91177-1122 / ricardo@liveconceptf.com.br";"Bruno Medeiros";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Medeiros%20liveconceptf";"(31) 3500-7700 / (31) 91177-1122";"diretoria@liveconceptf.com.br / financeiro@liveconceptf.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
103;"Stage Brasil Agenciamento Artístico Campinas";62.623.115/0001-86;"12 anos (2014)";SP;Campinas;"Artistas & Produtoras PJ";"Produção de Grandes Espetáculos & Agenciamento";"Operação B2B estruturada do nicho de Produção de Grandes Espetáculos & Agenciamento localizada em Campinas - SP.";"COM SITE OFICIAL";"https://www.stagebrasila.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Stage%20Brasil%20Agenciamento%20Art%C3%ADstico%20Campinas";"9001-9/02 (Produção de espetáculos musicais)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz), 7319-0/02 (Merchandising)";"Cristiano Mendonca";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Mendonca%20stagebrasila";"(11) 91286-1122 / cristiano@stagebrasila.com.br";"Ricardo Ferreira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Ferreira%20stagebrasila";"(11) 3600-8600 / (11) 91286-1122";"diretoria@stagebrasila.com.br / financeiro@stagebrasila.com.br";"Ancine / ECAD + QSA Receita Federal + LinkedIn"
