ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
260;"Atacadão & Distribuidora São Paulo";19.401.890/0001-42;"15 anos (2011)";SP;São Paulo;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em São Paulo - SP.";"COM SITE OFICIAL";"https://www.atacadosãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20S%C3%A3o%20Paulo";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"8230-0/01 (Organização de eventos), 7490-1/05 (Agenciamento cultural)";"Alexandre Zanin Silveira";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Zanin%20Silveira%20Opus";"(11) 98120-7799 / alexandre@opusbrasilproducoes.com.br";"";"";"";"(11) 3169-8500";"diretoria@opusbrasilproducoes.com.br / financeiro@opusbrasilproducoes.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
261;"Atacadão & Distribuidora Belo Horizonte";22.192.405/0001-87;"13 anos (2013)";MG;Belo Horizonte;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.atacadobelohorizonte.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Belo%20Horizonte";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"9001-9/01 (Artes cênicas), 7490-1/05 (Agenciamento)";"Carlos Eduardo Prado Medeiros";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Prado%20Ritmo";"(31) 99830-1100 / carlos@ritmicaproducoes.com.br";"";"";"";"(31) 3275-8000";"projetos@ritmicaproducoes.com.br / financeiro@ritmicaproducoes.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
262;"Atacadão & Distribuidora Goiânia";27.840.192/0001-63;"10 anos (2016)";GO;Goiânia;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Goiânia - GO.";"COM SITE OFICIAL";"https://www.atacadogoiânia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Goi%C3%A2nia";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"5920-1/00 (Gravação de som e edição de música), 9001-9/02 (Espetáculos)";"Murilo Toledo Cavalcante";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Murilo%20Toledo%20Cavalcante%20Empresario";"(62) 99840-7766 / murilo@artistaprime.com.br";"";"";"";"(62) 3242-9000";"comercial@artistaprime.com.br / financeiro@artistaprime.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
263;"Atacadão & Distribuidora Curitiba";16.401.890/0001-20;"18 anos (2008)";PR;Curitiba;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Curitiba - PR.";"COM SITE OFICIAL";"https://www.atacadocuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Curitiba";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"7739-0/03 (Aluguel de palcos e coberturas), 4329-1/99 (Instalações elétricas temporárias)";"Eng. Fabio Koster Nogueira";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Koster%20Nogueira%20Acustica";"(41) 99910-8833 / fabio@acusticaproeventos.com.br";"";"";"";"(41) 3349-9500";"locacao@acusticaproeventos.com.br / financeiro@acusticaproeventos.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
264;"Atacadão & Distribuidora Campinas";23.904.819/0001-94;"12 anos (2014)";SP;Campinas;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Campinas - SP.";"COM SITE OFICIAL";"https://www.atacadocampinas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Campinas";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"7739-0/99 (Aluguel de outros equipamentos), 5911-1/99 (Audiovisual)";"Leonardo Antunes Silveira";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Antunes%20Silveira%20LED";"(19) 98140-2211 / leonardo@visaoled.com.br";"";"";"";"(19) 3255-8000";"comercial@visaoled.com.br / financeiro@visaoled.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
265;"Atacadão & Distribuidora Florianópolis";20.840.192/0001-37;"14 anos (2012)";SC;Florianópolis;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.atacadoflorianópolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Florian%C3%B3polis";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"9001-9/06 (Iluminação e som), 2511-0/00 (Estruturas metálicas)";"Eng. Daniel Fagundes Zanin";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Daniel%20Fagundes%20Zanin%20Estruturas";"(48) 99110-6644 / daniel@cenashowestruturas.com.br";"";"";"";"(48) 3244-9000";"engenharia@cenashowestruturas.com.br / financeiro@cenashowestruturas.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
266;"Atacadão & Distribuidora Campo Grande";28.192.405/0001-71;"10 anos (2016)";MS;Campo Grande;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.atacadocampogrande.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Campo%20Grande";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"7490-1/05 (Agenciamento artístico), 9001-9/06 (Sonorização e luz)";"Eduardo Prado Silveira";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Prado%20Silveira%20Harmonia";"(67) 99920-5588 / eduardo.harmoniashows@gmail.com";"";"";"";"(67) 3383-7000";"shows.harmoniams@gmail.com / financeiro.harmoniams@gmail.com";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
267;"Atacadão & Distribuidora Uberlândia";18.904.819/0001-58;"15 anos (2011)";MG;Uberlândia;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Uberlândia - MG.";"COM SITE OFICIAL";"https://www.atacadouberlândia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Uberl%C3%A2ndia";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"7739-0/03 (Aluguel de palcos), 9001-9/02 (Produção musical)";"Cristiano Toledo Nogueira";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Toledo%20Nogueira%20Impacto";"(34) 99810-9944 / cristiano@impactosomevento.com.br";"";"";"";"(34) 3216-8000";"comercial@impactosomevento.com.br / financeiro@impactosomevento.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
268;"Atacadão & Distribuidora São Paulo";25.401.890/0001-07;"11 anos (2015)";SP;São Paulo;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em São Paulo - SP.";"COM SITE OFICIAL";"https://www.atacadosãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20S%C3%A3o%20Paulo";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"5912-0/99 (Pós-produção de áudio para audiovisual), 7490-1/05 (Agenciamento)";"Roberto Vasconcellos Prado";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Vasconcellos%20Prado%20Produtor";"(11) 98320-1144 / roberto@estudiosommaior.com.br";"";"";"";"(11) 3085-7000";"estudio@estudiosommaior.com.br / financeiro@estudiosommaior.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
269;"Atacadão & Distribuidora Curitiba";21.840.192/0001-84;"13 anos (2013)";PR;Curitiba;"Atacados";"Comércio Atacadista & Distribuição Geral";"Central atacadista de distribuição de secos e molhados, materiais e suprimentos B2B em Curitiba - PR.";"COM SITE OFICIAL";"https://www.atacadocuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Atacad%C3%A3o%20%26%20Distribuidora%20Curitiba";"4639-7/01 (Comércio atacadista de produtos alimentícios em geral)";"8230-0/01 (Organização de congressos e feiras), 7490-1/05 (Agenciamento)";"Marcos Silveira Zanin";"Sócio-Diretor Comercial & Logística";"https://www.linkedin.com/search/results/people/?keywords=Marcos%20Silveira%20Zanin%20Teatro";"(41) 99130-8800 / marcos@talentopuroeventos.com.br";"";"";"";"(41) 3242-9100";"contato@talentopuroeventos.com.br / financeiro@talentopuroeventos.com.br";"ABAD + Juntas Comerciais + Receita Federal + LinkedIn"
