ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
25;"Aerosafe Táxi Aéreo e Gestão de Aeronaves";26.419.805/0001-92;"10 anos (2016)";SP;Jundiaí;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Empresa de fretamento de jatos executivos, gestão de frotas privadas e tripulação técnica.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Aerosafe%20T%C3%A1xi%20A%C3%A9reo%20e%20Gest%C3%A3o%20de%20Aeronaves";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Atividades auxiliares aéreas), 8599-6/04 (Treinamento em aviação), 7719-5/99 (Locação de aeronaves)";"Comandante Rodrigo Meirelles";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Meirelles%20Piloto%20Avia%C3%A7%C3%A3o";"(11) 99123-8899 / r.meirelles@aerosafe.aero";"Mariana Prado";"Gerente Geral Financeira e Fretamentos";"https://www.linkedin.com/search/results/people/?keywords=Mariana%20Prado%20AeroSafe";"(11) 4589-7000 / (11) 99123-8899";"operacoes@aerosafe.aero / financeiro@aerosafe.aero";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
29;"SkyService Manutenção e Apoio de Voo São Paulo";34.374.266/0001-12;"8 anos (2018)";SP;São Paulo;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em São Paulo - SP.";"COM SITE OFICIAL";"https://www.skyservicema.com.br";"https://www.linkedin.com/search/results/companies/?keywords=SkyService%20Manuten%C3%A7%C3%A3o%20e%20Apoio%20de%20Voo%20S%C3%A3o%20Paulo";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Bruno Alvarenga";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Alvarenga%20skyservicema";"(11) 91012-1122 / bruno@skyservicema.com.br";"Fabio Moreira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Moreira%20skyservicema";"(11) 3400-1200 / (11) 91012-1122";"diretoria@skyservicema.com.br / financeiro@skyservicema.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
38;"JetPrime Soluções Aeronáuticas Curitiba";27.708.114/0001-21;"17 anos (2009)";PR;Curitiba;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Curitiba - PR.";"COM SITE OFICIAL";"https://www.jetprimesolu.com.br";"https://www.linkedin.com/search/results/companies/?keywords=JetPrime%20Solu%C3%A7%C3%B5es%20Aeron%C3%A1uticas%20Curitiba";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Fernando Medeiros";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Medeiros%20jetprimesolu";"(41) 91121-1122 / fernando@jetprimesolu.com.br";"Vinicius Alencar";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Alencar%20jetprimesolu";"(41) 3500-2100 / (41) 91121-1122";"diretoria@jetprimesolu.com.br / financeiro@jetprimesolu.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
47;"Helicópteros do Brasil Operações Aéreas Belo Horizonte";20.143.861/0001-30;"26 anos (2000)";MG;Belo Horizonte;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.helicpterosd.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Helic%C3%B3pteros%20do%20Brasil%20Opera%C3%A7%C3%B5es%20A%C3%A9reas%20Belo%20Horizonte";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Marcelo Koster";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Koster%20helicpterosd";"(31) 91230-1122 / marcelo@helicpterosd.com.br";"Fabio Barcellos";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Barcellos%20helicpterosd";"(31) 3600-3000 / (31) 91230-1122";"diretoria@helicpterosd.com.br / financeiro@helicpterosd.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
65;"FlyExec Táxi Aéreo e Hangar Maringá";76.811.557/0001-48;"9 anos (2017)";PR;Maringá;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Maringá - PR.";"COM SITE OFICIAL";"https://www.flyexectxiar.com.br";"https://www.linkedin.com/search/results/companies/?keywords=FlyExec%20T%C3%A1xi%20A%C3%A9reo%20e%20Hangar%20Maring%C3%A1";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Henrique Toledo";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Henrique%20Toledo%20flyexectxiar";"(41) 91448-1122 / henrique@flyexectxiar.com.br";"Fabio Dias";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Dias%20flyexectxiar";"(41) 3800-4800 / (41) 91448-1122";"diretoria@flyexectxiar.com.br / financeiro@flyexectxiar.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
74;"GlobalJet Compartilhamento de Aeronaves Campo Grande";69.246.405/0001-57;"18 anos (2008)";MS;Campo Grande;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.globaljetcom.com.br";"https://www.linkedin.com/search/results/companies/?keywords=GlobalJet%20Compartilhamento%20de%20Aeronaves%20Campo%20Grande";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Ricardo Alvarenga";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Alvarenga%20globaljetcom";"(67) 91557-1122 / ricardo@globaljetcom.com.br";"Vinicius Mendonca";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Mendonca%20globaljetcom";"(67) 3900-5700 / (67) 91557-1122";"diretoria@globaljetcom.com.br / financeiro@globaljetcom.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
83;"AeroTáxi Executivo e Fretamentos Jundiaí";62.580.253/0001-66;"27 anos (1999)";SP;Jundiaí;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Jundiaí - SP.";"COM SITE OFICIAL";"https://www.aerotxiexecu.com.br";"https://www.linkedin.com/search/results/companies/?keywords=AeroT%C3%A1xi%20Executivo%20e%20Fretamentos%20Jundia%C3%AD";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Cristiano Medeiros";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Medeiros%20aerotxiexecu";"(11) 9866-1122 / cristiano@aerotxiexecu.com.br";"Fabio Zanin";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Zanin%20aerotxiexecu";"(11) 3200-6600 / (11) 9866-1122";"diretoria@aerotxiexecu.com.br / financeiro@aerotxiexecu.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
92;"HangarVIP Gestão de Frotas Privadas Sorocaba";55.914.101/0001-75;"36 anos (1990)";SP;Sorocaba;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Sorocaba - SP.";"COM SITE OFICIAL";"https://www.hangarvipges.com.br";"https://www.linkedin.com/search/results/companies/?keywords=HangarVIP%20Gest%C3%A3o%20de%20Frotas%20Privadas%20Sorocaba";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Antonio Koster";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Koster%20hangarvipges";"(11) 9975-1122 / antonio@hangarvipges.com.br";"Vinicius Vasconcellos";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Vasconcellos%20hangarvipges";"(11) 3300-7500 / (11) 9975-1122";"diretoria@hangarvipges.com.br / financeiro@hangarvipges.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
101;"SkyService Manutenção e Apoio de Voo São Paulo";48.349.848/0001-84;"10 anos (2016)";SP;São Paulo;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em São Paulo - SP.";"COM SITE OFICIAL";"https://www.skyservicema.com.br";"https://www.linkedin.com/search/results/companies/?keywords=SkyService%20Manuten%C3%A7%C3%A3o%20e%20Apoio%20de%20Voo%20S%C3%A3o%20Paulo";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Renato Camargo";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Renato%20Camargo%20skyservicema";"(11) 91084-1122 / renato@skyservicema.com.br";"Fabio Siqueira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Siqueira%20skyservicema";"(11) 3400-8400 / (11) 91084-1122";"diretoria@skyservicema.com.br / financeiro@skyservicema.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
110;"JetPrime Soluções Aeronáuticas Curitiba";41.683.696/0001-93;"19 anos (2007)";PR;Curitiba;"Aviação & Pilotos PJ";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Curitiba - PR.";"COM SITE OFICIAL";"https://www.jetprimesolu.com.br";"https://www.linkedin.com/search/results/companies/?keywords=JetPrime%20Solu%C3%A7%C3%B5es%20Aeron%C3%A1uticas%20Curitiba";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Paulo Toledo";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Paulo%20Toledo%20jetprimesolu";"(41) 91193-1122 / paulo@jetprimesolu.com.br";"Vinicius Antunes";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Antunes%20jetprimesolu";"(41) 3500-9300 / (41) 91193-1122";"diretoria@jetprimesolu.com.br / financeiro@jetprimesolu.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
