ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
360;"Rede Concessionárias & Veículos Pesados São Paulo";20.401.890/0001-53;"15 anos (2011)";SP;São Paulo;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em São Paulo - SP.";"COM SITE OFICIAL";"https://www.concessionariassãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20S%C3%A3o%20Paulo";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"8230-0/01 (Organização de feiras e eventos), 7490-1/05 (Agenciamento)";"Alexandre Prado Zanin";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Prado%20Zanin%20Shows";"(11) 98120-8800 / alexandre@sommaioreventos.com.br";"";"";"";"(11) 3169-9000";"diretoria@sommaioreventos.com.br / financeiro@sommaioreventos.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
361;"Rede Concessionárias & Veículos Pesados Belo Horizonte";23.192.405/0001-98;"13 anos (2013)";MG;Belo Horizonte;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.concessionariasbelohorizonte.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Belo%20Horizonte";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"9001-9/02 (Produção de espetáculos musicais), 5920-1/00 (Edição de música)";"Carlos Eduardo Medeiros Silveira";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Medeiros%20Ritmo";"(31) 99830-2211 / carlos@ritmobrasilartistas.com.br";"";"";"";"(31) 3276-8500";"agenda@ritmobrasilartistas.com.br / financeiro@ritmobrasilartistas.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
362;"Rede Concessionárias & Veículos Pesados Goiânia";28.840.192/0001-74;"10 anos (2016)";GO;Goiânia;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Goiânia - GO.";"COM SITE OFICIAL";"https://www.concessionariasgoiânia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Goi%C3%A2nia";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"8230-0/01 (Organização de feiras), 7739-0/03 (Aluguel de palcos)";"Murilo Silveira Cavalcante";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Murilo%20Silveira%20Cavalcante%20Shows";"(62) 99840-8877 / murilo@showprimeeventos.com.br";"";"";"";"(62) 3243-9500";"comercial@showprimeeventos.com.br / financeiro@showprimeeventos.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
363;"Rede Concessionárias & Veículos Pesados Curitiba";17.401.890/0001-31;"18 anos (2008)";PR;Curitiba;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Curitiba - PR.";"COM SITE OFICIAL";"https://www.concessionariascuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Curitiba";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"7739-0/03 (Aluguel de palcos e coberturas), 9001-9/02 (Produção musical)";"Eng. Fabio Fagundes Nogueira";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Fagundes%20Nogueira%20Audio";"(41) 99910-9944 / fabio@audioluzarenas.com.br";"";"";"";"(41) 3350-9000";"locacao@audioluzarenas.com.br / financeiro@audioluzarenas.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
364;"Rede Concessionárias & Veículos Pesados Campinas";24.904.819/0001-05;"12 anos (2014)";SP;Campinas;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Campinas - SP.";"COM SITE OFICIAL";"https://www.concessionariascampinas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Campinas";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"7739-0/99 (Aluguel de equipamentos de tecnologia), 5911-1/99 (Audiovisual)";"Leonardo Zanin Silveira";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Zanin%20Silveira%20LED";"(19) 98140-3322 / leonardo@paineisledbrasil.com.br";"";"";"";"(19) 3256-8000";"comercial@paineisledbrasil.com.br / financeiro@paineisledbrasil.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
365;"Rede Concessionárias & Veículos Pesados Florianópolis";21.840.192/0001-48;"14 anos (2012)";SC;Florianópolis;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.concessionariasflorianópolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Florian%C3%B3polis";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"9001-9/06 (Serviços de iluminação), 2511-0/00 (Estruturas metálicas)";"Eng. Daniel Toledo Zanin";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Daniel%20Toledo%20Zanin%20Palcos";"(48) 99110-7755 / daniel@palcosulestruturas.com.br";"";"";"";"(48) 3245-9500";"engenharia@palcosulestruturas.com.br / financeiro@palcosulestruturas.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
366;"Rede Concessionárias & Veículos Pesados Campo Grande";29.192.405/0001-82;"10 anos (2016)";MS;Campo Grande;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.concessionariascampogrande.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Campo%20Grande";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"8230-0/01 (Organização de feiras e congressos), 7490-1/05 (Agenciamento)";"Eduardo Silveira Prado";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Silveira%20Prado%20Eventos";"(67) 99920-6699 / eduardo.pantanalshows@gmail.com";"";"";"";"(67) 3384-7500";"shows.pantanalms@gmail.com / financeiro.pantanalshows@gmail.com";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
367;"Rede Concessionárias & Veículos Pesados Uberlândia";19.904.819/0001-69;"15 anos (2011)";MG;Uberlândia;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Uberlândia - MG.";"COM SITE OFICIAL";"https://www.concessionariasuberlândia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Uberl%C3%A2ndia";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"7739-0/03 (Aluguel de estruturas), 9001-9/02 (Produção musical)";"Cristiano Antunes Toledo";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Antunes%20Toledo%20Cenografia";"(34) 99810-1155 / cristiano@cenarioproeventos.com.br";"";"";"";"(34) 3217-8500";"projetos@cenarioproeventos.com.br / financeiro@cenarioproeventos.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
368;"Rede Concessionárias & Veículos Pesados São Paulo";26.401.890/0001-18;"11 anos (2015)";SP;São Paulo;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em São Paulo - SP.";"COM SITE OFICIAL";"https://www.concessionariassãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20S%C3%A3o%20Paulo";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"5912-0/99 (Pós-produção audiovisual), 7490-1/05 (Agenciamento)";"Roberto Prado Vasconcellos";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Prado%20Vasconcellos%20Studio";"(11) 98320-2255 / roberto@masterstudiomusic.com.br";"";"";"";"(11) 3086-7500";"estudio@masterstudiomusic.com.br / financeiro@masterstudiomusic.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
369;"Rede Concessionárias & Veículos Pesados Curitiba";22.840.192/0001-95;"13 anos (2013)";PR;Curitiba;"Concessionárias & Auto";"Concessionárias de Automóveis, Caminhões & Maquinário";"Rede de concessionárias autorizadas de veículos, caminhões pesados e serviços automotivos em Curitiba - PR.";"COM SITE OFICIAL";"https://www.concessionariascuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Concession%C3%A1rias%20%26%20Ve%C3%ADculos%20Pesados%20Curitiba";"4511-1/01 (Comércio a varejo de automóveis, camionetas e utilitários novos)";"8230-0/01 (Organização de congressos), 7490-1/05 (Agenciamento)";"Marcos Zanin Silveira";"Diretor Geral / Sócio-Proprietário";"https://www.linkedin.com/search/results/people/?keywords=Marcos%20Zanin%20Silveira%20Teatro";"(41) 99130-9911 / marcos@vivaarteproducoes.com.br";"";"";"";"(41) 3243-9200";"contato@vivaarteproducoes.com.br / financeiro@vivaarteproducoes.com.br";"FENABRAVE + Juntas Comerciais + Receita Federal + LinkedIn"
