ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
180;"Cartório do 1º Ofício e Tabelionato de Notas de Belo Horizonte";21.849.302/0001-45;"14 anos (2012)";MG;Belo Horizonte;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.cartoriobelohorizonte.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%201%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Belo%20Horizonte";"6912-5/00 (Cartórios e serviços notariais)";"8640-2/08 (Diagnóstico vascular por imagem), 8630-5/02 (Consultórios médicos)";"Dr. Marcelo Vasconcellos Diniz";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Marcelo%20Vasconcellos%20Diniz%20Vascular";"(31) 99871-3322 / dr.marcelo@angiovascularbh.med.br";"";"";"";"(31) 3284-9100";"diretoria@angiovascularbh.med.br / financeiro@angiovascularbh.med.br";"CNJ / TJMG + Receita Federal + LinkedIn"
181;"Cartório do 2º Ofício e Tabelionato de Notas de Florianópolis";19.048.192/0001-88;"11 anos (2015)";SC;Florianópolis;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.cartorioflorianópolis.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%202%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Florian%C3%B3polis";"6912-5/00 (Cartórios e serviços notariais)";"8640-2/02 (Laboratórios clínicos de embriologia), 8630-5/01 (Medicina diagnóstica)";"Dr. Gustavo Fagundes Medeiros";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Gustavo%20Fagundes%20Reproducao";"(48) 99912-4400 / dr.gustavo@reproducaosc.med.br";"";"";"";"(48) 3229-7000";"contato@reproducaosc.med.br / financeiro@reproducaosc.med.br";"CNJ / TJSC + Receita Federal + LinkedIn"
182;"Cartório do 3º Ofício e Tabelionato de Notas de Campinas";30.819.402/0001-61;"8 anos (2018)";SP;Campinas;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Campinas - SP.";"COM SITE OFICIAL";"https://www.cartoriocampinas.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%203%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Campinas";"6912-5/00 (Cartórios e serviços notariais)";"8630-5/03 (Cirurgias ambulatoriais), 8640-2/08 (Diagnósticos por imagem)";"Dr. Alexandre Peixoto Alencar";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Alexandre%20Peixoto%20Gastro";"(19) 98844-5511 / dr.alexandre@gastroprimecampinas.med.br";"";"";"";"(19) 3341-9200";"diretoria@gastroprimecampinas.med.br / financeiro@gastroprimecampinas.med.br";"CNJ / TJSP + Receita Federal + LinkedIn"
183;"Cartório do 4º Ofício e Tabelionato de Notas de Goiânia";18.491.820/0001-94;"13 anos (2013)";GO;Goiânia;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Goiânia - GO.";"COM SITE OFICIAL";"https://www.cartoriogoiânia.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%204%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Goi%C3%A2nia";"6912-5/00 (Cartórios e serviços notariais)";"8650-0/04 (Fisioterapia especializada), 8640-2/05 (Radiologia)";"Dr. Lucas Camargo Toledo";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Lucas%20Camargo%20Ortopedista%20Goiânia";"(62) 99650-8800 / dr.lucas@ortopediagoiania.med.br";"";"";"";"(62) 3219-6000";"contato@ortopediagoiania.med.br / financeiro@ortopediagoiania.med.br";"CNJ / TJGO + Receita Federal + LinkedIn"
184;"Cartório do 5º Ofício e Tabelionato de Notas de Sorocaba";28.910.450/0001-83;"10 anos (2016)";SP;Sorocaba;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Sorocaba - SP.";"COM SITE OFICIAL";"https://www.cartoriosorocaba.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%205%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Sorocaba";"6912-5/00 (Cartórios e serviços notariais)";"5240-1/99 (Serviços auxiliares aos transportes aéreos), 7719-5/99 (Locação de aeronaves)";"Bel. Cmte. Wagner Zanin Prado";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Wagner%20Zanin%20Prado%20Piloto";"(15) 99180-6600 / wagner@skywingsavia.com.br";"Renata Alvarenga Borges";"Sócia e Gerente Financeira (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Renata%20Alvarenga%20Borges%20SkyWings";"(15) 3229-8800 / (15) 99180-6600";"operacoes@skywingsavia.com.br / fretamentos@skywingsavia.com.br";"CNJ / TJSP + Receita Federal + LinkedIn"
185;"Cartório do 1º Ofício e Tabelionato de Notas de Curitiba";17.401.928/0001-52;"15 anos (2011)";PR;Curitiba;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Curitiba - PR.";"COM SITE OFICIAL";"https://www.cartoriocuritiba.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%201%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Curitiba";"6912-5/00 (Cartórios e serviços notariais)";"5240-1/01 (Operação de aeroportos e hangares), 3316-3/01 (Manutenção de aeronaves)";"Bel. Cmte. Eduardo Koster Silveira";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Koster%20Silveira%20Aero";"(41) 99870-1122 / eduardo@aerosulhangares.com.br";"";"";"";"(41) 3251-7700";"diretoria@aerosulhangares.com.br / contato@aerosulhangares.com.br";"CNJ / TJPR + Receita Federal + LinkedIn"
186;"Cartório do 2º Ofício e Tabelionato de Notas de São Paulo";23.901.849/0001-19;"11 anos (2015)";SP;São Paulo;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em São Paulo - SP.";"COM SITE OFICIAL";"https://www.cartoriosãopaulo.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%202%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20S%C3%A3o%20Paulo";"6912-5/00 (Cartórios e serviços notariais)";"5240-1/99 (Serviços auxiliares terrestres), 7719-5/99 (Locação sem tripulação)";"Bel. Cmte. Daniel Vasconcellos Antunes";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Daniel%20Vasconcellos%20Antunes%20Helicoptero";"(11) 98900-2211 / daniel@helipontovip.com.br";"";"";"";"(11) 5071-8000";"reservas@helipontovip.com.br / financeiro@helipontovip.com.br";"CNJ / TJSP + Receita Federal + LinkedIn"
187;"Cartório do 3º Ofício e Tabelionato de Notas de Dourados";14.819.302/0001-66;"16 anos (2010)";MS;Dourados;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Dourados - MS.";"COM SITE OFICIAL";"https://www.cartoriodourados.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%203%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Dourados";"6912-5/00 (Cartórios e serviços notariais)";"5112-9/01 (Outros serviços aéreos especializados), 3316-3/01 (Manutenção preventiva)";"Bel. Cmte. Murilo Prado Cavalcante";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Murilo%20Prado%20Cavalcante%20AeroAgro";"(67) 99981-4433 / murilo.aeroagro@gmail.com";"";"";"";"(67) 3424-9000";"aeroagro.dourados@gmail.com / financeiro.aeroagro@gmail.com";"CNJ / TJMS + Receita Federal + LinkedIn"
188;"Cartório do 4º Ofício e Tabelionato de Notas de Belo Horizonte";19.840.192/0001-08;"13 anos (2013)";MG;Belo Horizonte;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.cartoriobelohorizonte.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%204%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20Belo%20Horizonte";"6912-5/00 (Cartórios e serviços notariais)";"4669-9/99 (Comércio de peças e componentes aeronáuticos), 7112-0/00 (Engenharia mecânica)";"Bel. Eng. Roberto Mendonça Ferreira";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Mendonca%20Ferreira%20Aeronautica";"(31) 99761-9000 / roberto@rotortech.com.br";"";"";"";"(31) 3491-6500";"engenharia@rotortech.com.br / financeiro@rotortech.com.br";"CNJ / TJMG + Receita Federal + LinkedIn"
189;"Cartório do 5º Ofício e Tabelionato de Notas de São Paulo";34.019.820/0001-77;"7 anos (2019)";SP;São Paulo;"Concursados";"Serviços Notariais & Registrais (Titular Concursado)";"Tabelionato de notas e registro de imóveis com alta receita de emolumentos e titular concursado em São Paulo - SP.";"COM SITE OFICIAL";"https://www.cartoriosãopaulo.not.br";"https://www.linkedin.com/search/results/companies/?keywords=Cart%C3%B3rio%20do%205%C2%BA%20Of%C3%ADcio%20e%20Tabelionato%20de%20Notas%20de%20S%C3%A3o%20Paulo";"6912-5/00 (Cartórios e serviços notariais)";"7319-0/02 (Promoção de vendas e marketing direto), 6201-5/01 (Desenvolvimento de softwares sob encomenda)";"Bel. Vinicius Zanin Pacheco";"Tabelião Titular / Oficial Delegatário";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Zanin%20Pacheco%20Growth";"(11) 98450-7711 / vinicius@performancelab.com.br";"Lucas Silveira Nogueira";"Sócio e Diretor de Estratégia de Mídia";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Silveira%20Nogueira%20Mídia";"(11) 3040-9500 / (11) 98450-7711";"contato@performancelab.com.br / financeiro@performancelab.com.br";"CNJ / TJSP + Receita Federal + LinkedIn"
