ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
280;"Construtora & Incorporadora Três Lagoas";67.2060.1040/0001-50;"20 anos (2006)";MS;Três Lagoas;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Três Lagoas - MS.";"COM SITE OFICIAL";"https://www.construtoratrêslagoas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Tr%C3%AAs%20Lagoas";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Bruno Cavalcante Borges";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Cavalcante%20Borges";"(67) 98380-4400 / diretoria@indstriametalrgicaforaeaotrslagoas.com.br";"Roberto Vasconcellos";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Vasconcellos";"(67) 3780-8000";"diretoria@indstriametalrgicaforaeaotrslagoas.com.br / financeiro@indstriametalrgicaforaeaotrslagoas.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
281;"Construtora & Incorporadora Rio Verde";68.2067.1043/0001-51;"21 anos (2005)";GO;Rio Verde;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Rio Verde - GO.";"COM SITE OFICIAL";"https://www.construtorarioverde.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Rio%20Verde";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Eduardo Nogueira Dias";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Nogueira%20Dias";"(62) 98381-4400 / diretoria@caldeirariatanquesindustriaisalianarioverde.com.br";"Carlos Eduardo Borges";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Borges";"(62) 3791-8000";"diretoria@caldeirariatanquesindustriaisalianarioverde.com.br / financeiro@caldeirariatanquesindustriaisalianarioverde.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
282;"Construtora & Incorporadora Limeira";69.2074.1046/0001-52;"22 anos (2004)";SP;Limeira;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Limeira - SP.";"COM SITE OFICIAL";"https://www.construtoralimeira.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Limeira";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Antonio Vasconcellos Zanin";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Vasconcellos%20Zanin";"(11) 98382-4400 / diretoria@plsticosindustriaiseresinastermoplsticaslimeira.com.br";"Alexandre Dias";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Dias";"(11) 3802-8000";"diretoria@plsticosindustriaiseresinastermoplsticaslimeira.com.br / financeiro@plsticosindustriaiseresinastermoplsticaslimeira.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
283;"Construtora & Incorporadora Pouso Alegre";70.2081.1049/0001-53;"23 anos (2003)";MG;Pouso Alegre;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Pouso Alegre - MG.";"COM SITE OFICIAL";"https://www.construtorapousoalegre.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Pouso%20Alegre";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Cristiano Borges Prado";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Borges%20Prado";"(31) 98383-4400 / diretoria@eletromotoresepainisdeforaindustrialpousoalegre.com.br";"Fernando Zanin";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Zanin";"(31) 3813-8000";"diretoria@eletromotoresepainisdeforaindustrialpousoalegre.com.br / financeiro@eletromotoresepainisdeforaindustrialpousoalegre.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
284;"Construtora & Incorporadora Curitiba";71.2088.1052/0001-54;"24 anos (2002)";PR;Curitiba;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Curitiba - PR.";"COM SITE OFICIAL";"https://www.construtoracuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Curitiba";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Leonardo Dias Silveira";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Dias%20Silveira";"(41) 98384-4400 / diretoria@fundiodeferronodulareaocarbonocuritiba.com.br";"Guilherme Prado";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Prado";"(41) 3824-8000";"diretoria@fundiodeferronodulareaocarbonocuritiba.com.br / financeiro@fundiodeferronodulareaocarbonocuritiba.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
285;"Construtora & Incorporadora Florianópolis";72.2095.1055/0001-55;"25 anos (2001)";SC;Florianópolis;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.construtoraflorianópolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Florian%C3%B3polis";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Roberto Zanin Mendonça";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Zanin%20Mendon%C3%83%C2%A7a";"(48) 98385-4400 / diretoria@indstriametalrgicaforaeaoflorianpolis.com.br";"Lucas Silveira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Silveira";"(48) 3835-8000";"diretoria@indstriametalrgicaforaeaoflorianpolis.com.br / financeiro@indstriametalrgicaforaeaoflorianpolis.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
286;"Construtora & Incorporadora Campo Grande";73.2102.1058/0001-56;"26 anos (2000)";MS;Campo Grande;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.construtoracampogrande.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Campo%20Grande";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Carlos Eduardo Prado Antunes";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Prado%20Antunes";"(67) 98386-4400 / diretoria@caldeirariatanquesindustriaisalianacampogrande.com.br";"Marcelo Mendonça";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Mendon%C3%83%C2%A7a";"(67) 3846-8000";"diretoria@caldeirariatanquesindustriaisalianacampogrande.com.br / financeiro@caldeirariatanquesindustriaisalianacampogrande.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
287;"Construtora & Incorporadora Anápolis";74.2109.1061/0001-57;"27 anos (1999)";GO;Anápolis;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Anápolis - GO.";"COM SITE OFICIAL";"https://www.construtoraanápolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20An%C3%A1polis";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Alexandre Silveira Koster";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Silveira%20Koster";"(62) 98387-4400 / diretoria@plsticosindustriaiseresinastermoplsticasanpolis.com.br";"Diego Antunes";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Diego%20Antunes";"(62) 3857-8000";"diretoria@plsticosindustriaiseresinastermoplsticasanpolis.com.br / financeiro@plsticosindustriaiseresinastermoplsticasanpolis.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
288;"Construtora & Incorporadora Piracicaba";75.2116.1064/0001-58;"28 anos (1998)";SP;Piracicaba;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Piracicaba - SP.";"COM SITE OFICIAL";"https://www.construtorapiracicaba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Piracicaba";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Fernando Mendonça Fagundes";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Mendon%C3%83%C2%A7a%20Fagundes";"(11) 98388-4400 / diretoria@eletromotoresepainisdeforaindustrialpiracicaba.com.br";"Felipe Koster";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Felipe%20Koster";"(11) 3868-8000";"diretoria@eletromotoresepainisdeforaindustrialpiracicaba.com.br / financeiro@eletromotoresepainisdeforaindustrialpiracicaba.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
289;"Construtora & Incorporadora Uberlândia";76.2123.1067/0001-59;"29 anos (1997)";MG;Uberlândia;"Construção & Incorporação";"Construção Civil & Empreendimentos Imobiliários";"Incorporação de edifícios residenciais de alto padrão e loteamentos urbanos com infraestrutura completa em Uberlândia - MG.";"COM SITE OFICIAL";"https://www.construtorauberlândia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Construtora%20%26%20Incorporadora%20Uberl%C3%A2ndia";"4120-4/00 (Construção de edifícios e incorporação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eng. Guilherme Antunes Toledo";"Sócio-Diretor / Engenheiro Responsável";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Antunes%20Toledo";"(31) 98389-4400 / diretoria@fundiodeferronodulareaocarbonouberlndia.com.br";"Rodrigo Fagundes";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Fagundes";"(31) 3879-8000";"diretoria@fundiodeferronodulareaocarbonouberlndia.com.br / financeiro@fundiodeferronodulareaocarbonouberlndia.com.br";"CBIC / SINDUSCON + Juntas Comerciais + Receita Federal + LinkedIn"
