ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
56;"AeroVoo Consultoria e Tripulações PJ Campinas";83.477.709/0001-39;"35 anos (1991)";SP;Campinas;"Consultorias";"Aviação Executiva & Gestão de Aeronaves";"Operação B2B estruturada do nicho de Aviação Executiva & Gestão de Aeronaves localizada em Campinas - SP.";"COM SITE OFICIAL";"https://www.aerovooconsu.com.br";"https://www.linkedin.com/search/results/companies/?keywords=AeroVoo%20Consultoria%20e%20Tripula%C3%A7%C3%B5es%20PJ%20Campinas";"5112-9/01 (Serviço de táxi aéreo e fretamento)";"5240-1/99 (Serviços auxiliares aéreos), 3316-3/01 (Manutenção de aeronaves), 7719-5/99 (Locação)";"Comandante Caio Camargo";"Sócio-Diretor de Operações / Piloto Chefe";"https://www.linkedin.com/search/results/people/?keywords=Caio%20Camargo%20aerovooconsu";"(11) 91339-1122 / caio@aerovooconsu.com.br";"Vinicius Oliveira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Oliveira%20aerovooconsu";"(11) 3700-3900 / (11) 91339-1122";"diretoria@aerovooconsu.com.br / financeiro@aerovooconsu.com.br";"ANAC (RAB Oficial) + QSA Receita Federal + LinkedIn"
137;"Aerotech Manutenção e Apoio Aeronáutico";24.607.474/0001-95;"14 anos (2012)";SP;Jundiaí;"Consultorias";"Manutenção de Turbinas e Consultoria de Voo";"Operação qualificada no nicho de Manutenção de Turbinas e Consultoria de Voo mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.aerotechjundiai.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Aerotech%20Manuten%C3%A7%C3%A3o%20e%20Apoio%20Aeron%C3%A1utico";"3316-3/01 (Manutenção e reparação de aeronaves)";"5240-1/99 (Serviços de apoio aéreo), 7719-5/99 (Locação de equipamentos)";"Eng. Carlos Eduardo Koster";"Sócio-Diretor Técnico de Engenharia";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Koster%20AeroTech%20Manuten%C3%83%C2%A7%C3%83%C2%A3o%20e%20Apoio%20Aeron%C3%83%C2%A1utico";"(11) 4581-9200 / diretoria@aerotechjundiai.com.br";"Comandante Sergio Diniz";"Sócio-Consultor de Voo";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Diniz%20AeroTech%20Manuten%C3%83%C2%A7%C3%83%C2%A3o%20e%20Apoio%20Aeron%C3%83%C2%A1utico";"(11) 4581-9200";"diretoria@aerotechjundiai.com.br";"ANAC + QSA Receita Federal + LinkedIn"
146;"Scale Up RevOps & Assessoria de Receita";22.865.363/0001-82;"5 anos (2021)";SP;Campinas;"Consultorias";"Consultoria de Vendas Inbound e RevOps";"Operação qualificada no nicho de Consultoria de Vendas Inbound e RevOps mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.scaleuprevops.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Scale%20Up%20RevOps%20%26%20Assessoria%20de%20Receita";"7490-1/04 (Atividades de consultoria em gestão empresarial)";"7311-4/00 (Agências de publicidade e automação)";"Vinicius Prado Ferreira";"Sócio-Fundador & Especialista em RevOps";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Prado%20Ferreira%20ScaleUp%20RevOps%20%26%20Assessoria%20de%20Receita";"(19) 3290-6400 / contato@scaleuprevops.com.br";"Henrique Dias";"Sócio e Diretor Financeiro";"https://www.linkedin.com/search/results/people/?keywords=Henrique%20Dias%20ScaleUp%20RevOps%20%26%20Assessoria%20de%20Receita";"(19) 3290-6400";"contato@scaleuprevops.com.br";"QSA Receita Federal + LinkedIn"
455;"Agência Consultoria Jaraguá do Sul";45.3285.1565/0001-65;"13 anos (2013)";SC;Jaraguá do Sul;"Consultorias";"Marketing Digital & Consultoria de Vendas e Estruturação de SDRs";"Assessoria e execução em Consultoria de Vendas e Estruturação de SDRs para empresas de destaque em Jaraguá do Sul - SC.";"COM SITE OFICIAL";"https://www.agãªnciaconsultoriajaraguã¡dosul.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Ag%C3%AAncia%20Consultoria%20Jaragu%C3%A1%20do%20Sul";"7311-4/00 (Agências de publicidade)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Lucas Koster Peixoto";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Koster%20Peixoto";"(48) 98555-4400 / diretoria@agãªnciaconsultoriajaraguã¡dosul.com.br";"Bruno Toledo";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Toledo";"(48) 3585-8000";"diretoria@agãªnciaconsultoriajaraguã¡dosul.com.br / financeiro@agãªnciaconsultoriajaraguã¡dosul.com.br";"CENP + QSA Oficial Receita Federal + LinkedIn"
459;"Agência Consultoria Passos";49.3313.1577/0001-69;"17 anos (2009)";MG;Passos;"Consultorias";"Marketing Digital & Consultoria de Canais Outbound B2B";"Assessoria e execução em Consultoria de Canais Outbound B2B para empresas de destaque em Passos - MG.";"COM SITE OFICIAL";"https://www.agãªnciaconsultoriapassos.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Ag%C3%AAncia%20Consultoria%20Passos";"7311-4/00 (Agências de publicidade)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Rodrigo Alencar Vasconcellos";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Alencar%20Vasconcellos";"(31) 98559-4400 / diretoria@agãªnciaconsultoriapassos.com.br";"Leonardo Nogueira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Nogueira";"(31) 3613-8000";"diretoria@agãªnciaconsultoriapassos.com.br / financeiro@agãªnciaconsultoriapassos.com.br";"CENP + QSA Oficial Receita Federal + LinkedIn"
538;"Consultoria Gestão Três Lagoas";79.3866.1814/0001-68;"20 anos (2006)";MS;Três Lagoas;"Consultorias";"Consultoria & Gestão Estratégica e Governança Corporativa";"Boutique de consultoria corporativa especializada em Gestão Estratégica e Governança Corporativa atendendo empresas de médio porte a partir de Três Lagoas - MS.";"COM SITE OFICIAL";"https://www.consultoriagestã£otrãªslagoas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Consultoria%20Gest%C3%A3o%20Tr%C3%AAs%20Lagoas";"7020-4/00 (Atividades de consultoria em gestão empresarial)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Patricia Borges Prado";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Patricia%20Borges%20Prado";"(67) 98638-4400 / diretoria@consultoriagestã£otrãªslagoas.com.br";"Fernando Zanin";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Zanin";"(67) 3466-8000";"diretoria@consultoriagestã£otrãªslagoas.com.br / financeiro@consultoriagestã£otrãªslagoas.com.br";"CFC / CRC + IBGC + Receita Federal + LinkedIn"
539;"Consultoria Consultoria Rio Verde";80.3873.1817/0001-69;"21 anos (2005)";GO;Rio Verde;"Consultorias";"Consultoria & Consultoria Tributária e Auditoria Contábil";"Boutique de consultoria corporativa especializada em Consultoria Tributária e Auditoria Contábil atendendo empresas de médio porte a partir de Rio Verde - GO.";"COM SITE OFICIAL";"https://www.consultoriaconsultoriarioverde.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Consultoria%20Consultoria%20Rio%20Verde";"6920-6/02 (Atividades de auditoria contábil e consultoria)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Camila Dias Silveira";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Camila%20Dias%20Silveira";"(62) 98639-4400 / diretoria@consultoriaconsultoriarioverde.com.br";"Guilherme Prado";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Prado";"(62) 3473-8000";"diretoria@consultoriaconsultoriarioverde.com.br / financeiro@consultoriaconsultoriarioverde.com.br";"CFC / CRC + IBGC + Receita Federal + LinkedIn"
540;"Consultoria Valuation São José dos Campos";81.3880.1820/0001-70;"22 anos (2004)";SP;São José dos Campos;"Consultorias";"Consultoria & Valuation e Assessoria em Fusões e Aquisições M&A";"Boutique de consultoria corporativa especializada em Valuation e Assessoria em Fusões e Aquisições M&A atendendo empresas de médio porte a partir de São José dos Campos - SP.";"COM SITE OFICIAL";"https://www.consultoriavaluationsã£ojosã©doscampos.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Consultoria%20Valuation%20S%C3%A3o%20Jos%C3%A9%20dos%20Campos";"7020-4/00 (Atividades de consultoria em gestão empresarial)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Roberto Zanin Mendonça";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Zanin%20Mendon%C3%83%C2%A7a";"(11) 98640-4400 / diretoria@consultoriavaluationsã£ojosã©doscampos.com.br";"Lucas Silveira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Silveira";"(11) 3480-8000";"diretoria@consultoriavaluationsã£ojosã©doscampos.com.br / financeiro@consultoriavaluationsã£ojosã©doscampos.com.br";"CFC / CRC + IBGC + Receita Federal + LinkedIn"
541;"Consultoria Reestruturação Uberaba";82.3887.1823/0001-71;"23 anos (2003)";MG;Uberaba;"Consultorias";"Consultoria & Reestruturação Financeira e Turnaround Empresarial";"Boutique de consultoria corporativa especializada em Reestruturação Financeira e Turnaround Empresarial atendendo empresas de médio porte a partir de Uberaba - MG.";"COM SITE OFICIAL";"https://www.consultoriareestruturaã§ã£ouberaba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Consultoria%20Reestrutura%C3%A7%C3%A3o%20Uberaba";"7020-4/00 (Atividades de consultoria em gestão empresarial)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Carlos Eduardo Prado Antunes";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Prado%20Antunes";"(31) 98641-4400 / diretoria@consultoriareestruturaã§ã£ouberaba.com.br";"Marcelo Mendonça";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Mendon%C3%83%C2%A7a";"(31) 3487-8000";"diretoria@consultoriareestruturaã§ã£ouberaba.com.br / financeiro@consultoriareestruturaã§ã£ouberaba.com.br";"CFC / CRC + IBGC + Receita Federal + LinkedIn"
542;"Consultoria Consultoria Curitiba";83.3894.1826/0001-72;"24 anos (2002)";PR;Curitiba;"Consultorias";"Consultoria & Consultoria em Engenharia e Projetos Industriais";"Boutique de consultoria corporativa especializada em Consultoria em Engenharia e Projetos Industriais atendendo empresas de médio porte a partir de Curitiba - PR.";"COM SITE OFICIAL";"https://www.consultoriaconsultoriacuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Consultoria%20Consultoria%20Curitiba";"7112-0/00 (Serviços de engenharia consultiva)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Alexandre Silveira Koster";"Sócio-Diretor Geral / Acionista Controlador";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Silveira%20Koster";"(41) 98642-4400 / diretoria@consultoriaconsultoriacuritiba.com.br";"Diego Antunes";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Diego%20Antunes";"(41) 3494-8000";"diretoria@consultoriaconsultoriacuritiba.com.br / financeiro@consultoriaconsultoriacuritiba.com.br";"CFC / CRC + IBGC + Receita Federal + LinkedIn"
