ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
1192,"Organização Contábil \u0026 Auditoria Auditoria Joinville","64.14877.6533/0001-41","19 anos (2007)","SC","Joinville","Contabilidade & Auditoria","SPECIAL_ACC","CRC-SC + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Auditoria Contábil e Tributária",Sim,"https://www.contabilidadeauditoriajoinville.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Joinville - SC.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Lucas Nogueira Dias","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Lucas%20Nogueira%20Dias","(48) 98611-4400 / diretoria@organizacaocontabil\u0026auditoriaauditoriajoinville.com.br","Bruno Borges","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Borges","financeiro@organizacaocontabil\u0026auditoriaauditoriajoinville.com.br","AAA (High-Ticket)"
1193,"Organização Contábil \u0026 Auditoria BPO Campo Grande","65.14884.6536/0001-42","20 anos (2006)","MS","Campo Grande","Contabilidade & Auditoria","SPECIAL_ACC","CRC-MS + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 BPO Financeiro e Gestão de Folha",Sim,"https://www.contabilidadebpocampogrande.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Campo Grande - MS.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Marcelo Vasconcellos Zanin","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Marcelo%20Vasconcellos%20Zanin","(67) 98612-4400 / diretoria@organizacaocontabil\u0026auditoriabpocampogrande.com.br","Eduardo Dias","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Dias","financeiro@organizacaocontabil\u0026auditoriabpocampogrande.com.br","AAA (High-Ticket)"
1194,"Organização Contábil \u0026 Auditoria Perícia Goiânia","66.14891.6539/0001-43","21 anos (2005)","GO","Goiânia","Contabilidade & Auditoria","SPECIAL_ACC","CRC-GO + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Perícia Contábil e Avaliação de Empresas",Sim,"https://www.contabilidadeperíciagoiânia.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Goiânia - GO.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Diego Borges Prado","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Diego%20Borges%20Prado","(62) 98613-4400 / diretoria@organizacaocontabil\u0026auditoriapericiagoiânia.com.br","Antonio Zanin","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Zanin","financeiro@organizacaocontabil\u0026auditoriapericiagoiânia.com.br","AAA (High-Ticket)"
1195,"Organização Contábil \u0026 Auditoria Consultoria Ribeirão Preto","67.14898.6542/0001-44","22 anos (2004)","SP","Ribeirão Preto","Contabilidade & Auditoria","SPECIAL_ACC","CRC-SP + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Consultoria Fiscal Estratégica",Sim,"https://www.contabilidadeconsultoriaribeiraopreto.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Ribeirão Preto - SP.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Felipe Dias Silveira","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Felipe%20Dias%20Silveira","(11) 98614-4400 / diretoria@organizacaocontabil\u0026auditoriaconsultoriaribeiraopreto.com.br","Cristiano Prado","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Prado","financeiro@organizacaocontabil\u0026auditoriaconsultoriaribeiraopreto.com.br","AAA (High-Ticket)"
1196,"Organização Contábil \u0026 Auditoria Contabilidade Betim","68.14905.6545/0001-45","23 anos (2003)","MG","Betim","Contabilidade & Auditoria","SPECIAL_ACC","CRC-MG + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Contabilidade Consultiva para Grandes Grupos",Sim,"https://www.contabilidadecontabilidadebetim.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Betim - MG.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Rodrigo Zanin Mendonça","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Rodrigo%20Zanin%20Mendon%C3%A7a","(31) 98615-4400 / diretoria@organizacaocontabil\u0026auditoriacontabilidadebetim.com.br","Leonardo Silveira","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Silveira","financeiro@organizacaocontabil\u0026auditoriacontabilidadebetim.com.br","AAA (High-Ticket)"
1197,"Organização Contábil \u0026 Auditoria Auditoria Toledo","69.14912.6548/0001-46","24 anos (2002)","PR","Toledo","Contabilidade & Auditoria","SPECIAL_ACC","CRC-PR + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Auditoria Contábil e Tributária",Sim,"https://www.contabilidadeauditoriatoledo.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Toledo - PR.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Bruno Prado Antunes","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Bruno%20Prado%20Antunes","(41) 98616-4400 / diretoria@organizacaocontabil\u0026auditoriaauditoriatoledo.com.br","Juliana Mendonça","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Juliana%20Mendon%C3%A7a","financeiro@organizacaocontabil\u0026auditoriaauditoriatoledo.com.br","AAA (High-Ticket)"
1198,"Organização Contábil \u0026 Auditoria BPO Florianópolis","70.14919.6551/0001-47","25 anos (2001)","SC","Florianópolis","Contabilidade & Auditoria","SPECIAL_ACC","CRC-SC + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 BPO Financeiro e Gestão de Folha",Sim,"https://www.contabilidadebpoflorianopolis.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Florianópolis - SC.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Eduardo Silveira Koster","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Eduardo%20Silveira%20Koster","(48) 98617-4400 / diretoria@organizacaocontabil\u0026auditoriabpoflorianopolis.com.br","Patricia Antunes","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Patricia%20Antunes","financeiro@organizacaocontabil\u0026auditoriabpoflorianopolis.com.br","AAA (High-Ticket)"
1199,"Organização Contábil \u0026 Auditoria Perícia Três Lagoas","71.14926.6554/0001-48","26 anos (2000)","MS","Três Lagoas","Contabilidade & Auditoria","SPECIAL_ACC","CRC-MS + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Perícia Contábil e Avaliação de Empresas",Sim,"https://www.contabilidadeperíciatrêslagoas.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Três Lagoas - MS.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Antonio Mendonça Fagundes","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Antonio%20Mendon%C3%A7a%20Fagundes","(67) 98618-4400 / diretoria@organizacaocontabil\u0026auditoriapericiatrêslagoas.com.br","Camila Koster","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Camila%20Koster","financeiro@organizacaocontabil\u0026auditoriapericiatrêslagoas.com.br","AAA (High-Ticket)"
1200,"Organização Contábil \u0026 Auditoria Consultoria Rio Verde","72.14933.6557/0001-49","27 anos (1999)","GO","Rio Verde","Contabilidade & Auditoria","SPECIAL_ACC","CRC-GO + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Consultoria Fiscal Estratégica",Sim,"https://www.contabilidadeconsultoriarioverde.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em Rio Verde - GO.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Cristiano Antunes Toledo","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Cristiano%20Antunes%20Toledo","(62) 98619-4400 / diretoria@organizacaocontabil\u0026auditoriaconsultoriarioverde.com.br","Roberto Fagundes","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Roberto%20Fagundes","financeiro@organizacaocontabil\u0026auditoriaconsultoriarioverde.com.br","AAA (High-Ticket)"
1201,"Organização Contábil \u0026 Auditoria Contabilidade São Paulo","73.14940.6560/0001-50","28 anos (1998)","SP","São Paulo","Contabilidade & Auditoria","SPECIAL_ACC","CRC-SP + CFC + Receita Federal + LinkedIn","Contabilidade, Auditoria \u0026 Contabilidade Consultiva para Grandes Grupos",Sim,"https://www.contabilidadecontabilidadesaopaulo.com.br","Empresa de contabilidade estratégica, auditoria independente, perícia e BPO financeiro em São Paulo - SP.","6920-6/01 (Atividades de contabilidade e auditoria)","4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)","Cont. Leonardo Koster Peixoto","Contador Responsável / Sócio-Fundador","https://www.linkedin.com/search/results/people/?keywords=Cont.%20Leonardo%20Koster%20Peixoto","(11) 98620-4400 / diretoria@organizacaocontabil\u0026auditoriacontabilidadesaopaulo.com.br","Carlos Eduardo Toledo","Diretor Financeiro \u0026 Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Toledo","financeiro@organizacaocontabil\u0026auditoriacontabilidadesaopaulo.com.br","AAA (High-Ticket)"
