ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
380;"Grupo Educacional & Faculdade Três Lagoas";68.2760.1340/0001-70;"30 anos (1996)";MS;Três Lagoas;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Três Lagoas - MS.";"COM SITE OFICIAL";"https://www.grupoeducacionaltrêslagoas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Tr%C3%AAs%20Lagoas";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Lucas Koster Peixoto";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Koster%20Peixoto";"(67) 98480-4400 / diretoria@indstriametalrgicaforaeaotrslagoas.com.br";"Bruno Toledo";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Toledo";"(67) 3280-8000";"diretoria@indstriametalrgicaforaeaotrslagoas.com.br / financeiro@indstriametalrgicaforaeaotrslagoas.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
381;"Grupo Educacional & Faculdade Rio Verde";69.2767.1343/0001-71;"31 anos (1995)";GO;Rio Verde;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Rio Verde - GO.";"COM SITE OFICIAL";"https://www.grupoeducacionalrioverde.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Rio%20Verde";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Marcelo Fagundes Alencar";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Fagundes%20Alencar";"(62) 98481-4400 / diretoria@caldeirariatanquesindustriaisalianarioverde.com.br";"Eduardo Peixoto";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Peixoto";"(62) 3291-8000";"diretoria@caldeirariatanquesindustriaisalianarioverde.com.br / financeiro@caldeirariatanquesindustriaisalianarioverde.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
382;"Grupo Educacional & Faculdade Limeira";70.2774.1346/0001-72;"32 anos (1994)";SP;Limeira;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Limeira - SP.";"COM SITE OFICIAL";"https://www.grupoeducacionallimeira.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Limeira";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Diego Toledo Cavalcante";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Diego%20Toledo%20Cavalcante";"(11) 98482-4400 / diretoria@plsticosindustriaiseresinastermoplsticaslimeira.com.br";"Antonio Alencar";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Alencar";"(11) 3302-8000";"diretoria@plsticosindustriaiseresinastermoplsticaslimeira.com.br / financeiro@plsticosindustriaiseresinastermoplsticaslimeira.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
383;"Grupo Educacional & Faculdade Pouso Alegre";71.2781.1349/0001-73;"33 anos (1993)";MG;Pouso Alegre;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Pouso Alegre - MG.";"COM SITE OFICIAL";"https://www.grupoeducacionalpousoalegre.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Pouso%20Alegre";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Felipe Peixoto Nogueira";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Felipe%20Peixoto%20Nogueira";"(31) 98483-4400 / diretoria@eletromotoresepainisdeforaindustrialpousoalegre.com.br";"Cristiano Cavalcante";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Cavalcante";"(31) 3313-8000";"diretoria@eletromotoresepainisdeforaindustrialpousoalegre.com.br / financeiro@eletromotoresepainisdeforaindustrialpousoalegre.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
384;"Grupo Educacional & Faculdade Curitiba";72.2788.1352/0001-74;"34 anos (1992)";PR;Curitiba;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Curitiba - PR.";"COM SITE OFICIAL";"https://www.grupoeducacionalcuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Curitiba";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Rodrigo Alencar Vasconcellos";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Alencar%20Vasconcellos";"(41) 98484-4400 / diretoria@fundiodeferronodulareaocarbonocuritiba.com.br";"Leonardo Nogueira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Nogueira";"(41) 3324-8000";"diretoria@fundiodeferronodulareaocarbonocuritiba.com.br / financeiro@fundiodeferronodulareaocarbonocuritiba.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
385;"Grupo Educacional & Faculdade Florianópolis";73.2795.1355/0001-75;"35 anos (1991)";SC;Florianópolis;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.grupoeducacionalflorianópolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Florian%C3%B3polis";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Bruno Cavalcante Borges";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Cavalcante%20Borges";"(48) 98485-4400 / diretoria@indstriametalrgicaforaeaoflorianpolis.com.br";"Roberto Vasconcellos";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Vasconcellos";"(48) 3335-8000";"diretoria@indstriametalrgicaforaeaoflorianpolis.com.br / financeiro@indstriametalrgicaforaeaoflorianpolis.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
386;"Grupo Educacional & Faculdade Campo Grande";74.2802.1358/0001-76;"36 anos (1990)";MS;Campo Grande;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.grupoeducacionalcampogrande.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Campo%20Grande";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Eduardo Nogueira Dias";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Nogueira%20Dias";"(67) 98486-4400 / diretoria@caldeirariatanquesindustriaisalianacampogrande.com.br";"Carlos Eduardo Borges";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Borges";"(67) 3346-8000";"diretoria@caldeirariatanquesindustriaisalianacampogrande.com.br / financeiro@caldeirariatanquesindustriaisalianacampogrande.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
387;"Grupo Educacional & Faculdade Anápolis";75.2809.1361/0001-77;"37 anos (1989)";GO;Anápolis;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Anápolis - GO.";"COM SITE OFICIAL";"https://www.grupoeducacionalanápolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20An%C3%A1polis";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Antonio Vasconcellos Zanin";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Vasconcellos%20Zanin";"(62) 98487-4400 / diretoria@plsticosindustriaiseresinastermoplsticasanpolis.com.br";"Alexandre Dias";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Dias";"(62) 3357-8000";"diretoria@plsticosindustriaiseresinastermoplsticasanpolis.com.br / financeiro@plsticosindustriaiseresinastermoplsticasanpolis.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
388;"Grupo Educacional & Faculdade Piracicaba";76.2816.1364/0001-78;"38 anos (1988)";SP;Piracicaba;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Piracicaba - SP.";"COM SITE OFICIAL";"https://www.grupoeducacionalpiracicaba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Piracicaba";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Cristiano Borges Prado";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Borges%20Prado";"(11) 98488-4400 / diretoria@eletromotoresepainisdeforaindustrialpiracicaba.com.br";"Fernando Zanin";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Zanin";"(11) 3368-8000";"diretoria@eletromotoresepainisdeforaindustrialpiracicaba.com.br / financeiro@eletromotoresepainisdeforaindustrialpiracicaba.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
389;"Grupo Educacional & Faculdade Uberlândia";77.2823.1367/0001-79;"39 anos (1987)";MG;Uberlândia;"Educação & Faculdades";"Ensino Superior Privado & Redes Escolares";"Mantenedora de instituição de ensino superior privado e colégios de alto desempenho em Uberlândia - MG.";"COM SITE OFICIAL";"https://www.grupoeducacionaluberlândia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Educacional%20%26%20Faculdade%20Uberl%C3%A2ndia";"8532-5/00 (Educação superior - graduação e pós-graduação)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Prof. Leonardo Dias Silveira";"Chanceler / Sócio-Diretor Mantenedor";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Dias%20Silveira";"(31) 98489-4400 / diretoria@fundiodeferronodulareaocarbonouberlndia.com.br";"Guilherme Prado";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Prado";"(31) 3379-8000";"diretoria@fundiodeferronodulareaocarbonouberlndia.com.br / financeiro@fundiodeferronodulareaocarbonouberlndia.com.br";"MEC / SEMESP + Receita Federal + LinkedIn"
