ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
340;"Energia Solar & Geração Distribuída Bauru";32.401.928/0001-86;"8 anos (2018)";SP;Bauru;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Bauru - SP.";"COM SITE OFICIAL";"https://www.energiasolarbauru.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Bauru";"3511-5/01 (Geração de energia elétrica)";"5240-1/99 (Serviços auxiliares aos transportes aéreos), 7719-5/99 (Locação)";"Comandante Roberto Zanin Prado";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Zanin%20Prado%20Piloto";"(14) 99130-7700 / roberto@aeroestetaxi.com.br";"";"";"";"(14) 3234-8000";"operacoes@aeroestetaxi.com.br / fretamento@aeroestetaxi.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
341;"Energia Solar & Geração Distribuída São José dos Pinhais";18.904.819/0001-43;"15 anos (2011)";PR;São José dos Pinhais;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em São José dos Pinhais - PR.";"COM SITE OFICIAL";"https://www.energiasolarsãojosédospinhais.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20S%C3%A3o%20Jos%C3%A9%20dos%20Pinhais";"3511-5/01 (Geração de energia elétrica)";"4669-9/99 (Comércio de componentes e peças de aviação), 7112-0/00 (Engenharia)";"Eng. Carlos Eduardo Silveira";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Silveira%20Aeronautica";"(41) 99820-3311 / carlos@paranaenseaviacao.com.br";"";"";"";"(41) 3382-9500";"engenharia@paranaenseaviacao.com.br / comercial@paranaenseaviacao.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
342;"Energia Solar & Geração Distribuída Belo Horizonte";23.840.192/0001-69;"12 anos (2014)";MG;Belo Horizonte;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.energiasolarbelohorizonte.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Belo%20Horizonte";"3511-5/01 (Geração de energia elétrica)";"5240-1/01 (Operação de aeródromos e hangares), 7719-5/99 (Locação sem tripulação)";"Comandante Alexandre Koster Toledo";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Koster%20Toledo%20Piloto";"(31) 99750-8800 / alexandre@minasairfretamentos.com.br";"";"";"";"(31) 3491-7000";"fretamento@minasairfretamentos.com.br / financeiro@minasairfretamentos.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
343;"Energia Solar & Geração Distribuída Joinville";28.401.890/0001-97;"9 anos (2017)";SC;Joinville;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Joinville - SC.";"COM SITE OFICIAL";"https://www.energiasolarjoinville.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Joinville";"3511-5/01 (Geração de energia elétrica)";"5240-1/99 (Serviços auxiliares terrestres), 8621-6/02 (Serviços móveis de atendimento a urgências)";"Comandante Felipe Fagundes Zanin";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Felipe%20Fagundes%20Zanin%20Piloto";"(47) 99110-4488 / felipe@catarinensetaxiaereo.com.br";"";"";"";"(47) 3451-8000";"operacoes@catarinensetaxiaereo.com.br / financeiro@catarinensetaxiaereo.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
344;"Energia Solar & Geração Distribuída Dourados";16.904.819/0001-22;"16 anos (2010)";MS;Dourados;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Dourados - MS.";"COM SITE OFICIAL";"https://www.energiasolardourados.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Dourados";"3511-5/01 (Geração de energia elétrica)";"5112-9/01 (Serviços aéreos especializados), 3316-3/01 (Manutenção)";"Comandante Lucas Prado Cavalcante";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Prado%20Cavalcante%20Aeroagricola";"(67) 99930-1199 / lucas.pantanalair@gmail.com";"";"";"";"(67) 3425-8000";"pantanalair.dourados@gmail.com / financeiro.pantanalair@gmail.com";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
345;"Energia Solar & Geração Distribuída Goiânia";21.192.405/0001-58;"13 anos (2013)";GO;Goiânia;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Goiânia - GO.";"COM SITE OFICIAL";"https://www.energiasolargoiânia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Goi%C3%A2nia";"3511-5/01 (Geração de energia elétrica)";"5112-9/01 (Fretamento de jatos), 7719-5/99 (Locação sem tripulação)";"Comandante Diego Antunes Nogueira";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Diego%20Antunes%20Nogueira%20Aviacao";"(62) 99810-5500 / diego@centrooesteaviacao.com.br";"";"";"";"(62) 3216-9500";"atendimento@centrooesteaviacao.com.br / financeiro@centrooesteaviacao.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
346;"Energia Solar & Geração Distribuída São Paulo";27.401.928/0001-11;"10 anos (2016)";SP;São Paulo;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em São Paulo - SP.";"COM SITE OFICIAL";"https://www.energiasolarsãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20S%C3%A3o%20Paulo";"3511-5/01 (Geração de energia elétrica)";"5240-1/99 (Serviços auxiliares), 7119-7/01 (Serviços de cartografia e aerolevantamento)";"Comandante Marcelo Medeiros Zanin";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Medeiros%20Zanin%20Helicoptero";"(11) 98140-2200 / marcelo@rotorbrasiltaxi.com.br";"";"";"";"(11) 2221-8000";"fretamento@rotorbrasiltaxi.com.br / financeiro@rotorbrasiltaxi.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
347;"Energia Solar & Geração Distribuída Curitiba";31.904.819/0001-77;"8 anos (2018)";PR;Curitiba;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Curitiba - PR.";"COM SITE OFICIAL";"https://www.energiasolarcuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Curitiba";"3511-5/01 (Geração de energia elétrica)";"7719-5/99 (Locação de meios de transporte sem condutor), 5240-1/99 (Serviços terrestres)";"Comandante Rodrigo Vasconcellos Dias";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Vasconcellos%20Dias%20Jatos";"(41) 99910-7733 / rodrigo@sulaereojatos.com.br";"";"";"";"(41) 3254-8500";"contato@sulaereojatos.com.br / financeiro@sulaereojatos.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
348;"Energia Solar & Geração Distribuída Rio Verde";19.192.405/0001-34;"14 anos (2012)";GO;Rio Verde;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Rio Verde - GO.";"COM SITE OFICIAL";"https://www.energiasolarrioverde.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Rio%20Verde";"3511-5/01 (Geração de energia elétrica)";"5112-9/01 (Serviços aéreos especializados)";"Comandante Bruno Peixoto Antunes";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Peixoto%20Antunes%20Aeroagricola";"(64) 99920-5511 / bruno.cerradoaero@gmail.com";"";"";"";"(64) 3622-9000";"aero.cerrado@gmail.com / financeiro.cerradoaero@gmail.com";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
349;"Energia Solar & Geração Distribuída Belo Horizonte";26.840.192/0001-03;"10 anos (2016)";MG;Belo Horizonte;"Energia & Solar";"Energia Solar Fotovoltaica & Usinas Geradoras";"Desenvolvimento, estruturação de usinas fotovoltaicas e geração distribuída de energia em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.energiasolarbelohorizonte.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Energia%20Solar%20%26%20Gera%C3%A7%C3%A3o%20Distribu%C3%ADda%20Belo%20Horizonte";"3511-5/01 (Geração de energia elétrica)";"5240-1/99 (Serviços auxiliares de transporte aéreo), 5112-9/01 (Fretamento)";"Eng. Antonio Toledo Silveira";"Sócio-Diretor de Novos Negócios";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Toledo%20Silveira%20Pampulha";"(31) 99810-6644 / antonio@pampulhajetfbo.com.br";"";"";"";"(31) 3490-9000";"atendimento@pampulhajetfbo.com.br / financeiro@pampulhajetfbo.com.br";"ANEEL / ABSOLAR + Juntas Comerciais + Receita Federal + LinkedIn"
