ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
2101,"AgroExport Santos 1 S/A","97.531.847/0001-60","32 anos (1994)","SP","Santos","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Grãos, Soja e Milho",Sim,"https://www.agroexportsantos1sa.com.br","Operação consolidada em Exportação de Grãos, Soja e Milho com embarques internacionais regulares a partir de Santos - SP. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Marcelo Alves Marques","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Alves%20Marques%20AgroExport%20Santos%201%20S%2FA","(13) 98468-3315 / diretoria@agroexportsantos1sa.com.br","Rodrigo Mendonça Nunes","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Mendon%C3%A7a%20Nunes%20AgroExport%20Santos%201%20S%2FA","comex@agroexportsantos1sa.com.br / financeiro@agroexportsantos1sa.com.br","AAA (High-Ticket)"
2102,"Global Trading São Paulo 1 S/A","24.562.894/0001-73","25 anos (2001)","SP","São Paulo","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Trading de Café Especial e Commodities",Sim,"https://www.globaltradingsãopaul.com.br","Operação consolidada em Trading de Café Especial e Commodities com embarques internacionais regulares a partir de São Paulo - SP. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Paulo Barbosa Carvalho","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Paulo%20Barbosa%20Carvalho%20Global%20Trading%20S%C3%A3o%20Paulo%201%20S%2FA","(11) 98180-7345 / diretoria@globaltradingsãopaul.com.br","Ana Furlan Mendes","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Ana%20Furlan%20Mendes%20Global%20Trading%20S%C3%A3o%20Paulo%201%20S%2FA","comex@globaltradingsãopaul.com.br / financeiro@globaltradingsãopaul.com.br","AAA (High-Ticket)"
2103,"InterAgro Campinas 1 S/A","41.593.941/0001-86","37 anos (1989)","SP","Campinas","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Carnes, Proteína Animal e Frigoríficos SIF",Sim,"https://www.interagrocampinas1sa.com.br","Operação consolidada em Exportação de Carnes, Proteína Animal e Frigoríficos SIF com embarques internacionais regulares a partir de Campinas - SP. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Sergio Oliveira Zanon","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Sergio%20Oliveira%20Zanon%20InterAgro%20Campinas%201%20S%2FA","(19) 98616-6247 / diretoria@interagrocampinas1sa.com.br","Otavio Teixeira Nunes","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Otavio%20Teixeira%20Nunes%20InterAgro%20Campinas%201%20S%2FA","comex@interagrocampinas1sa.com.br / financeiro@interagrocampinas1sa.com.br","AAA (High-Ticket)"
2104,"Sul Exportadora Ribeirão Preto 1 S/A","58.624.988/0001-99","38 anos (1988)","SP","Ribeirão Preto","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Açúcar, Etanol e Bioenergia",Sim,"https://www.sulexportadoraribeir.com.br","Operação consolidada em Exportação de Açúcar, Etanol e Bioenergia com embarques internacionais regulares a partir de Ribeirão Preto - SP. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Carlos Marques Furlan","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Marques%20Furlan%20Sul%20Exportadora%20Ribeir%C3%A3o%20Preto%201%20S%2FA","(16) 99252-2036 / diretoria@sulexportadoraribeir.com.br","Mariana Pereira Santos","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Mariana%20Pereira%20Santos%20Sul%20Exportadora%20Ribeir%C3%A3o%20Preto%201%20S%2FA","comex@sulexportadoraribeir.com.br / financeiro@sulexportadoraribeir.com.br","AAA (High-Ticket)"
2105,"Brasil Grain Paranaguá 1 S/A","75.655.135/0001-22","15 anos (2011)","PR","Paranaguá","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Celulose, Papel e Madeira Tratada",Sim,"https://www.brasilgrainparanaguá.com.br","Operação consolidada em Exportação de Celulose, Papel e Madeira Tratada com embarques internacionais regulares a partir de Paranaguá - PR. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Mauricio Almeida Gonçalves","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Mauricio%20Almeida%20Gon%C3%A7alves%20Brasil%20Grain%20Paranagu%C3%A1%201%20S%2FA","(41) 99412-6655 / diretoria@brasilgrainparanaguá.com.br","Eduardo Cardoso Nunes","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Cardoso%20Nunes%20Brasil%20Grain%20Paranagu%C3%A1%201%20S%2FA","comex@brasilgrainparanaguá.com.br / financeiro@brasilgrainparanaguá.com.br","AAA (High-Ticket)"
2106,"Porto Real Curitiba 1 S/A","92.686.182/0001-35","14 anos (2012)","PR","Curitiba","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Frutas Frescas e Polpas Cítricas",Sim,"https://www.portorealcuritiba1sa.com.br","Operação consolidada em Exportação de Frutas Frescas e Polpas Cítricas com embarques internacionais regulares a partir de Curitiba - PR. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Carlos Vieira Carvalho","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Vieira%20Carvalho%20Porto%20Real%20Curitiba%201%20S%2FA","(41) 98877-5620 / diretoria@portorealcuritiba1sa.com.br","Leonardo Souza Andrade","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Souza%20Andrade%20Porto%20Real%20Curitiba%201%20S%2FA","comex@portorealcuritiba1sa.com.br / financeiro@portorealcuritiba1sa.com.br","AAA (High-Ticket)"
2107,"Alliance Trade Maringá 1 S/A","19.717.229/0001-48","25 anos (2001)","PR","Maringá","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Trading de Minérios e Metais Não Ferrosos",Sim,"https://www.alliancetrademaringá.com.br","Operação consolidada em Trading de Minérios e Metais Não Ferrosos com embarques internacionais regulares a partir de Maringá - PR. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Carlos Zanin Silva","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Zanin%20Silva%20Alliance%20Trade%20Maring%C3%A1%201%20S%2FA","(44) 98921-4377 / diretoria@alliancetrademaringá.com.br","Eduardo Gonçalves Santos","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Gon%C3%A7alves%20Santos%20Alliance%20Trade%20Maring%C3%A1%201%20S%2FA","comex@alliancetrademaringá.com.br / financeiro@alliancetrademaringá.com.br","AAA (High-Ticket)"
2108,"TransAtlantic Londrina 1 S/A","36.748.276/0001-61","30 anos (1996)","PR","Londrina","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Calçados, Couro e Derivados",Sim,"https://www.transatlanticlondrin.com.br","Operação consolidada em Exportação de Calçados, Couro e Derivados com embarques internacionais regulares a partir de Londrina - PR. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Eduardo Vieira Pereira","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Vieira%20Pereira%20TransAtlantic%20Londrina%201%20S%2FA","(43) 99172-7615 / diretoria@transatlanticlondrin.com.br","Mauricio Marques Rocha","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Mauricio%20Marques%20Rocha%20TransAtlantic%20Londrina%201%20S%2FA","comex@transatlanticlondrin.com.br / financeiro@transatlanticlondrin.com.br","AAA (High-Ticket)"
2109,"Meridional Comex Cascavel 1 S/A","53.779.323/0001-74","6 anos (2020)","PR","Cascavel","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Autopeças e Motores Industriais",Sim,"https://www.meridionalcomexcasca.com.br","Operação consolidada em Exportação de Autopeças e Motores Industriais com embarques internacionais regulares a partir de Cascavel - PR. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Wagner Lunardi Soares","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Wagner%20Lunardi%20Soares%20Meridional%20Comex%20Cascavel%201%20S%2FA","(45) 98296-2212 / diretoria@meridionalcomexcasca.com.br","Patricia Ferreira Nascimento","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Patricia%20Ferreira%20Nascimento%20Meridional%20Comex%20Cascavel%201%20S%2FA","comex@meridionalcomexcasca.com.br / financeiro@meridionalcomexcasca.com.br","AAA (High-Ticket)"
2110,"Apex Export Itajaí 1 S/A","70.810.370/0001-87","14 anos (2012)","SC","Itajaí","Exportadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Exportação de Máquinas e Equipamentos Agrícolas",Sim,"https://www.apexexportitajaí1sa.com.br","Operação consolidada em Exportação de Máquinas e Equipamentos Agrícolas com embarques internacionais regulares a partir de Itajaí - SC. Estrutura com faturamento relevante, operações de câmbio prontas e derivativos de hedge cambial compatíveis com as soluções MFO da PRX Capital.","4619-2/00 (Representantes comerciais e agentes do comércio de mercadorias em geral)","4622-2/00, 4632-0/01, 5211-7/99, 5250-8/01, 4930-2/02","Andre Nunes Dornelles","Sócio-Diretor Presidente / CEO","https://www.linkedin.com/search/results/people/?keywords=Andre%20Nunes%20Dornelles%20Apex%20Export%20Itaja%C3%AD%201%20S%2FA","(47) 99301-1217 / diretoria@apexexportitajaí1sa.com.br","Aline Zanon Almeida","Diretor de Câmbio & Comércio Exterior (CFO)","https://www.linkedin.com/search/results/people/?keywords=Aline%20Zanon%20Almeida%20Apex%20Export%20Itaja%C3%AD%201%20S%2FA","comex@apexexportitajaí1sa.com.br / financeiro@apexexportitajaí1sa.com.br","AAA (High-Ticket)"
