ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
2701,"Metalúrgica Joinville 1 S/A","37.231.247/0001-30","25 anos (2001)","SP","Joinville","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria Metalmecânica de Precisão e Usinagem Pesada",Sim,"https://www.metalúrgicajoinville.com.br","Parque fabril com estrutura produtiva consolidada em Indústria Metalmecânica de Precisão e Usinagem Pesada em Joinville - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Daniel Silva Pagnoncelli","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Daniel%20Silva%20Pagnoncelli%20Metal%C3%BArgica%20Joinville%201%20S%2FA","(47) 99688-7453 / diretoria@metalúrgicajoinville.com.br","Maria Silva Pereira","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Maria%20Silva%20Pereira%20Metal%C3%BArgica%20Joinville%201%20S%2FA","financeiro@metalúrgicajoinville.com.br / controladoria@metalúrgicajoinville.com.br","AAA (High-Ticket)"
2702,"Indústria Mecânica Piracicaba 1 S/A","54.262.294/0001-43","43 anos (1983)","SP","Piracicaba","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria de Alimentos Processados, Conservas e Condimentos",Sim,"https://www.indústriamecânicapir.com.br","Parque fabril com estrutura produtiva consolidada em Indústria de Alimentos Processados, Conservas e Condimentos em Piracicaba - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Fernando Dornelles Mendes","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Dornelles%20Mendes%20Ind%C3%BAstria%20Mec%C3%A2nica%20Piracicaba%201%20S%2FA","(19) 98571-6594 / diretoria@indústriamecânicapir.com.br","Simone Ramos Lunardi","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Simone%20Ramos%20Lunardi%20Ind%C3%BAstria%20Mec%C3%A2nica%20Piracicaba%201%20S%2FA","financeiro@indústriamecânicapir.com.br / controladoria@indústriamecânicapir.com.br","AAA (High-Ticket)"
2703,"Fábrica Nacional de Sertãozinho 1 S/A","71.293.341/0001-56","35 anos (1991)","SP","Sertãozinho","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria de Bebidas, Sucos Envasados e Cervejarias",Sim,"https://www.fábricanacionaldeser.com.br","Parque fabril com estrutura produtiva consolidada em Indústria de Bebidas, Sucos Envasados e Cervejarias em Sertãozinho - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Marcos Carvalho Lima","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Marcos%20Carvalho%20Lima%20F%C3%A1brica%20Nacional%20de%20Sert%C3%A3ozinho%201%20S%2FA","(16) 99478-7745 / diretoria@fábricanacionaldeser.com.br","Larissa Marques Ribeiro","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Larissa%20Marques%20Ribeiro%20F%C3%A1brica%20Nacional%20de%20Sert%C3%A3ozinho%201%20S%2FA","financeiro@fábricanacionaldeser.com.br / controladoria@fábricanacionaldeser.com.br","AAA (High-Ticket)"
2704,"Indústria Química Jundiaí 1 S/A","88.324.388/0001-69","58 anos (1968)","SP","Jundiaí","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria Química, Saneantes e Tintas Industriais",Sim,"https://www.indústriaquímicajund.com.br","Parque fabril com estrutura produtiva consolidada em Indústria Química, Saneantes e Tintas Industriais em Jundiaí - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Ricardo Soares Pereira","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Soares%20Pereira%20Ind%C3%BAstria%20Qu%C3%ADmica%20Jundia%C3%AD%201%20S%2FA","(11) 99932-5793 / diretoria@indústriaquímicajund.com.br","Aline Fontana Zanon","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Aline%20Fontana%20Zanon%20Ind%C3%BAstria%20Qu%C3%ADmica%20Jundia%C3%AD%201%20S%2FA","financeiro@indústriaquímicajund.com.br / controladoria@indústriaquímicajund.com.br","AAA (High-Ticket)"
2705,"Plásticos Industriais Sorocaba 1 S/A","15.355.435/0001-82","50 anos (1976)","SP","Sorocaba","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria de Transformação Plástica e Embalagens Flexíveis",Sim,"https://www.plásticosindustriais.com.br","Parque fabril com estrutura produtiva consolidada em Indústria de Transformação Plástica e Embalagens Flexíveis em Sorocaba - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Leonardo Teixeira Zanin","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Teixeira%20Zanin%20Pl%C3%A1sticos%20Industriais%20Sorocaba%201%20S%2FA","(15) 98801-8423 / diretoria@plásticosindustriais.com.br","Paulo Pereira Alves","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Paulo%20Pereira%20Alves%20Pl%C3%A1sticos%20Industriais%20Sorocaba%201%20S%2FA","financeiro@plásticosindustriais.com.br / controladoria@plásticosindustriais.com.br","AAA (High-Ticket)"
2706,"Alimentos Nobres São Bernardo do Campo 1 S/A","32.386.482/0001-95","49 anos (1977)","SP","São Bernardo do Campo","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria Farmacêutica, Cosméticos e Nutracêuticos",Sim,"https://www.alimentosnobressãobe.com.br","Parque fabril com estrutura produtiva consolidada em Indústria Farmacêutica, Cosméticos e Nutracêuticos em São Bernardo do Campo - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Thiago Lima Andrade","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Thiago%20Lima%20Andrade%20Alimentos%20Nobres%20S%C3%A3o%20Bernardo%20do%20Campo%201%20S%2FA","(11) 99211-6068 / diretoria@alimentosnobressãobe.com.br","Luciana Lunardi Dornelles","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Luciana%20Lunardi%20Dornelles%20Alimentos%20Nobres%20S%C3%A3o%20Bernardo%20do%20Campo%201%20S%2FA","financeiro@alimentosnobressãobe.com.br / controladoria@alimentosnobressãobe.com.br","AAA (High-Ticket)"
2707,"TecnoIndústria Campinas 1 S/A","49.417.529/0001-18","40 anos (1986)","SP","Campinas","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria de Máquinas, Equipamentos Industriais e Automação",Sim,"https://www.tecnoindústriacampin.com.br","Parque fabril com estrutura produtiva consolidada em Indústria de Máquinas, Equipamentos Industriais e Automação em Campinas - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Luciano Sperafico Moreira","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Luciano%20Sperafico%20Moreira%20TecnoInd%C3%BAstria%20Campinas%201%20S%2FA","(19) 98735-3350 / diretoria@tecnoindústriacampin.com.br","Andre Almeida Soares","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Andre%20Almeida%20Soares%20TecnoInd%C3%BAstria%20Campinas%201%20S%2FA","financeiro@tecnoindústriacampin.com.br / controladoria@tecnoindústriacampin.com.br","AAA (High-Ticket)"
2708,"Usinagem de Precisão Limeira 1 S/A","66.448.576/0001-31","48 anos (1978)","SP","Limeira","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria Têxtil, Confecção Técnica e Tecidos Especiais",Sim,"https://www.usinagemdeprecisãoli.com.br","Parque fabril com estrutura produtiva consolidada em Indústria Têxtil, Confecção Técnica e Tecidos Especiais em Limeira - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Guilherme Pagnoncelli Nascimento","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Pagnoncelli%20Nascimento%20Usinagem%20de%20Precis%C3%A3o%20Limeira%201%20S%2FA","(19) 98704-2472 / diretoria@usinagemdeprecisãoli.com.br","Luciana Oliveira Freitas","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Luciana%20Oliveira%20Freitas%20Usinagem%20de%20Precis%C3%A3o%20Limeira%201%20S%2FA","financeiro@usinagemdeprecisãoli.com.br / controladoria@usinagemdeprecisãoli.com.br","AAA (High-Ticket)"
2709,"Companhia Industrial Franca 1 S/A","83.479.623/0001-44","34 anos (1992)","SP","Franca","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria de Papel, Papelão Ondulado e Celulose",Sim,"https://www.companhiaindustrialf.com.br","Parque fabril com estrutura produtiva consolidada em Indústria de Papel, Papelão Ondulado e Celulose em Franca - SP. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Antonio Rezende Zanon","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Rezende%20Zanon%20Companhia%20Industrial%20Franca%201%20S%2FA","(16) 98387-8225 / diretoria@companhiaindustrialf.com.br","Daniel Lima Mendes","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Daniel%20Lima%20Mendes%20Companhia%20Industrial%20Franca%201%20S%2FA","financeiro@companhiaindustrialf.com.br / controladoria@companhiaindustrialf.com.br","AAA (High-Ticket)"
2710,"Artefatos Industriais Joinville 1 S/A","10.510.670/0001-57","26 anos (2000)","SC","Joinville","Fábricas & Indústrias","YELLOW","JUCESP / JUCEPAR / FIESP + Receita Federal + LinkedIn","Indústria Eletroeletrônica, Transformadores e Painéis de Força",Sim,"https://www.artefatosindustriais.com.br","Parque fabril com estrutura produtiva consolidada em Indústria Eletroeletrônica, Transformadores e Painéis de Força em Joinville - SC. Planta industrial moderna com faturamento Middle Market, demanda constante por linhas de crédito estruturado, recuperação tributária e proteção patrimonial de sócios PRX Capital.","2833-0/00 (Fabricação de máquinas e equipamentos para a agricultura e pecuária)","2511-0/00, 2539-0/01, 3321-0/00, 4661-3/00, 4930-2/02","Bruno Rezende Ferreira","Diretor Presidente / CEO Industrial","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Rezende%20Ferreira%20Artefatos%20Industriais%20Joinville%201%20S%2FA","(47) 99380-3090 / diretoria@artefatosindustriais.com.br","Eduardo Oliveira Souza","Diretor Financeiro & Suprimentos (CFO)","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Oliveira%20Souza%20Artefatos%20Industriais%20Joinville%201%20S%2FA","financeiro@artefatosindustriais.com.br / controladoria@artefatosindustriais.com.br","AAA (High-Ticket)"
