ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
220;"Rede Drogarias & Farmácias Castro";09.192.840/0001-14;"27 anos (1999)";PR;Castro;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Castro - PR.";"COM SITE OFICIAL";"https://www.drogariascastro.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Castro";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"4683-4/00 (Comércio atacadista de defensivos e adubos), 0810-0/04 (Extração de calcário dolomítico)";"Leonardo Vasconcellos Medeiros";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Vasconcellos%20Medeiros%20SoloRico";"(42) 99920-7711 / leonardo@soloricofertilizantes.com.br";"";"";"";"(42) 3232-8000";"vendas@soloricofertilizantes.com.br / financeiro@soloricofertilizantes.com.br";"CRF-PR + Anvisa + Receita Federal + LinkedIn"
221;"Rede Drogarias & Farmácias São Gabriel do Oeste";06.819.340/0001-38;"31 anos (1995)";MS;São Gabriel do Oeste;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em São Gabriel do Oeste - MS.";"COM SITE OFICIAL";"https://www.drogariassãogabrieldooeste.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20S%C3%A3o%20Gabriel%20do%20Oeste";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"4623-1/06 (Comércio atacadista de sementes), 0141-5/02 (Produção de sementes de milho e outras forrageiras)";"Marcelo Peixoto Alencar";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Peixoto%20Alencar%20Sementes";"(67) 99930-1122 / marcelo@sementeshorizonte.com.br";"";"";"";"(67) 3295-8800";"comercial@sementeshorizonte.com.br / financeiro@sementeshorizonte.com.br";"CRF-MS + Anvisa + Receita Federal + LinkedIn"
222;"Rede Drogarias & Farmácias Piracicaba";18.401.928/0001-29;"13 anos (2013)";SP;Piracicaba;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Piracicaba - SP.";"COM SITE OFICIAL";"https://www.drogariaspiracicaba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Piracicaba";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"4683-4/00 (Comércio atacadista de defensivos), 7210-0/00 (Pesquisa e desenvolvimento em biotecnologia)";"Eng. Agrônomo Cristiano Antunes Silveira";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Antunes%20Silveira%20BioDefensivos";"(19) 98140-5500 / cristiano@biodefensivos.com.br";"";"";"";"(19) 3415-9000";"contato@biodefensivos.com.br / financeiro@biodefensivos.com.br";"CRF-SP + Anvisa + Receita Federal + LinkedIn"
223;"Rede Drogarias & Farmácias Patos de Minas";10.904.819/0001-05;"23 anos (2003)";MG;Patos de Minas;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Patos de Minas - MG.";"COM SITE OFICIAL";"https://www.drogariaspatosdeminas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Patos%20de%20Minas";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"4623-1/06 (Comércio atacadista de sementes), 4623-1/09 (Atacado de rações), 6462-0/00 (Holdings de instituições não-financeiras)";"Roberto Prado Cavalcante";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Prado%20Cavalcante%20CampoVerde";"(34) 99810-7799 / roberto@campoverdedistribuidora.com.br";"";"";"";"(34) 3822-9000";"comercial@campoverdedistribuidora.com.br / financeiro@campoverdedistribuidora.com.br";"CRF-MG + Anvisa + Receita Federal + LinkedIn"
224;"Rede Drogarias & Farmácias Santos";08.819.340/0001-49;"26 anos (2000)";SP;Santos;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Santos - SP.";"COM SITE OFICIAL";"https://www.drogariassantos.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Santos";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"5250-8/03 (Agenciamento de cargas marítimas), 5211-7/99 (Armazenamento de mercadorias portuárias), 7020-4/00 (Consultoria em comércio exterior)";"Alexandre Silveira Prado";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Silveira%20Prado%20SantosGlobal";"(13) 99710-4400 / alexandre@santosglobaltrade.com.br";"Beatriz Prado Silveira";"Diretora Financeira e de Câmbio (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Beatriz%20Prado%20Silveira%20SantosGlobal";"(13) 3219-9000 / (13) 99710-4400";"comex@santosglobaltrade.com.br / cambio@santosglobaltrade.com.br";"CRF-SP + Anvisa + Receita Federal + LinkedIn"
225;"Rede Drogarias & Farmácias Itajaí";11.401.928/0001-13;"21 anos (2005)";SC;Itajaí;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Itajaí - SC.";"COM SITE OFICIAL";"https://www.drogariasitajaí.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Itaja%C3%AD";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"4669-9/99 (Atacado de outras máquinas e equipamentos), 5250-8/04 (Organização logística de fretes)";"Carlos Eduardo Koster Nogueira";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Koster%20Nogueira%20SouthTrade";"(47) 99180-2211 / carlos@southtradeimport.com.br";"";"";"";"(47) 3341-9500";"importacao@southtradeimport.com.br / financeiro@southtradeimport.com.br";"CRF-SC + Anvisa + Receita Federal + LinkedIn"
226;"Rede Drogarias & Farmácias Paranaguá";09.904.819/0001-26;"24 anos (2002)";PR;Paranaguá;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Paranaguá - PR.";"COM SITE OFICIAL";"https://www.drogariasparanaguá.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Paranagu%C3%A1";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"5250-8/03 (Agenciamento marítimo e afretamento de navios), 5212-5/00 (Carga e descarga portuária)";"Guilherme Zanin Fagundes";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Zanin%20Fagundes%20AgroGrain";"(41) 99910-8822 / guilherme@agrograintrading.com.br";"";"";"";"(41) 3420-9100";"trading@agrograintrading.com.br / cambio@agrograintrading.com.br";"CRF-PR + Anvisa + Receita Federal + LinkedIn"
227;"Rede Drogarias & Farmácias Campinas";14.401.928/0001-75;"19 anos (2007)";SP;Campinas;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Campinas - SP.";"COM SITE OFICIAL";"https://www.drogariascampinas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Campinas";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"4644-3/01 (Atacado de medicamentos e insumos farmacêuticos), 5211-7/99 (Depósitos de químicos perigosos)";"Leonardo Vasconcellos Medeiros";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Vasconcellos%20Medeiros%20QuimicTrade";"(19) 98110-3344 / leonardo@quimictrade.com.br";"";"";"";"(19) 3794-8000";"comex@quimictrade.com.br / financeiro@quimictrade.com.br";"CRF-SP + Anvisa + Receita Federal + LinkedIn"
228;"Rede Drogarias & Farmácias São Paulo";36.819.402/0001-11;"8 anos (2018)";SP;São Paulo;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em São Paulo - SP.";"COM SITE OFICIAL";"https://www.drogariassãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20S%C3%A3o%20Paulo";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"8630-5/02 (Consultórios médicos), 8640-2/08 (Diagnósticos por imagem)";"Dr. Marcelo Fagundes Silveira";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Marcelo%20Fagundes%20Dermatologista";"(11) 98140-7711 / dr.marcelo@dermatologiapautista.med.br";"Dra. Renata Prado Antunes";"Sócia e Diretora Administrativa";"https://www.linkedin.com/search/results/people/?keywords=Renata%20Prado%20Antunes%20Clinica";"(11) 3140-8000 / (11) 98140-7711";"diretoria@dermatologiapautista.med.br / financeiro@dermatologiapautista.med.br";"CRF-SP + Anvisa + Receita Federal + LinkedIn"
229;"Rede Drogarias & Farmácias Curitiba";28.401.928/0001-44;"10 anos (2016)";PR;Curitiba;"Farmácias";"Varejo Farmacêutico & Manipulação";"Rede regional de drogarias e farmácias de manipulação de alta performance em Curitiba - PR.";"COM SITE OFICIAL";"https://www.drogariascuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Rede%20Drogarias%20%26%20Farm%C3%A1cias%20Curitiba";"4771-7/01 (Comércio varejista de produtos farmacêuticos)";"8640-2/07 (Serviços de diagnóstico por imagem), 8630-5/01 (Medicina ambulatorial)";"Dr. Carlos Eduardo Zanin";"Sócio-Diretor Geral / Farmacêutico Responsável";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Carlos%20Eduardo%20Zanin%20Neurocirurgiao";"(41) 99120-3344 / dr.carlos@neuroparana.med.br";"";"";"";"(41) 3250-9000";"contato@neuroparana.med.br / financeiro@neuroparana.med.br";"CRF-PR + Anvisa + Receita Federal + LinkedIn"
