ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
9;"Alimentos Dallas (Grupo Dallas)";02.483.916/0001-94;"28 anos (1998)";MS;Nova Alvorada;"Importadora & Exportadora";"Indústria de Alimentos & Exportação";"Complexo industrial de massas, biscoitos, farinhas e exportação no Centro-Oeste e Mercosul.";"COM SITE OFICIAL";"https://www.dallasalimentos.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Alimentos%20Dallas%20(Grupo%20Dallas)";"1094-5/00 (Fabricação de massas alimentícias)";"1062-7/00 (Moagem de trigo e farinhas), 1092-9/00 (Biscoitos e bolachas), 1061-9/01 (Beneficiamento de arroz), 4639-7/01 (Atacado de alimentos), 4930-2/02 (Transporte rodoviário de carga)";"Valdir José Zorzo";"Presidente do Grupo e Fundador";"https://www.linkedin.com/search/results/people/?keywords=Valdir%20Zorzo%20Dallas%20Alimentos";"(67) 99981-1100 / diretoria@dallasalimentos.com.br";"Dorcy Zorzo Casarin";"Sócia e Diretora Financeira (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Dorcy%20Zorzo%20Dallas%20Alimentos";"(67) 3456-1100 / (67) 99981-1100";"sac@dallasalimentos.com.br / financeiro@dallasalimentos.com.br";"JUCEMS / QSA da Receita Federal + LinkedIn Corporativo"
12;"Cromex S/A";02.271.463/0001-13;"29 anos (1997)";SP;São Paulo;"Importadora & Exportadora";"Indústria Química & Comércio Exterior";"Líder em masterbatches com exportação consolidada para mais de 60 países nos 5 continentes.";"COM SITE OFICIAL";"https://www.cromex.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Cromex%20S%2FA";"2229-3/02 (Masterbatches de cores e aditivos)";"2014-2/00 (Químicos inorgânicos), 2099-9/99 (Produtos químicos industriais), 4684-2/99 (Atacado de produtos químicos), 4684-2/01 (Atacado de resinas plásticas), 4686-9/02 (Insumos industriais)";"Sergio Wajsbrot";"Presidente / Diretor Geral (CEO)";"https://www.linkedin.com/in/sergio-wajsbrot/";"(11) 98900-1000 / sergio.wajsbrot@cromex.com.br";"Paulo Henrique Prado";"Diretor Financeiro e Administrativo (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Paulo%20Henrique%20Prado%20Cromex";"(11) 3856-1000 / (11) 98900-1000";"cromex@cromex.com.br / financeiro@cromex.com.br";"JUCESP / QSA da Receita Federal + LinkedIn Corporativo"
14;"Forno de Minas Alimentos S/A";03.870.455/0004-07;"36 anos (1990)";MG;Contagem;"Importadora & Exportadora";"Indústria de Alimentos & Exportação Global";"Líder em pão de queijo congelado com exportação para América do Norte, Europa, Ásia e América Latina.";"COM SITE OFICIAL";"https://www.fornodeminas.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Forno%20de%20Minas%20Alimentos%20S%2FA";"1094-5/00 (Massas e alimentos congelados)";"1091-1/02 (Confeitaria e padaria industrial), 1052-0/00 (Derivados de queijo), 4639-7/01 (Atacado de congelados), 4637-1/04 (Atacado de pães), 4930-2/02 (Transporte rodoviário refrigerado)";"Rodrigo de Paula Abreu";"Diretor Presidente / CEO";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Abreu%20Forno%20de%20Minas";"(31) 3079-8100 / presidencia@fornodeminas.com.br";"Vicente Paula Abreu";"Diretor Financeiro e de Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vicente%20Abreu%20Forno%20de%20Minas";"(31) 3079-8100 / (31) 3079-8211";"sac@fornodeminas.com.br / financeiro@fornodeminas.com.br";"JUCEMG / QSA da Receita Federal + LinkedIn Corporativo"
17;"Alvoar Lácteos (Embaré)";21.992.946/0001-51;"91 anos (1935)";MG;Lagoa da Prata;"Importadora & Exportadora";"Indústria de Laticínios & Exportação";"Fabricante de leite Camponesa e confeitos Embaré exportados para mais de 45 países.";"COM SITE OFICIAL";"https://www.embare.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Alvoar%20L%C3%A1cteos%20(Embar%C3%A9)";"1052-0/00 (Fabricação de laticínios)";"1093-7/01 (Chocolates e caramelos Embaré), 1051-1/00 (Preparação de leite), 4631-1/01 (Atacado de leite e laticínios), 4637-1/07 (Atacado de confeitos), 4930-2/02 (Transporte frigorificado)";"Marcelo Cavalcante de Araujo";"Diretor Presidente Executivo (CEO)";"https://www.linkedin.com/in/marcelo-cavalcante-araujo/";"(85) 99159-6163 / marcelo.cavalcante@alvoar.com.br";"Gustavo Guimarães";"Diretor Financeiro e de RI (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Gustavo%20Guimaraes%20Alvoar%20Lacteos";"(37) 3261-0101 / 0800 709 4969 / (85) 99159-6163";"sac@embare.com.br / financeiro@alvoar.com.br";"JUCEMG / QSA da Receita Federal + LinkedIn Corporativo"
18;"Máquinas Agrícolas Jacto";55.064.562/0001-90;"78 anos (1948)";SP;Pompéia;"Importadora & Exportadora";"Metalmecânica & Exportação Global";"Multinacional brasileira de pulverizadores e maquinário agrícola exportando para mais de 100 países.";"COM SITE OFICIAL";"https://www.jacto.com";"https://www.linkedin.com/search/results/companies/?keywords=M%C3%A1quinas%20Agr%C3%ADcolas%20Jacto";"2833-0/00 (Máquinas e pulverizadores agrícolas)";"2651-5/00 (Telemetria e sensores agrícolas), 3321-0/00 (Instalação industrial), 4661-3/00 (Atacado de máquinas agrícolas), 4530-7/01 (Atacado de peças), 7112-0/00 (Engenharia e tecnologia)";"Fernando Gonçalves Neto";"Diretor Presidente Executivo (CEO)";"https://www.linkedin.com/in/fernando-goncalves-neto/";"(14) 3405-2100 / presidencia@jacto.com.br";"Sergio Ribeiro";"Diretor Financeiro e Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Ribeiro%20Jacto%20Financeiro";"(14) 3405-2100 / 0800 772 2100";"jacto@jacto.com.br / financeiro@jacto.com.br";"JUCESP / QSA da Receita Federal + LinkedIn Corporativo"
19;"Industrial Marvi Ltda.";53.408.654/0001-15;"74 anos (1952)";SP;Ourinhos;"Importadora & Exportadora";"Indústria de Alimentos & Exportação LatAm";"Maior fabricante de casquinhas e insumos de sorveteria da América Latina com presença no Mercosul.";"COM SITE OFICIAL";"https://www.marvi.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Industrial%20Marvi%20Ltda.";"1092-9/00 (Casquinhas, cones e biscoitos)";"1099-6/99 (Caldas, coberturas e sobremesas), 2229-3/01 (Embalagens plásticas descartáveis), 4639-7/01 (Atacado de alimentos para food service), 4686-9/02 (Atacado de embalagens), 4930-2/02 (Transporte rodoviário)";"Sergio Luis Mesquita";"Sócio-Administrador e Diretor Geral";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Luis%20Mesquita%20Marvi";"(14) 3302-4411 / diretoria@marvi.com.br";"Marcelo Bertoni";"Gerente Geral Financeiro e Tesouraria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Bertoni%20Marvi";"(14) 3302-4411 / (14) 99761-4411";"contato@marvi.com.br / financeiro@marvi.com.br";"JUCESP / QSA da Receita Federal + LinkedIn Corporativo"
22;"Frigorífico Astra (Astra Foods)";07.615.913/0001-61;"21 anos (2005)";PR;Cruzeiro Oeste;"Importadora & Exportadora";"Frigorífico & Exportação Global";"Abate e processamento de carnes nobres e cortes especiais habilitados para exportação global.";"COM SITE OFICIAL";"https://www.astrafoods.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Frigor%C3%ADfico%20Astra%20(Astra%20Foods)";"1011-2/01 (Frigorífico - abate de bovinos)";"1013-9/01 (Produtos de carne e charcutaria), 4634-6/01 (Atacado de carnes bovinas), 4689-3/01 (Atacado de couros e subprodutos), 4930-2/02 (Transporte frigorificado), 0151-2/01 (Confinamento e gado de corte)";"Jeremias Silva Junior";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/in/jeremias-silva-junior/";"(44) 3676-8100 / diretoria@astrafoods.com.br";"Marcio Rogério Santos";"Diretor Financeiro e Tesouraria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Marcio%20Rogerio%20Santos%20Astra%20Foods";"(44) 3676-8100 / (44) 3676-8118";"astra@astrafoods.com.br / financeiro@astrafoods.com.br";"JUCEPAR / QSA da Receita Federal + LinkedIn Corporativo"
35;"Agroexport Trading de Grãos e Café Varginha";76.297.764/0001-18;"14 anos (2012)";MG;Varginha;"Importadora & Exportadora";"Indústria / Comércio Exterior & Exportação";"Operação B2B estruturada do nicho de Indústria / Comércio Exterior & Exportação localizada em Varginha - MG.";"COM SITE OFICIAL";"https://www.agroexporttr.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Agroexport%20Trading%20de%20Gr%C3%A3os%20e%20Caf%C3%A9%20Varginha";"4621-4/00 (Comércio atacadista de café e grãos em exportação)";"1011-2/01 (Frigorífico exportador), 4684-2/99 (Químicos para exportação)";"Henrique Toledo";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Henrique%20Toledo%20agroexporttr";"(31) 9818-1122 / henrique@agroexporttr.com.br";"Fabio Dias";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Dias%20agroexporttr";"(31) 3200-1800 / (31) 9818-1122";"diretoria@agroexporttr.com.br / financeiro@agroexporttr.com.br";"SECEX / QSA Receita Federal + LinkedIn"
44;"Brasil Nobre Carnes e Exportação Campo Grande";69.631.612/0001-27;"23 anos (2003)";MS;Campo Grande;"Importadora & Exportadora";"Indústria / Comércio Exterior & Exportação";"Operação B2B estruturada do nicho de Indústria / Comércio Exterior & Exportação localizada em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.brasilnobrec.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Brasil%20Nobre%20Carnes%20e%20Exporta%C3%A7%C3%A3o%20Campo%20Grande";"4621-4/00 (Comércio atacadista de café e grãos em exportação)";"1011-2/01 (Frigorífico exportador), 4684-2/99 (Químicos para exportação)";"Ricardo Alvarenga";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Alvarenga%20brasilnobrec";"(67) 9927-1122 / ricardo@brasilnobrec.com.br";"Vinicius Mendonca";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Mendonca%20brasilnobrec";"(67) 3300-2700 / (67) 9927-1122";"diretoria@brasilnobrec.com.br / financeiro@brasilnobrec.com.br";"SECEX / QSA Receita Federal + LinkedIn"
53;"CerealExport Operações Internacionais Itajaí";62.965.460/0001-36;"32 anos (1994)";SC;Itajaí;"Importadora & Exportadora";"Indústria / Comércio Exterior & Exportação";"Operação B2B estruturada do nicho de Indústria / Comércio Exterior & Exportação localizada em Itajaí - SC.";"COM SITE OFICIAL";"https://www.cerealexport.com.br";"https://www.linkedin.com/search/results/companies/?keywords=CerealExport%20Opera%C3%A7%C3%B5es%20Internacionais%20Itaja%C3%AD";"4621-4/00 (Comércio atacadista de café e grãos em exportação)";"1011-2/01 (Frigorífico exportador), 4684-2/99 (Químicos para exportação)";"Cristiano Medeiros";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Medeiros%20cerealexport";"(48) 91036-1122 / cristiano@cerealexport.com.br";"Fabio Zanin";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Fabio%20Zanin%20cerealexport";"(48) 3400-3600 / (48) 91036-1122";"diretoria@cerealexport.com.br / financeiro@cerealexport.com.br";"SECEX / QSA Receita Federal + LinkedIn"
62;"GlobalTrade Exportação de Alimentos Santos";55.400.308/0001-45;"6 anos (2020)";SP;Santos;"Importadora & Exportadora";"Indústria / Comércio Exterior & Exportação";"Operação B2B estruturada do nicho de Indústria / Comércio Exterior & Exportação localizada em Santos - SP.";"COM SITE OFICIAL";"https://www.globaltradee.com.br";"https://www.linkedin.com/search/results/companies/?keywords=GlobalTrade%20Exporta%C3%A7%C3%A3o%20de%20Alimentos%20Santos";"4621-4/00 (Comércio atacadista de café e grãos em exportação)";"1011-2/01 (Frigorífico exportador), 4684-2/99 (Químicos para exportação)";"Antonio Koster";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Koster%20globaltradee";"(11) 91145-1122 / antonio@globaltradee.com.br";"Vinicius Vasconcellos";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Vinicius%20Vasconcellos%20globaltradee";"(11) 3500-4500 / (11) 91145-1122";"diretoria@globaltradee.com.br / financeiro@globaltradee.com.br";"SECEX / QSA Receita Federal + LinkedIn"
