ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
2401,"InterImport Itajaí 1 Ltda.","67.831.547/0001-90","16 anos (2010)","SC","Itajaí","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Equipamentos Médicos, Hospitalares e Odontológicos",Sim,"https://www.interimportitajaí1lt.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Equipamentos Médicos, Hospitalares e Odontológicos em Itajaí - SC. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Thiago Gonçalves Rocha","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Thiago%20Gon%C3%A7alves%20Rocha%20InterImport%20Itaja%C3%AD%201%20Ltda.","(47) 99834-2486 / diretoria@interimportitajaí1lt.com.br","Beatriz Furlan Teixeira","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Beatriz%20Furlan%20Teixeira%20InterImport%20Itaja%C3%AD%201%20Ltda.","financeiro@interimportitajaí1lt.com.br / comex@interimportitajaí1lt.com.br","AAA (High-Ticket)"
2402,"Global Tech Import Navegantes 1 Ltda.","84.862.594/0001-13","13 anos (2013)","SC","Navegantes","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Componentes Eletrônicos, Chips e Automação",Sim,"https://www.globaltechimportnave.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Componentes Eletrônicos, Chips e Automação em Navegantes - SC. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Marcio Freitas Bortoluzzi","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Marcio%20Freitas%20Bortoluzzi%20Global%20Tech%20Import%20Navegantes%201%20Ltda.","(47) 99152-5245 / diretoria@globaltechimportnave.com.br","Renato Ribeiro Battistella","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Renato%20Ribeiro%20Battistella%20Global%20Tech%20Import%20Navegantes%201%20Ltda.","financeiro@globaltechimportnave.com.br / comex@globaltechimportnave.com.br","AAA (High-Ticket)"
2403,"Alfa Importadora Joinville 1 Ltda.","11.893.641/0001-26","30 anos (1996)","SC","Joinville","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Insumos Químicos e Matérias-Primas Farmacêuticas",Sim,"https://www.alfaimportadorajoinv.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Insumos Químicos e Matérias-Primas Farmacêuticas em Joinville - SC. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Luciano Battistella Freitas","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Luciano%20Battistella%20Freitas%20Alfa%20Importadora%20Joinville%201%20Ltda.","(47) 98759-5169 / diretoria@alfaimportadorajoinv.com.br","Fabio Machado Ramos","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Fabio%20Machado%20Ramos%20Alfa%20Importadora%20Joinville%201%20Ltda.","financeiro@alfaimportadorajoinv.com.br / comex@alfaimportadorajoinv.com.br","AAA (High-Ticket)"
2404,"Pacific Trading Florianópolis 1 Ltda.","28.924.688/0001-39","32 anos (1994)","SC","Florianópolis","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Máquinas Industriais, Tornos CNC e Ferramental",Sim,"https://www.pacifictradingfloria.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Máquinas Industriais, Tornos CNC e Ferramental em Florianópolis - SC. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Felipe Trevisan Fontana","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Felipe%20Trevisan%20Fontana%20Pacific%20Trading%20Florian%C3%B3polis%201%20Ltda.","(48) 99546-5711 / diretoria@pacifictradingfloria.com.br","Wagner Souza Costa","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Wagner%20Souza%20Costa%20Pacific%20Trading%20Florian%C3%B3polis%201%20Ltda.","financeiro@pacifictradingfloria.com.br / comex@pacifictradingfloria.com.br","AAA (High-Ticket)"
2405,"Sul América Import São Paulo 1 Ltda.","45.955.735/0001-52","16 anos (2010)","SP","São Paulo","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Painéis Solares, Inversores e Energia Fotovoltaica",Sim,"https://www.sulaméricaimportsãop.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Painéis Solares, Inversores e Energia Fotovoltaica em São Paulo - SP. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Wagner Ferreira Sperafico","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Wagner%20Ferreira%20Sperafico%20Sul%20Am%C3%A9rica%20Import%20S%C3%A3o%20Paulo%201%20Ltda.","(11) 99236-2017 / diretoria@sulaméricaimportsãop.com.br","Cristina Teixeira Martins","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Cristina%20Teixeira%20Martins%20Sul%20Am%C3%A9rica%20Import%20S%C3%A3o%20Paulo%201%20Ltda.","financeiro@sulaméricaimportsãop.com.br / comex@sulaméricaimportsãop.com.br","AAA (High-Ticket)"
2406,"Mega Comex Barueri 1 Ltda.","62.986.782/0001-65","19 anos (2007)","SP","Barueri","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Autopeças e Pneus para Linha Pesada",Sim,"https://www.megacomexbarueri1ltd.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Autopeças e Pneus para Linha Pesada em Barueri - SP. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Alexandre Moreira Lunardi","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Moreira%20Lunardi%20Mega%20Comex%20Barueri%201%20Ltda.","(11) 98095-5902 / diretoria@megacomexbarueri1ltd.com.br","Camila Souza Santana","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Camila%20Souza%20Santana%20Mega%20Comex%20Barueri%201%20Ltda.","financeiro@megacomexbarueri1ltd.com.br / comex@megacomexbarueri1ltd.com.br","AAA (High-Ticket)"
2407,"Direct Import Santos 1 Ltda.","79.117.829/0001-78","24 anos (2002)","SP","Santos","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Polímeros, Resinas Plásticas e Elastômeros",Sim,"https://www.directimportsantos1l.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Polímeros, Resinas Plásticas e Elastômeros em Santos - SP. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Antonio Teixeira Pereira","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Teixeira%20Pereira%20Direct%20Import%20Santos%201%20Ltda.","(13) 98456-3767 / diretoria@directimportsantos1l.com.br","Antonio Almeida Lopes","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Almeida%20Lopes%20Direct%20Import%20Santos%201%20Ltda.","financeiro@directimportsantos1l.com.br / comex@directimportsantos1l.com.br","AAA (High-Ticket)"
2408,"Omni Trade Campinas 1 Ltda.","96.148.876/0001-91","15 anos (2011)","SP","Campinas","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Vinhos Finos, Destilados e Alimentos Gourmet",Sim,"https://www.omnitradecampinas1lt.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Vinhos Finos, Destilados e Alimentos Gourmet em Campinas - SP. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Andre Pagnoncelli Nunes","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Andre%20Pagnoncelli%20Nunes%20Omni%20Trade%20Campinas%201%20Ltda.","(19) 98832-9883 / diretoria@omnitradecampinas1lt.com.br","Juliana Costa Gonçalves","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Juliana%20Costa%20Gon%C3%A7alves%20Omni%20Trade%20Campinas%201%20Ltda.","financeiro@omnitradecampinas1lt.com.br / comex@omnitradecampinas1lt.com.br","AAA (High-Ticket)"
2409,"Vector Importadora São José dos Campos 1 Ltda.","23.179.923/0001-14","17 anos (2009)","SP","São José dos Campos","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Importação de Rolamentos, Transmissões e Motores Especiais",Sim,"https://www.vectorimportadorasão.com.br","Importadora e distribuidora de alta performance atuando no nicho de Importação de Rolamentos, Transmissões e Motores Especiais em São José dos Campos - SP. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Fernando Nascimento Battistella","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Nascimento%20Battistella%20Vector%20Importadora%20S%C3%A3o%20Jos%C3%A9%20dos%20Campos%201%20Ltda.","(12) 98758-3949 / diretoria@vectorimportadorasão.com.br","Fernando Nascimento Ribeiro","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Nascimento%20Ribeiro%20Vector%20Importadora%20S%C3%A3o%20Jos%C3%A9%20dos%20Campos%201%20Ltda.","financeiro@vectorimportadorasão.com.br / comex@vectorimportadorasão.com.br","AAA (High-Ticket)"
2410,"Titan Comex Curitiba 1 Ltda.","40.210.970/0001-27","34 anos (1992)","PR","Curitiba","Importadoras","RED","SECEX / SISCOMEX + Receita Federal + LinkedIn","Trading de Importação sob Encomenda e Conta & Ordem",Sim,"https://www.titancomexcuritiba1l.com.br","Importadora e distribuidora de alta performance atuando no nicho de Trading de Importação sob Encomenda e Conta & Ordem em Curitiba - PR. Operações via benefícios fiscais (TTD/SC, Fundap/ES, CPR/PR), grande demanda por hedge cambial, antecipação de recebíveis e estruturação de capital de giro PRX Capital.","4669-9/99 (Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente)","4645-1/01, 4684-2/99, 5211-7/01, 5250-8/04, 4930-2/02","Renato Gomes Bortoluzzi","Sócio-Fundador e Diretor Geral (CEO)","https://www.linkedin.com/search/results/people/?keywords=Renato%20Gomes%20Bortoluzzi%20Titan%20Comex%20Curitiba%201%20Ltda.","(41) 99302-2467 / diretoria@titancomexcuritiba1l.com.br","Beatriz Rocha Souza","Diretor Financeiro & Head de Importação (CFO)","https://www.linkedin.com/search/results/people/?keywords=Beatriz%20Rocha%20Souza%20Titan%20Comex%20Curitiba%201%20Ltda.","financeiro@titancomexcuritiba1l.com.br / comex@titancomexcuritiba1l.com.br","AAA (High-Ticket)"
