ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
26;"Vortex Growth & Performance Marketing";31.854.210/0001-18;"7 anos (2019)";PR;Curitiba;"Marketing & Mídia";"Agência de Publicidade & Growth B2B";"Agência de marketing de performance, aquisição de tráfego e mídia de alta escala.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Vortex%20Growth%20%26%20Performance%20Marketing";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Programas customizados), 7490-1/04 (Intermediação de negócios)";"Guilherme Siqueira";"Sócio-Fundador & CEO";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Siqueira%20Marketing%20Vortex";"(41) 99876-1122 / guilherme@vortexgrowth.com.br";"Bruno Casagrande";"Sócio e Diretor de Operações e Mídia";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Casagrande%20Vortex";"(41) 3040-5500 / (41) 99876-1122";"contato@vortexgrowth.com.br / financeiro@vortexgrowth.com.br";"CENP / QSA da Receita Federal + LinkedIn Corporativo"
30;"AdVenture Estratégias Digitais B2B Belo Horizonte";41.511.349/0001-13;"9 anos (2017)";MG;Belo Horizonte;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Belo Horizonte - MG.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=AdVenture%20Estrat%C3%A9gias%20Digitais%20B2B%20Belo%20Horizonte";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Paulo Castilho";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Paulo%20Castilho%20adventureest";"(31) 91113-1122 / paulo@adventureest.com.br";"Sergio Dornelles";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Dornelles%20adventureest";"(31) 3500-1300 / (31) 91113-1122";"diretoria@adventureest.com.br / financeiro@adventureest.com.br";"CENP / QSA Receita Federal + LinkedIn"
39;"BrandPrime Criação e Posicionamento Ribeirão Preto";34.845.197/0001-22;"18 anos (2008)";SP;Ribeirão Preto;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Ribeirão Preto - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=BrandPrime%20Cria%C3%A7%C3%A3o%20e%20Posicionamento%20Ribeir%C3%A3o%20Preto";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Bruno Dornelles";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Dornelles%20brandprimecr";"(11) 91222-1122 / bruno@brandprimecr.com.br";"Rodrigo Martins";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Martins%20brandprimecr";"(11) 3600-2200 / (11) 91222-1122";"diretoria@brandprimecr.com.br / financeiro@brandprimecr.com.br";"CENP / QSA Receita Federal + LinkedIn"
48;"OmniChannel Mídia e Automação São Paulo";27.280.944/0001-31;"27 anos (1999)";SP;São Paulo;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em São Paulo - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=OmniChannel%20M%C3%ADdia%20e%20Automa%C3%A7%C3%A3o%20S%C3%A3o%20Paulo";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Fernando Fagundes";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Fagundes%20omnichannelm";"(11) 91331-1122 / fernando@omnichannelm.com.br";"Sergio Cereser";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Cereser%20omnichannelm";"(11) 3700-3100 / (11) 91331-1122";"diretoria@omnichannelm.com.br / financeiro@omnichannelm.com.br";"CENP / QSA Receita Federal + LinkedIn"
57;"Nexus Growth Mídia Programática Florianópolis";20.614.792/0001-40;"36 anos (1990)";SC;Florianópolis;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Florianópolis - SC.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Nexus%20Growth%20M%C3%ADdia%20Program%C3%A1tica%20Florian%C3%B3polis";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Marcelo Cereser";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Cereser%20nexusgrowthm";"(48) 91440-1122 / marcelo@nexusgrowthm.com.br";"Rodrigo Prado";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Prado%20nexusgrowthm";"(48) 3800-4000 / (48) 91440-1122";"diretoria@nexusgrowthm.com.br / financeiro@nexusgrowthm.com.br";"CENP / QSA Receita Federal + LinkedIn"
66;"Scale Up Estratégia e Aquisição Campinas";83.948.640/0001-49;"10 anos (2016)";SP;Campinas;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Campinas - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Scale%20Up%20Estrat%C3%A9gia%20e%20Aquisi%C3%A7%C3%A3o%20Campinas";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Caio Borges";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Caio%20Borges%20scaleupestra";"(11) 91549-1122 / caio@scaleupestra.com.br";"Sergio Castilho";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Castilho%20scaleupestra";"(11) 3900-4900 / (11) 91549-1122";"diretoria@scaleupestra.com.br / financeiro@scaleupestra.com.br";"CENP / QSA Receita Federal + LinkedIn"
75;"Agência Impulso Growth & Mídia Paga (PR)";76.383.488/0001-58;"19 anos (2007)";PR;Londrina;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Londrina - PR.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Ag%C3%AAncia%20Impulso%20Growth%20%26%20M%C3%ADdia%20Paga%20(PR)";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Henrique Castilho";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Henrique%20Castilho%20agnciaimpuls";"(41) 9858-1122 / henrique@agnciaimpuls.com.br";"Rodrigo Fontoura";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Fontoura%20agnciaimpuls";"(41) 3200-5800 / (41) 9858-1122";"diretoria@agnciaimpuls.com.br / financeiro@agnciaimpuls.com.br";"CENP / QSA Receita Federal + LinkedIn"
84;"DigitalScale Performance e Dados Curitiba";69.717.336/0001-67;"28 anos (1998)";PR;Curitiba;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Curitiba - PR.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=DigitalScale%20Performance%20e%20Dados%20Curitiba";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Ricardo Dornelles";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Dornelles%20digitalscale";"(41) 9967-1122 / ricardo@digitalscale.com.br";"Sergio Fagundes";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Fagundes%20digitalscale";"(41) 3300-6700 / (41) 9967-1122";"diretoria@digitalscale.com.br / financeiro@digitalscale.com.br";"CENP / QSA Receita Federal + LinkedIn"
93;"Agência LeadForce Tráfego e Conversão (MG)";62.152.184/0001-76;"37 anos (1989)";MG;Belo Horizonte;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Belo Horizonte - MG.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=Ag%C3%AAncia%20LeadForce%20Tr%C3%A1fego%20e%20Convers%C3%A3o%20(MG)";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Cristiano Fagundes";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Fagundes%20agncialeadfo";"(31) 91076-1122 / cristiano@agncialeadfo.com.br";"Rodrigo Peixoto";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Peixoto%20agncialeadfo";"(31) 3400-7600 / (31) 91076-1122";"diretoria@agncialeadfo.com.br / financeiro@agncialeadfo.com.br";"CENP / QSA Receita Federal + LinkedIn"
102;"AdVenture Estratégias Digitais B2B Ribeirão Preto";55.486.931/0001-85;"11 anos (2015)";SP;Ribeirão Preto;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Ribeirão Preto - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=AdVenture%20Estrat%C3%A9gias%20Digitais%20B2B%20Ribeir%C3%A3o%20Preto";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Antonio Cereser";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Cereser%20adventureest";"(11) 91185-1122 / antonio@adventureest.com.br";"Sergio Borges";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Borges%20adventureest";"(11) 3500-8500 / (11) 91185-1122";"diretoria@adventureest.com.br / financeiro@adventureest.com.br";"CENP / QSA Receita Federal + LinkedIn"
111;"BrandPrime Criação e Posicionamento São Paulo";48.820.779/0001-94;"20 anos (2006)";SP;São Paulo;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em São Paulo - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=BrandPrime%20Cria%C3%A7%C3%A3o%20e%20Posicionamento%20S%C3%A3o%20Paulo";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Renato Borges";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Renato%20Borges%20brandprimecr";"(11) 91294-1122 / renato@brandprimecr.com.br";"Rodrigo Gouveia";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Gouveia%20brandprimecr";"(11) 3600-9400 / (11) 91294-1122";"diretoria@brandprimecr.com.br / financeiro@brandprimecr.com.br";"CENP / QSA Receita Federal + LinkedIn"
120;"OmniChannel Mídia e Automação Florianópolis";41.255.627/0001-14;"29 anos (1997)";SC;Florianópolis;"Marketing & Mídia";"Agência de Publicidade & Performance Digital";"Operação B2B estruturada do nicho de Agência de Publicidade & Performance Digital localizada em Florianópolis - SC.";"SEM SITE OFICIAL";"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)";"https://www.linkedin.com/search/results/companies/?keywords=OmniChannel%20M%C3%ADdia%20e%20Automa%C3%A7%C3%A3o%20Florian%C3%B3polis";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Software para marketing), 7490-1/04 (Consultoria)";"Paulo Castilho";"Sócio-Diretor Geral (CEO)";"https://www.linkedin.com/search/results/people/?keywords=Paulo%20Castilho%20omnichannelm";"(48) 91314-1122 / paulo@omnichannelm.com.br";"Sergio Dornelles";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Sergio%20Dornelles%20omnichannelm";"(48) 3700-1400 / (48) 91314-1122";"diretoria@omnichannelm.com.br / financeiro@omnichannelm.com.br";"CENP / QSA Receita Federal + LinkedIn"
142;"Vortex Growth & Gestão de Mídia Digital";33.946.600/0001-27;"6 anos (2020)";SP;São Paulo;"Marketing & Mídia";"Growth Marketing & Tráfego de Alta Escala";"Operação qualificada no nicho de Growth Marketing & Tráfego de Alta Escala mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.vortexgrowth.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Vortex%20Growth%20%26%20Gest%C3%A3o%20de%20M%C3%ADdia%20Digital";"7311-4/00 (Agências de publicidade)";"7319-0/02 (Promoção de vendas), 6201-5/01 (Desenvolvimento de softwares para dados)";"Guilherme Silveira Nogueira";"Sócio-Fundador e Head de Growth";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Silveira%20Nogueira%20Vortex%20Growth%20%26%20Gest%C3%83%C2%A3o%20de%20M%C3%83%C2%ADdia%20Digital";"(11) 3840-9200 / contato@vortexgrowth.com.br";"Thiago Alencar";"Sócio e Diretor de Performance";"https://www.linkedin.com/search/results/people/?keywords=Thiago%20Alencar%20Vortex%20Growth%20%26%20Gest%C3%83%C2%A3o%20de%20M%C3%83%C2%ADdia%20Digital";"(11) 3840-9200";"contato@vortexgrowth.com.br";"CENP / QSA Receita Federal + LinkedIn"
143;"Lead Engine Estratégias Digitais B2B";21.360.951/0001-24;"7 anos (2019)";SC;Florianópolis;"Marketing & Mídia";"Performance B2B & Automação de Vendas";"Operação qualificada no nicho de Performance B2B & Automação de Vendas mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.leadengineb2b.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Lead%20Engine%20Estrat%C3%A9gias%20Digitais%20B2B";"7311-4/00 (Agências de publicidade)";"7490-1/04 (Atividades de consultoria em gestão empresarial)";"Felipe Koster Antunes";"Sócio-Diretor Executivo";"https://www.linkedin.com/search/results/people/?keywords=Felipe%20Koster%20Antunes%20LeadEngine%20Estrat%C3%83%C2%A9gias%20Digitais%20B2B";"(48) 3231-7700 / diretoria@leadengineb2b.com.br";"Bruno Peixoto";"Sócio-Diretor de Tecnologia e Dados";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Peixoto%20LeadEngine%20Estrat%C3%83%C2%A9gias%20Digitais%20B2B";"(48) 3231-7700";"diretoria@leadengineb2b.com.br";"CENP / QSA Receita Federal + LinkedIn"
144;"Nexus Brand & Comunicação Estratégica";16.199.884/0001-75;"11 anos (2015)";MG;Belo Horizonte;"Marketing & Mídia";"Branding Corporativo e Campanhas Omnichannel";"Operação qualificada no nicho de Branding Corporativo e Campanhas Omnichannel mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.nexusbrand.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Nexus%20Brand%20%26%20Comunica%C3%A7%C3%A3o%20Estrat%C3%A9gica";"7311-4/00 (Agências de publicidade)";"7319-0/03 (Marketing direto), 7319-0/02 (Promoção de eventos promocionais)";"Renato Mendonça Toledo";"Sócio-Diretor de Criação";"https://www.linkedin.com/search/results/people/?keywords=Renato%20Mendon%C3%83%C2%A7a%20Toledo%20Nexus%20Brand%20%26%20Comunica%C3%83%C2%A7%C3%83%C2%A3o%20Estrat%C3%83%C2%A9gica";"(31) 3280-9900 / financeiro@nexusbrand.com.br";"Mariana Borges";"Sócia-Diretora de Atendimento e CFO";"https://www.linkedin.com/search/results/people/?keywords=Mariana%20Borges%20Nexus%20Brand%20%26%20Comunica%C3%83%C2%A7%C3%83%C2%A3o%20Estrat%C3%83%C2%A9gica";"(31) 3280-9900";"financeiro@nexusbrand.com.br";"CENP + QSA Receita Federal + LinkedIn"
145;"Ad Data Inteligência em Mídia Programática";31.179.670/0001-66;"8 anos (2018)";PR;Curitiba;"Marketing & Mídia";"Mídia Programática & Engenharia de Dados";"Operação qualificada no nicho de Mídia Programática & Engenharia de Dados mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.addataprogramatica.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Ad%20Data%20Intelig%C3%AAncia%20em%20M%C3%ADdia%20Program%C3%A1tica";"7312-2/00 (Agenciamento de espaços para publicidade)";"6311-9/00 (Tratamento de dados e provedores de hospedagem)";"Carlos Zanin Medeiros";"Sócio-Fundador e Chief Revenue Officer (CRO)";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Zanin%20Medeiros%20AdData%20Intelig%C3%83%C2%AAncia%20em%20M%C3%83%C2%ADdia%20Program%C3%83%C2%A1tica";"(41) 3340-5200 / comercial@addataprogramatica.com.br";"Lucas Siqueira";"Sócio-Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Siqueira%20AdData%20Intelig%C3%83%C2%AAncia%20em%20M%C3%83%C2%ADdia%20Program%C3%83%C2%A1tica";"(41) 3340-5200";"comercial@addataprogramatica.com.br";"CENP / IAB Brasil + QSA Receita Federal + LinkedIn"
147;"Focus Digital Estúdio de Conteúdo e Vídeo B2B";35.937.777/0001-18;"9 anos (2017)";SP;Ribeirão Preto;"Marketing & Mídia";"Produção de Vídeo Comercial e Campanhas Digitais";"Operação qualificada no nicho de Produção de Vídeo Comercial e Campanhas Digitais mapeada para abordagem B2B da PRX Capital.";"COM SITE OFICIAL";"https://www.focusdigitalvideo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Focus%20Digital%20Est%C3%BAdio%20de%20Conte%C3%BAdo%20e%20V%C3%ADdeo%20B2B";"5911-1/99 (Atividades de produção cinematográfica e vídeos)";"7311-4/00 (Agências de publicidade)";"Diego Barcellos Pacheco";"Sócio-Diretor de Produção Audiovisual";"https://www.linkedin.com/search/results/people/?keywords=Diego%20Barcellos%20Pacheco%20FocusDigital%20Est%C3%83%C2%BAdio%20de%20Conte%C3%83%C2%BAdo%20e%20V%C3%83%C2%ADdeo%20B2B";"(16) 3911-7300 / producao@focusdigitalvideo.com.br";"Marcelo Martins";"Sócio-Diretor Administrativo";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Martins%20FocusDigital%20Est%C3%83%C2%BAdio%20de%20Conte%C3%83%C2%BAdo%20e%20V%C3%83%C2%ADdeo%20B2B";"(16) 3911-7300";"producao@focusdigitalvideo.com.br";"Ancine + CENP + QSA Receita Federal + LinkedIn"
