ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
449,"Cardioprime Diagnósticos Médicos S/S","18.942.311/0001-40","8 anos (2018)","SP","São Paulo","Médicos PJ","SPECIAL_MED","CFM / CRM-SP + QSA Oficial Receita + LinkedIn","Saúde \u0026 Medicina Diagnóstica PJ",Não,"Sem Site Institucional (Rastreio via CNPJ / LinkedIn)","Sociedade médica de cardiologia e exames de imagem. Rastreio via CNPJ e CRM dos sócios.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8640-2/02 (Laboratórios clínicos), 8610-1/01 (Internação ambulatorial)","Dr. Eduardo Vianna de Andrade","Sócio-Diretor Clínico / Cardiologista Chefe","https://www.linkedin.com/search/results/people/?keywords=Dr%20Eduardo%20Vianna%20Cardiologista","(11) 98765-4321 / dr.eduardo@cardioprime.med.br","Dra. Renata Fontes Sampaio","Sócia-Administradora \u0026 Diretora Financeira","https://www.linkedin.com/search/results/people/?keywords=Dra%20Renata%20Fontes%20CardioPrime","financeiro@cardioprime.med.br","AAA (High-Ticket)"
450,"Instituto de Ortopedia e Coluna (SP)","27.237.183/0001-11","7 anos (2019)","SP","São Paulo","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.institutodeo.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em São Paulo - SP.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Fernando Mendonca","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Mendonca%20institutodeo","(11) 9911-1122 / fernando@institutodeo.com.br","Bruno Koster","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Koster%20institutodeo","financeiro@institutodeo.com.br","AAA (High-Ticket)"
451,"Clínica de Especialidades Cardiovasculares Campinas","20.571.930/0001-20","16 anos (2010)","SP","Campinas","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.clnicadeespe.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Campinas - SP.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Marcelo Alencar","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Alencar%20clnicadeespe","(11) 91020-1122 / marcelo@clnicadeespe.com.br","Ricardo Resende","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Resende%20clnicadeespe","financeiro@clnicadeespe.com.br","AAA (High-Ticket)"
452,"FemmePrime Medicina Fetal e Ginecológica Sorocaba","83.905.778/0001-29","25 anos (2001)","SP","Sorocaba","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.femmeprimeme.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Sorocaba - SP.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Caio Vasconcellos","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Caio%20Vasconcellos%20femmeprimeme","(11) 91129-1122 / caio@femmeprimeme.com.br","Bruno Toledo","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Toledo%20femmeprimeme","financeiro@femmeprimeme.com.br","AAA (High-Ticket)"
453,"NeuroCenter Diagnósticos Neurológicos São José dos Campos","76.340.626/0001-38","34 anos (1992)","SP","São José dos Campos","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.neurocenterd.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em São José dos Campos - SP.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Henrique Oliveira","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Henrique%20Oliveira%20neurocenterd","(11) 91238-1122 / henrique@neurocenterd.com.br","Ricardo Diniz","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Diniz%20neurocenterd","financeiro@neurocenterd.com.br","AAA (High-Ticket)"
454,"ClinGastro Cirurgia e Endoscopia Uberlândia","69.674.474/0001-47","8 anos (2018)","MG","Uberlândia","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.clingastroci.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Uberlândia - MG.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Ricardo Antunes","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Antunes%20clingastroci","(31) 91347-1122 / ricardo@clingastroci.com.br","Bruno Medeiros","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Medeiros%20clingastroci","financeiro@clingastroci.com.br","AAA (High-Ticket)"
455,"Instituto de Urologia e Litotripsia (PR)","62.109.322/0001-56","17 anos (2009)","PR","Londrina","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.institutodeu.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Londrina - PR.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Cristiano Mendonca","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Mendonca%20institutodeu","(41) 91456-1122 / cristiano@institutodeu.com.br","Ricardo Ferreira","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Ferreira%20institutodeu","financeiro@institutodeu.com.br","AAA (High-Ticket)"
456,"Clínica Integrada de Oncologia e Infusão Santos","55.443.170/0001-65","26 anos (2000)","SP","Santos","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.clnicaintegr.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Santos - SP.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Antonio Alencar","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Antonio%20Alencar%20clnicaintegr","(11) 91565-1122 / antonio@clnicaintegr.com.br","Bruno Camargo","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Camargo%20clnicaintegr","financeiro@clnicaintegr.com.br","AAA (High-Ticket)"
457,"Centro Oftalmológico Integrado Ribeirão Preto","48.777.917/0001-74","35 anos (1991)","SP","Ribeirão Preto","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.centrooftalm.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Ribeirão Preto - SP.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Renato Vasconcellos","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Renato%20Vasconcellos%20centrooftalm","(11) 9874-1122 / renato@centrooftalm.com.br","Ricardo Silveira","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Silveira%20centrooftalm","financeiro@centrooftalm.com.br","AAA (High-Ticket)"
458,"MedPrime Diagnósticos e Cirurgias Curitiba","41.212.765/0001-83","9 anos (2017)","PR","Curitiba","Médicos PJ","SPECIAL_MED","CRM / CFM + QSA Receita Federal + LinkedIn","Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos",Sim,"https://www.medprimediag.com.br","Operação B2B estruturada do nicho de Saúde \u0026 Cirurgia Ambulatorial e Diagnósticos localizada em Curitiba - PR.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8640-2/08 (Diagnósticos por imagem), 8610-1/01 (Hospital dia)","Dr. Paulo Oliveira","Sócio-Diretor Clínico","https://www.linkedin.com/search/results/people/?keywords=Paulo%20Oliveira%20medprimediag","(41) 9983-1122 / paulo@medprimediag.com.br","Bruno Alvarenga","Diretora Administrativa \u0026 Financeira","https://www.linkedin.com/search/results/people/?keywords=Bruno%20Alvarenga%20medprimediag","financeiro@medprimediag.com.br","AAA (High-Ticket)"
