ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
200;"Liderança & Participações Patrimoniais Pouso Alegre";06.401.890/0001-38;"29 anos (1997)";MG;Pouso Alegre;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Pouso Alegre - MG.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Pouso%20Alegre";"6462-0/00 (Holdings de instituições não-financeiras)";"2511-0/00 (Estruturas metálicas), 3321-0/00 (Instalação de máquinas e equipamentos industriais)";"Eng. Fernando Koster Peixoto";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Fernando%20Koster%20Peixoto%20Caldeiraria";"(35) 99880-7711 / fernando@caldeirariasulmineira.ind.br";"";"";"";"(35) 3429-8500";"comercial@caldeirariasulmineira.ind.br / financeiro@caldeirariasulmineira.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
201;"Liderança & Participações Patrimoniais Limeira";09.840.192/0001-27;"24 anos (2002)";SP;Limeira;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Limeira - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Limeira";"6462-0/00 (Holdings de instituições não-financeiras)";"2539-0/01 (Usinagem e solda), 2812-7/00 (Equipamentos hidráulicos)";"Marcelo Antunes Dias";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Antunes%20Dias%20Cromagem";"(19) 99760-4422 / marcelo@cromagempaulista.ind.br";"";"";"";"(19) 3404-7100";"diretoria@cromagempaulista.ind.br / financeiro@cromagempaulista.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
202;"Liderança & Participações Patrimoniais Joinville";02.819.340/0001-50;"38 anos (1988)";SC;Joinville;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Joinville - SC.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Joinville";"6462-0/00 (Holdings de instituições não-financeiras)";"2443-1/00 (Metalurgia do cobre), 4673-7/00 (Comércio atacadista de material elétrico)";"Guilherme Zanin Fagundes";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Guilherme%20Zanin%20Fagundes%20EletroFios";"(47) 99920-1100 / presidencia@eletrofios.ind.br";"Katia Fagundes Silva";"Diretora Financeira e de Suprimentos";"https://www.linkedin.com/search/results/people/?keywords=Katia%20Fagundes%20EletroFios";"(47) 3451-9000 / (47) 99920-1100";"comercial@eletrofios.ind.br / diretoria@eletrofios.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
203;"Liderança & Participações Patrimoniais Indaiatuba";07.401.928/0001-95;"27 anos (1999)";SP;Indaiatuba;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Indaiatuba - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Indaiatuba";"6462-0/00 (Holdings de instituições não-financeiras)";"2825-9/00 (Fabricação de máquinas para tratamento de esgoto e efluentes), 3321-0/00 (Instalação industrial)";"Rodrigo Borges Medeiros";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Borges%20Medeiros%20Filtros";"(19) 98230-6677 / rodrigo@filtrosbrasil.ind.br";"";"";"";"(19) 3875-8000";"vendas@filtrosbrasil.ind.br / financeiro@filtrosbrasil.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
204;"Liderança & Participações Patrimoniais Ponta Grossa";11.192.840/0001-31;"21 anos (2005)";PR;Ponta Grossa;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Ponta Grossa - PR.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Ponta%20Grossa";"6462-0/00 (Holdings de instituições não-financeiras)";"4120-4/00 (Construção de edifícios industriais), 4399-1/01 (Montagem de estruturas metálicas)";"Eng. Murilo Zanin Antunes";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Murilo%20Zanin%20Antunes%20SulMetal";"(42) 99910-3344 / murilo@sulmetalestruturas.ind.br";"";"";"";"(42) 3228-7000";"orcamentos@sulmetalestruturas.ind.br / financeiro@sulmetalestruturas.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
205;"Liderança & Participações Patrimoniais São Bernardo do Campo";05.819.340/0001-72;"30 anos (1996)";SP;São Bernardo do Campo;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em São Bernardo do Campo - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20S%C3%A3o%20Bernardo%20do%20Campo";"6462-0/00 (Holdings de instituições não-financeiras)";"2099-9/99 (Produtos químicos industriais diversos), 4684-2/01 (Atacado de resinas plásticas)";"Cristiano Siqueira Prado";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Siqueira%20Prado%20Polimeros";"(11) 98150-8800 / cristiano@polimerosdobrasil.ind.br";"";"";"";"(11) 4341-9000";"comercial@polimerosdobrasil.ind.br / financeiro@polimerosdobrasil.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
206;"Liderança & Participações Patrimoniais Uberaba";10.401.928/0001-44;"23 anos (2003)";MG;Uberaba;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Uberaba - MG.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Uberaba";"6462-0/00 (Holdings de instituições não-financeiras)";"3314-7/10 (Manutenção de máquinas industriais), 2539-0/01 (Usinagem pesada)";"Eng. Lucas Zanin Camargo";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Zanin%20Camargo%20Mecanica";"(34) 99810-6655 / lucas@mecanicatriangulo.ind.br";"";"";"";"(34) 3318-6000";"diretoria@mecanicatriangulo.ind.br / financeiro@mecanicatriangulo.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
207;"Liderança & Participações Patrimoniais Lages";01.904.819/0001-86;"42 anos (1984)";SC;Lages;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Lages - SC.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Lages";"6462-0/00 (Holdings de instituições não-financeiras)";"1731-1/00 (Fabricação de embalagens de papel), 1732-0/00 (Fabricação de embalagens de cartolina e papelão)";"Mauricio Mendonça Ferreira";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Mauricio%20Mendonca%20Ferreira%20Papel";"(49) 99120-7700 / mauricio@papelsantacatarina.ind.br";"";"";"";"(49) 3221-8000";"comercial@papelsantacatarina.ind.br / diretoria@papelsantacatarina.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
208;"Liderança & Participações Patrimoniais Guarulhos";08.192.405/0001-11;"25 anos (2001)";SP;Guarulhos;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Guarulhos - SP.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Guarulhos";"6462-0/00 (Holdings de instituições não-financeiras)";"1813-0/01 (Impressão de material para embalagens), 4686-9/02 (Atacado de embalagens)";"Daniel Antunes Rocha";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Daniel%20Antunes%20Rocha%20Embalagens";"(11) 98220-4499 / daniel@embalagensalvorada.ind.br";"";"";"";"(11) 2468-9000";"vendas@embalagensalvorada.ind.br / financeiro@embalagensalvorada.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
209;"Liderança & Participações Patrimoniais Londrina";12.840.192/0001-57;"22 anos (2004)";PR;Londrina;"Políticos";"Holding Patrimonial & Articulação Institucional";"Veículo de gestão patrimonial e governança familiar de liderança pública e mandatário político em Londrina - PR.";"SEM SITE OFICIAL";"Sem Site Institucional (Holding Familiar / TSE)";"https://www.linkedin.com/search/results/companies/?keywords=Lideran%C3%A7a%20%26%20Participa%C3%A7%C3%B5es%20Patrimoniais%20Londrina";"6462-0/00 (Holdings de instituições não-financeiras)";"2539-0/01 (Serviços de usinagem e tornearia), 2532-2/01 (Forjados de metais)";"Wagner Borges Cavalcante";"Sócio Administrador / Liderança Pública";"https://www.linkedin.com/search/results/people/?keywords=Wagner%20Borges%20Cavalcante%20Usinagem";"(43) 99930-8800 / wagner@matrizarialondrinense.ind.br";"";"";"";"(43) 3329-8400";"contato@matrizarialondrinense.ind.br / financeiro@matrizarialondrinense.ind.br";"TSE / DivulgaCand + JUCESP/JUCEMG + LinkedIn"
