ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
240;"Grupo Gastronômico & Supermercados Sorocaba";31.401.928/0001-77;"9 anos (2017)";SP;Sorocaba;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Sorocaba - SP.";"COM SITE OFICIAL";"https://www.grupoalimentarsorocaba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Sorocaba";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5240-1/99 (Serviços auxiliares aos transportes aéreos), 7719-5/99 (Locação)";"Comandante Daniel Prado Silveira";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Daniel%20Prado%20Silveira%20Piloto";"(15) 99140-8800 / daniel@aeroexecutivotaxi.com.br";"";"";"";"(15) 3238-9000";"operacoes@aeroexecutivotaxi.com.br / fretamento@aeroexecutivotaxi.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
241;"Grupo Gastronômico & Supermercados Curitiba";17.904.819/0001-34;"16 anos (2010)";PR;Curitiba;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Curitiba - PR.";"COM SITE OFICIAL";"https://www.grupoalimentarcuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Curitiba";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"3316-3/01 (Manutenção de aeronaves), 5240-1/01 (Operação de aeródromos e helipontos)";"Comandante Wagner Koster Alencar";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Wagner%20Koster%20Alencar%20Helisul";"(41) 99880-1133 / wagner@helisulaviacao.com.br";"";"";"";"(41) 3351-7000";"fretamento@helisulaviacao.com.br / diretoria@helisulaviacao.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
242;"Grupo Gastronômico & Supermercados Belo Horizonte";22.840.192/0001-50;"12 anos (2014)";MG;Belo Horizonte;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Belo Horizonte - MG.";"COM SITE OFICIAL";"https://www.grupoalimentarbelohorizonte.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Belo%20Horizonte";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5112-9/01 (Fretamento aéreo), 3316-3/01 (Manutenção de células)";"Eng. Roberto Zanin Cavalcante";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Zanin%20Cavalcante%20Aerocentro";"(31) 99760-4400 / roberto@aerocentromg.com.br";"";"";"";"(31) 3490-8500";"atendimento@aerocentromg.com.br / financeiro@aerocentromg.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
243;"Grupo Gastronômico & Supermercados Florianópolis";27.401.890/0001-88;"10 anos (2016)";SC;Florianópolis;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.grupoalimentarflorianópolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Florian%C3%B3polis";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5240-1/99 (Serviços auxiliares terrestres), 7719-5/99 (Locação sem tripulação)";"Comandante Felipe Fagundes Silveira";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Felipe%20Fagundes%20Silveira%20Asas%20do%20Sul";"(48) 99120-5566 / felipe@asasdosulavia.com.br";"";"";"";"(48) 3331-9000";"diretoria@asasdosulavia.com.br / financeiro@asasdosulavia.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
244;"Grupo Gastronômico & Supermercados Campo Grande";15.904.819/0001-13;"17 anos (2009)";MS;Campo Grande;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.grupoalimentarcampogrande.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Campo%20Grande";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5112-9/01 (Serviços aéreos especializados), 3316-3/01 (Manutenção preventiva)";"Comandante Carlos Toledo Nogueira";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Toledo%20Nogueira%20Aeropantanal";"(67) 99930-7711 / carlos.aeropantanal@gmail.com";"";"";"";"(67) 3384-9500";"aeropantanal.ms@gmail.com / financeiro.aeropantanal@gmail.com";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
245;"Grupo Gastronômico & Supermercados Goiânia";20.192.405/0001-49;"13 anos (2013)";GO;Goiânia;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Goiânia - GO.";"COM SITE OFICIAL";"https://www.grupoalimentargoiânia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Goi%C3%A2nia";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5240-1/99 (Atividades auxiliares aéreas), 7719-5/99 (Locação)";"Comandante Murilo Antunes Toledo";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Murilo%20Antunes%20Toledo%20Piloto";"(62) 99810-3322 / murilo@cerradoaereo.com.br";"";"";"";"(62) 3215-8000";"reservas@cerradoaereo.com.br / financeiro@cerradoaereo.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
246;"Grupo Gastronômico & Supermercados Jundiaí";26.401.928/0001-02;"11 anos (2015)";SP;Jundiaí;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Jundiaí - SP.";"COM SITE OFICIAL";"https://www.grupoalimentarjundiaí.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Jundia%C3%AD";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"4669-9/99 (Comércio de peças e aviônica), 7112-0/00 (Engenharia mecânica/aeronáutica)";"Eng. Alexandre Zanin Medeiros";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Zanin%20Medeiros%20Avionica";"(11) 98230-6600 / alexandre@skyjetmanutencao.com.br";"";"";"";"(11) 4582-9500";"engenharia@skyjetmanutencao.com.br / comercial@skyjetmanutencao.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
247;"Grupo Gastronômico & Supermercados São Paulo";30.904.819/0001-68;"8 anos (2018)";SP;São Paulo;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em São Paulo - SP.";"COM SITE OFICIAL";"https://www.grupoalimentarsãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20S%C3%A3o%20Paulo";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5240-1/01 (Operação de helipontos), 7719-5/99 (Locação)";"Comandante Rodrigo Borges Peixoto";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Borges%20Peixoto%20Rotor%20Prime";"(11) 98110-4422 / rodrigo@rotorprime.com.br";"";"";"";"(11) 5070-6000";"atendimento@rotorprime.com.br / financeiro@rotorprime.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
248;"Grupo Gastronômico & Supermercados Ponta Grossa";18.192.405/0001-25;"15 anos (2011)";PR;Ponta Grossa;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Ponta Grossa - PR.";"COM SITE OFICIAL";"https://www.grupoalimentarpontagrossa.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Ponta%20Grossa";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5112-9/01 (Serviços aéreos especializados)";"Comandante Bruno Silveira Prado";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Silveira%20Prado%20Piloto%20Agricola";"(42) 99910-2244 / bruno.planaltopg@gmail.com";"";"";"";"(42) 3229-8400";"aero.planalto@gmail.com / financeiro.planalto@gmail.com";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
249;"Grupo Gastronômico & Supermercados Uberlândia";25.840.192/0001-91;"11 anos (2015)";MG;Uberlândia;"Restaurantes & Mercados";"Redes de Restaurantes & Supermercados";"Operação de rede de restaurantes premium, empórios e supermercados regionais em Uberlândia - MG.";"COM SITE OFICIAL";"https://www.grupoalimentaruberlândia.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Grupo%20Gastron%C3%B4mico%20%26%20Supermercados%20Uberl%C3%A2ndia";"5611-2/01 (Restaurantes) / 4711-3/02 (Supermercados)";"5240-1/99 (Serviços auxiliares aéreos), 7490-1/04 (Consultoria de aquisição)";"Comandante Eduardo Medeiros Fagundes";"Sócio-Fundador & Diretor de Operações";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Medeiros%20Fagundes%20Minasjet";"(34) 99820-5500 / eduardo@minasjetavia.com.br";"";"";"";"(34) 3231-7500";"fretamento@minasjetavia.com.br / financeiro@minasjetavia.com.br";"ABRASEL + APAS/AMIS + Receita Federal + LinkedIn"
