ID;Empresa;CNPJ;Idade;UF;Cidade;Segmento;Setor;Resumo_Atividade;Site_Status;Site_URL;LinkedIn_Empresa;CNAE_Principal;CNAE_Secundarios;Decisor_1;Cargo_1;LinkedIn_Decisor_1;Contato_Decisor_1;Decisor_2;Cargo_2;LinkedIn_Decisor_2;Telefone;Email;Fonte_Dados
320;"Tech Software & Soluções Digitais Londrina";57.2340.1160/0001-10;"30 anos (1996)";PR;Londrina;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Londrina - PR.";"COM SITE OFICIAL";"https://www.techsoftwarelondrina.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Londrina";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Lucas Koster Peixoto";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Lucas%20Koster%20Peixoto";"(41) 98420-4400 / diretoria@exportaodecommoditiesegroslondrina.com.br";"Bruno Toledo";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Toledo";"(41) 3420-8000";"diretoria@exportaodecommoditiesegroslondrina.com.br / financeiro@exportaodecommoditiesegroslondrina.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
321;"Tech Software & Soluções Digitais Blumenau";58.2347.1163/0001-11;"31 anos (1995)";SC;Blumenau;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Blumenau - SC.";"COM SITE OFICIAL";"https://www.techsoftwareblumenau.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Blumenau";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Marcelo Fagundes Alencar";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Marcelo%20Fagundes%20Alencar";"(48) 98421-4400 / diretoria@importaodematriasprimasqumicasblumenau.com.br";"Eduardo Peixoto";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Peixoto";"(48) 3431-8000";"diretoria@importaodematriasprimasqumicasblumenau.com.br / financeiro@importaodematriasprimasqumicasblumenau.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
322;"Tech Software & Soluções Digitais Campo Grande";59.2354.1166/0001-12;"32 anos (1994)";MS;Campo Grande;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Campo Grande - MS.";"COM SITE OFICIAL";"https://www.techsoftwarecampogrande.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Campo%20Grande";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Diego Toledo Cavalcante";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Diego%20Toledo%20Cavalcante";"(67) 98422-4400 / diretoria@comrcioexterioredespachoaduaneirocampogrande.com.br";"Antonio Alencar";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Alencar";"(67) 3442-8000";"diretoria@comrcioexterioredespachoaduaneirocampogrande.com.br / financeiro@comrcioexterioredespachoaduaneirocampogrande.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
323;"Tech Software & Soluções Digitais Jataí";60.2361.1169/0001-13;"33 anos (1993)";GO;Jataí;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Jataí - GO.";"COM SITE OFICIAL";"https://www.techsoftwarejataí.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Jata%C3%AD";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Felipe Peixoto Nogueira";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Felipe%20Peixoto%20Nogueira";"(62) 98423-4400 / diretoria@tradingdeimportaoedistribuiojata.com.br";"Cristiano Cavalcante";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Cristiano%20Cavalcante";"(62) 3453-8000";"diretoria@tradingdeimportaoedistribuiojata.com.br / financeiro@tradingdeimportaoedistribuiojata.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
324;"Tech Software & Soluções Digitais Piracicaba";61.2368.1172/0001-14;"34 anos (1992)";SP;Piracicaba;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Piracicaba - SP.";"COM SITE OFICIAL";"https://www.techsoftwarepiracicaba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Piracicaba";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Rodrigo Alencar Vasconcellos";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Alencar%20Vasconcellos";"(11) 98424-4400 / diretoria@exportaodecommoditiesegrospiracicaba.com.br";"Leonardo Nogueira";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Leonardo%20Nogueira";"(11) 3464-8000";"diretoria@exportaodecommoditiesegrospiracicaba.com.br / financeiro@exportaodecommoditiesegrospiracicaba.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
325;"Tech Software & Soluções Digitais Passos";62.2375.1175/0001-15;"35 anos (1991)";MG;Passos;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Passos - MG.";"COM SITE OFICIAL";"https://www.techsoftwarepassos.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Passos";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Bruno Cavalcante Borges";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Bruno%20Cavalcante%20Borges";"(31) 98425-4400 / diretoria@importaodematriasprimasqumicaspassos.com.br";"Roberto Vasconcellos";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Roberto%20Vasconcellos";"(31) 3475-8000";"diretoria@importaodematriasprimasqumicaspassos.com.br / financeiro@importaodematriasprimasqumicaspassos.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
326;"Tech Software & Soluções Digitais Curitiba";63.2382.1178/0001-16;"36 anos (1990)";PR;Curitiba;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Curitiba - PR.";"COM SITE OFICIAL";"https://www.techsoftwarecuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Curitiba";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Eduardo Nogueira Dias";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Nogueira%20Dias";"(41) 98426-4400 / diretoria@comrcioexterioredespachoaduaneirocuritiba.com.br";"Carlos Eduardo Borges";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Borges";"(41) 3486-8000";"diretoria@comrcioexterioredespachoaduaneirocuritiba.com.br / financeiro@comrcioexterioredespachoaduaneirocuritiba.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
327;"Tech Software & Soluções Digitais Florianópolis";64.2389.1181/0001-17;"37 anos (1989)";SC;Florianópolis;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Florianópolis - SC.";"COM SITE OFICIAL";"https://www.techsoftwareflorianópolis.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Florian%C3%B3polis";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"4639-7/01 (Comércio atacadista geral), 5211-7/99 (Armazenamento de mercadorias), 4930-2/02 (Transporte rodoviário)";"Antonio Vasconcellos Zanin";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Antonio%20Vasconcellos%20Zanin";"(48) 98427-4400 / diretoria@tradingdeimportaoedistribuioflorianpolis.com.br";"Alexandre Dias";"Diretor Financeiro & Controladoria (CFO)";"https://www.linkedin.com/search/results/people/?keywords=Alexandre%20Dias";"(48) 3497-8000";"diretoria@tradingdeimportaoedistribuioflorianpolis.com.br / financeiro@tradingdeimportaoedistribuioflorianpolis.com.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
328;"Tech Software & Soluções Digitais São Paulo";37.819.402/0001-20;"9 anos (2017)";SP;São Paulo;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em São Paulo - SP.";"COM SITE OFICIAL";"https://www.techsoftwaresãopaulo.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20S%C3%A3o%20Paulo";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"8630-5/01 (Atividade médica ambulatorial), 8640-2/08 (Diagnósticos por imagem)";"Dr. Marcelo Antunes Silveira";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Marcelo%20Antunes%20Quadril";"(11) 98120-4411 / dr.marcelo@quadrilpaulista.med.br";"Dra. Juliana Prado Zanin";"Sócia e Diretora Financeira";"https://www.linkedin.com/search/results/people/?keywords=Juliana%20Prado%20Zanin%20Clinica";"(11) 3284-7000 / (11) 98120-4411";"diretoria@quadrilpaulista.med.br / financeiro@quadrilpaulista.med.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
329;"Tech Software & Soluções Digitais Curitiba";29.401.928/0001-53;"11 anos (2015)";PR;Curitiba;"Tecnologia & Software";"Desenvolvimento de Software SaaS & TI B2B";"Desenvolvimento de plataformas SaaS B2B, automação corporativa e exportação de software em Curitiba - PR.";"COM SITE OFICIAL";"https://www.techsoftwarecuritiba.com.br";"https://www.linkedin.com/search/results/companies/?keywords=Tech%20Software%20%26%20Solu%C3%A7%C3%B5es%20Digitais%20Curitiba";"6201-5/01 (Desenvolvimento de programas de computador sob encomenda)";"8630-5/02 (Consultórios médicos), 8640-2/07 (Diagnósticos por imagem)";"Dr. Fernando Koster Medeiros";"CEO & Co-Fundador";"https://www.linkedin.com/search/results/people/?keywords=Dr%20Fernando%20Koster%20Pediatrico";"(41) 99130-6677 / dr.fernando@pediatricaparana.med.br";"";"";"";"(41) 3322-8500";"contato@pediatricaparana.med.br / financeiro@pediatricaparana.med.br";"ABES / ASSESPRO + Juntas Comerciais + Receita Federal + LinkedIn"
