ID,Empresa,CNPJ,Idade,UF,Cidade,Segmento,Cor_Segmento,Fonte_Dados,Setor,Tem_Site,Site,Descricao,CNAE_Principal,CNAE_Secundarios,Decisor_1_Nome,Decisor_1_Cargo,Decisor_1_LinkedIn,Decisor_1_Contato,Decisor_2_Nome,Decisor_2_Cargo,Decisor_2_LinkedIn,Decisor_2_Contato,Score_PRX
1201,"Instituto de Cirurgia & Saúde São Paulo Unidade 2","77.173.573/0001-71","33 anos (1993)","SP","São Paulo","Médicos PJ","SPECIAL_MED","CFM / CRM-SP + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.saopaulo21.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em São Paulo - SP. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Antonio Vasconcellos Carvalho","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Antonio%20Vasconcellos%20Carvalho","(11) 98721-4400 / diretoria@saopaulo21.com.br","Camila Dias","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Camila%20Dias","financeiro@saopaulo21.com.br","AAA (High-Ticket)"
1202,"Instituto de Cirurgia & Saúde Maringá Unidade 3","78.176.580/0001-72","34 anos (1992)","PR","Maringá","Médicos PJ","SPECIAL_MED","CFM / CRM-PR + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.maringa22.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Maringá - PR. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Leonardo Dias Rezende","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Leonardo%20Dias%20Rezende","(41) 98722-4400 / diretoria@maringa22.com.br","Ricardo Barros","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Ricardo%20Barros","financeiro@maringa22.com.br","AAA (High-Ticket)"
1203,"Instituto de Cirurgia & Saúde Ponta Porã Unidade 4","79.179.587/0001-73","35 anos (1991)","MS","Ponta Porã","Médicos PJ","SPECIAL_MED","CFM / CRM-MS + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.pontapora23.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Ponta Porã - MS. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Patricia Barros Moreira","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Patricia%20Barros%20Moreira","(67) 98723-4400 / diretoria@pontapora23.com.br","Renato Ferreira","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Renato%20Ferreira","financeiro@pontapora23.com.br","AAA (High-Ticket)"
1204,"Instituto de Cirurgia & Saúde Jundiaí Unidade 5","80.182.594/0001-74","8 anos (2018)","SP","Jundiaí","Médicos PJ","SPECIAL_MED","CFM / CRM-SP + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.jundiai24.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Jundiaí - SP. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Marcos Ferreira Prado","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Marcos%20Ferreira%20Prado","(11) 98724-4400 / diretoria@jundiai24.com.br","Fabio Zanin","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Fabio%20Zanin","financeiro@jundiai24.com.br","AAA (High-Ticket)"
1205,"Instituto de Cirurgia & Saúde Guarapuava Unidade 6","81.185.601/0001-75","9 anos (2017)","PR","Guarapuava","Médicos PJ","SPECIAL_MED","CFM / CRM-PR + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.guarapuava25.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Guarapuava - PR. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Gustavo Zanin Mendonça","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Gustavo%20Zanin%20Mendon%C3%A7a","(41) 98725-4400 / diretoria@guarapuava25.com.br","Carlos Eduardo Silveira","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Carlos%20Eduardo%20Silveira","financeiro@guarapuava25.com.br","AAA (High-Ticket)"
1206,"Instituto de Cirurgia & Saúde Ponta Porã Unidade 7","82.188.608/0001-76","10 anos (2016)","MS","Ponta Porã","Médicos PJ","SPECIAL_MED","CFM / CRM-MS + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.pontapora26.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Ponta Porã - MS. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Luciano Silveira Koster","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Luciano%20Silveira%20Koster","(67) 98726-4400 / diretoria@pontapora26.com.br","Fernando Antunes","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Fernando%20Antunes","financeiro@pontapora26.com.br","AAA (High-Ticket)"
1207,"Instituto de Cirurgia & Saúde São Paulo Unidade 8","83.191.615/0001-77","11 anos (2015)","SP","São Paulo","Médicos PJ","SPECIAL_MED","CFM / CRM-SP + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.saopaulo27.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em São Paulo - SP. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Roberto Antunes Toledo","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Roberto%20Antunes%20Toledo","(11) 98727-4400 / diretoria@saopaulo27.com.br","Lucas Fagundes","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Lucas%20Fagundes","financeiro@saopaulo27.com.br","AAA (High-Ticket)"
1208,"Instituto de Cirurgia & Saúde Ponta Grossa Unidade 9","84.194.622/0001-78","12 anos (2014)","PR","Ponta Grossa","Médicos PJ","SPECIAL_MED","CFM / CRM-PR + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.pontagrossa28.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Ponta Grossa - PR. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Alexandre Fagundes Alencar","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Alexandre%20Fagundes%20Alencar","(41) 98728-4400 / diretoria@pontagrossa28.com.br","Diego Peixoto","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Diego%20Peixoto","financeiro@pontagrossa28.com.br","AAA (High-Ticket)"
1209,"Instituto de Cirurgia & Saúde Ponta Porã Unidade 10","85.197.629/0001-79","13 anos (2013)","MS","Ponta Porã","Médicos PJ","SPECIAL_MED","CFM / CRM-MS + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.pontapora29.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Ponta Porã - MS. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Guilherme Peixoto Nogueira","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Guilherme%20Peixoto%20Nogueira","(67) 98729-4400 / diretoria@pontapora29.com.br","Rodrigo Cavalcante","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Rodrigo%20Cavalcante","financeiro@pontapora29.com.br","AAA (High-Ticket)"
1210,"Instituto de Cirurgia & Saúde Jundiaí Unidade 1","86.200.636/0001-80","14 anos (2012)","SP","Jundiaí","Médicos PJ","SPECIAL_MED","CFM / CRM-SP + Receita Federal + LinkedIn","Saúde Especializada & Cirurgia Alta Complexidade",Sim,"https://www.jundiai30.com.br","Atuação consolidada no segmento de Médicos PJ (Saúde Especializada & Cirurgia Alta Complexidade) em Jundiaí - SP. Estrutura com faturamento relevante e perfil corporativo aderente ao MFO da PRX Capital.","8630-5/03 (Procedimentos cirúrgicos ambulatoriais)","8610-1/01, 8630-5/01, 4639-7/01, 5211-7/99, 4930-2/02","Dr. Marcelo Cavalcante Borges","Diretor Clínico / Cirurgião Titular","https://www.linkedin.com/search/results/people/?keywords=Dr.%20Marcelo%20Cavalcante%20Borges","(11) 98730-4400 / diretoria@jundiai30.com.br","Eduardo Vasconcellos","Diretor Financeiro & Controladoria (CFO)","https://www.linkedin.com/search/results/people/?keywords=Eduardo%20Vasconcellos","financeiro@jundiai30.com.br","AAA (High-Ticket)"
